,source,title,is_clickbait
0,aljazeera.com,Nigerian police 'open fire' at Shia protesters amid Abuja clashes,0
1,aljazeera.com,Saudi-led coalition sends thousands of troops towards Hodeidah,0
2,aljazeera.com,US President Trump plans to end birthright citizenship: Axios,0
3,aljazeera.com,Khashoggi's fiancee speaks about 'death squad' killing,0
4,aljazeera.com,"Tunis suicide attack, a wake-up call on tense politics",0
5,aljazeera.com,Top Palestinian body calls for suspension of Israel recognition,0
6,aljazeera.com,Turkey's economic endgame and the Khashoggi crisis,0
7,aljazeera.com,Khashoggi case: Turkey claims senior Saudi figures being shielded,0
8,aljazeera.com,Why do Kurds continue to flee Iraq's Kurdish region?,0
9,aljazeera.com,Imagining a Bolsonaro Brazil,0
10,aljazeera.com,Trump 'not welcome' in Pittsburgh after synagogue shooting,0
11,aljazeera.com,Lion Air crash: Investigators hunt for black-box answers,0
12,aljazeera.com,Why aren't we calling the Pittsburgh shooting 'terrorism'?,1
13,aljazeera.com,Defence firms see only hundreds of new US jobs from Saudi deal,0
14,aljazeera.com,Sri Lanka's Tamils are at imminent risk after Rajapaksa's return,0
15,aljazeera.com,"China defends move to ease tiger bones, rhino horns 25-year ban",0
16,aljazeera.com,Thousands rally in Colombo in support of sacked Sri Lanka PM,0
17,aljazeera.com,"Bangladesh, Myanmar to start returning Rohingya in November",0
18,aljazeera.com,Koalas among species threatened by Australia deforestation,0
19,aljazeera.com,Many uneasy about economy as Brazil elects Bolsonaro,0
20,aljazeera.com,"US pushing Saudi Arabia to end GCC crisis, Yemen war: Bloomberg",0
21,aljazeera.com,"TV journalist, two policemen killed in India rebel attack",0
22,aljazeera.com,German ex-nurse admits at trial to killing 100 patients,0
23,aljazeera.com,How not taxing the rich got Pakistan into another fiscal crisis,1
24,aljazeera.com,Is a US-China war in Asia inevitable?,0
25,aljazeera.com,Mosul residents: 'We were the masters of the world',1
26,aljazeera.com,Will EU stop arms sales to Saudi in wake of Khashoggi killing?,0
27,aljazeera.com,Sri Lanka's Rajapaksa assumes duties as PM,0
28,aljazeera.com,Gaza boys' deaths: 'The light of my life has gone',1
29,aljazeera.com,NATO war games: Technology changing strategies,0
30,aljazeera.com,Poverty is the reason Hondurans flee to the US,1
31,aljazeera.com,How can Gaza's contaminated water catastrophe be solved?,0
32,aljazeera.com,"Qatar's asylum law a positive step, says HRW",0
33,aljazeera.com,US hate crimes: White extremism on the rise,0
34,aljazeera.com,'Fear and hate': Critics slam Trump's anti-caravan troop surge,0
35,aljazeera.com,The Confederate debate in my blood: My cousin Robert E Lee,1
36,aljazeera.com,Nine people wounded in Tunis suicide bomb attack,0
37,aljazeera.com,Honduran killed in Mexican border crackdown on migrant caravan,0
38,aljazeera.com,Russia's new game in Syria,0
39,aljazeera.com,Bangladesh court doubles jail term for opposition leader Zia,0
40,aljazeera.com,Sri Lanka: Warnings of 'bloodbath' as political tensions rise,0
41,aljazeera.com,Gaza mourns three boys killed by Israel drone strikes,0
42,aljazeera.com,Indonesia: 'No survivors' after Lion Air flight crashes into sea,0
43,aljazeera.com,Child soldiers of South Sudan,0
44,aljazeera.com,"Turkey ship set to begin drilling for oil, gas in Mediterranean",0
45,aljazeera.com,Mexico's president-elect to scrap $13bn airport project,0
46,aljazeera.com,Iranian official: President Rouhani's cellphone tapped 'recently',0
47,aljazeera.com,Indonesia warns Australia over possible embassy move in Israel,0
48,aljazeera.com,Earth's wild animal population plummets 60 percent in 44 years,0
49,aljazeera.com,British scholar jailed in UAE released on bail,0
50,aljazeera.com,How worrying is the rise of right-wing extremism in America?,1
51,aljazeera.com,UK eyes higher growth and spending in budget for Brexit year,0
52,aljazeera.com,"Turkey to present probe findings to Saudi, request new search",0
53,aljazeera.com,South Korea court orders Japan firm to compensate WWII slaves,0
54,aljazeera.com,US eyes more China tariffs if Trump-Xi meeting fails: reports,0
