,source,title,is_clickbait
0,axisoflogic.com,Isn't this what you should expect when you build your city below the waterline?,1
1,axisoflogic.com,China’s Xi tells military to prepare for war as US Navy warns of high seas encounters,0
2,axisoflogic.com,Duterte engaging China via backdoor diplomacy,0
3,axisoflogic.com,How Disaster Capitalism has ruined Puerto Rico,1
4,axisoflogic.com,"Military to Deploy 5,000 Troops to US Border As Asylum-Seeking Refugees Near",0
5,axisoflogic.com,"Exorbitant cost, multiple failures, years overdue: A recap of the ongoing F-35 calamity",0
6,axisoflogic.com,France can teach the US something about health insurance,1
7,axisoflogic.com,‘Who said that I have to be a refugee forever?’,1
8,axisoflogic.com,Muslim-American Community Raises Money For Pittsburgh Victims,0
9,axisoflogic.com,The Fizzy Math of Carbon Capture,0
10,axisoflogic.com,Yemen death toll five times higher than previously reported,0
11,axisoflogic.com,American History for Truthdiggers: Roots in Religious Zealotry,0
12,axisoflogic.com,Ford announces new Ontario license plate slogan,0
13,axisoflogic.com,Brazil: Another country elects a fascist president,0
14,axisoflogic.com,"UK anti-fracking protesters released, convictions overturned",0
15,axisoflogic.com,Roger Waters dodges arrest with a last-minute slap at Brazil's Bolsonaro,0
16,axisoflogic.com,Pence refuses to admit he and Trump are funding migrant caravan,1
17,axisoflogic.com,"Common ground on Syria: What France, Germany, Turkey & Russia agreed in Istanbul",0
18,axisoflogic.com,Downplaying Deportations: How Textbooks Hide the Mass Expulsion of Mexican Americans During the Great Depression,1
19,axisoflogic.com,Merkel & Macron’s presence at Syria talks will seal Putin’s diplomatic triumph – on one condition,0
20,axisoflogic.com,"Rebel Cities, Part 4: In Warsaw, 'rights to the city' means clear air and affordable homes",0
21,axisoflogic.com,"As Dictator Kagame Unmasked, it is Time to Reveal Canadian Connection",1
22,axisoflogic.com,Big Business Strikes Back: The Class Struggle from Above,0
23,axisoflogic.com,Austerity is Just a Fancy Name for Class War,1
24,axisoflogic.com,The Saudi Arabian Model: Blueprints for Murder and Purchasing Arms,0
25,axisoflogic.com,"Trump’s Presidency Has Turned Our Age Into One Of Survival, Extremism And Brute Force",1
26,axisoflogic.com,Nation Transfixed In Horror By Toy Bombs While Destroying Lives With Real Ones,0
27,axisoflogic.com,Who profits from the end of the mid-range nuclear treaty?,0
