,source,title,is_clickbait
0,bellingcat.com,"Dali, Warhol, Boshirov: Determining the Time of an Alleged Photograph from Skripal Suspect Chepiga",0
1,bellingcat.com,Did Far-Right Internet Chatter Inspire An Arson Attack on Refugees in Toronto?,0
2,bellingcat.com,Joseph Mifsud: Rush for the EXIF,0
3,bellingcat.com,Corrupt Latin: How Orthography Revealed Corruption in Kyrgyzstan,0
4,bellingcat.com,From Memes to Infowars: How 75 Fascist Activists Were “Red-Pilled”,1
5,bellingcat.com,Second Skripal Poisoning Suspect Identified as Dr. Alexander Mishkin,0
6,bellingcat.com,Examining CCTV Videos of the Saudi Consulate in Istanbul Connected to Khashoggi’s Disappearance,0
7,bellingcat.com,Iran: New SAM Site At Mashhad,0
8,bellingcat.com,"Full report: Skripal Poisoning Suspect Dr. Alexander Mishkin, Hero of Russia",0
9,bellingcat.com,“There Is No Future Left in Syria”: A Conversation With a Family of Refugees,0
10,bellingcat.com,"How to Prevent, Identify and Address Vicarious Trauma — While Conducting Open Source Investigations in the Middle East",0
11,bellingcat.com,305 Car Registrations May Point to Massive GRU Security Breach,0
12,bellingcat.com,Skripal Suspect Boshirov Identified as GRU Colonel Anatoliy Chepiga,0
13,bellingcat.com,Skripal Suspects Confirmed as GRU Operatives: Prior European Operations Disclosed,0
14,bellingcat.com,Use of Ricin: Is This Amateur Hour?,1
15,bellingcat.com,Bellingcat is Hiring – Editor – Applications Closed,0
16,bellingcat.com,Russia Ramps Up Chemical Weapon Disinformation Leading-Up to Idlib Offensive,0
17,bellingcat.com,Skripal Poisoning Suspect’s Passport Data Shows Link to Security Services,0
18,bellingcat.com,"How to Identify Burnt Villages by Satellite Imagery — Case-Studies from California, Nigeria and Myanmar",0
19,bellingcat.com,Signs of Cluster Munition Use as Military Activity in Idlib Intensifies,0
20,bellingcat.com,Fuel to the Fire: Satellite Imagery Captures Burning Oil Tanks Libya,0
21,bellingcat.com,"First ISIS, then Iraq, now Israel: IDF Use of Commercial Drones",0
22,bellingcat.com,Indonesia Submarine Quay and Pier Damaged During Tsunami,0
23,bellingcat.com,How to Collect Sources from Syria If You Don’t Read Arabic,1
24,bellingcat.com,The Battle of Idlib Opens with the Bombing of Medical and Rescue Facilities,0
25,bellingcat.com,The Straight-Edge Neo-Nazi Group that Attacked a Ukrainian Roma Camp,0
26,bellingcat.com,"New York, Washington, and San Francisco September and October Workshop Details Announced",0
27,bellingcat.com,What the OPCW-FFM Report on the Saraqib Chlorine Attack Tells Us About the Douma Chemical Attack,1
28,bellingcat.com,How to Use and Interpret Data from Strava’s Activity Map,0
29,bellingcat.com,The OPCW Fact Finding Mission Confirms More Sarin and Chlorine Use in Syria,0
30,bellingcat.com,"For the Third Time This Year, Chlorine is Used as a Chemical Weapon in Douma, Damascus",1
31,bellingcat.com,"Sentinels, Saeqehs and Simorghs: An Open Source Survey of Iran’s New Drone in Syria",0
32,bellingcat.com,American-Made Bomb Used in Airstrike on Yemen Wedding,0
33,bellingcat.com,Creating an Android Open Source Research Device on Your PC,0
34,bellingcat.com,UAV Infrastructure Noted at the UAE’s al-Safran Airbase,0
35,bellingcat.com,The Russian Ministry of Defence Publishes Screenshots of Computer Games as Evidence of US Collusion with ISIS,0
36,bellingcat.com,"Schrödinger’s Strike: Who Hit These Buildings in Raqqa, Syria?",1
