,source,title,is_clickbait
0,blog.chron.com,First thoughts: Antarctigo Vespucci- ‘Love In The Time Of E-Mail’,1
1,blog.chron.com,One networking encounter can change your career,1
2,blog.chron.com,How do you manage a rambling interviewer?,1
3,blog.chron.com,TMI: A Useful Approach for Public Managers Regarding Too Much Information,0
4,blog.chron.com,Going It Alone!,1
5,blog.chron.com,Secret Group to celebrate 2 years with $2 show,0
6,blog.chron.com,"Projections of Texas Population, 2010-2050",0
7,blog.chron.com,"Your iPhone knows where you’ve been, puts it on a map",1
8,blog.chron.com,Is your iPhone or iPad full? Try this to quickly reclaim space,1
9,blog.chron.com,"Find people nearby on Facebook, even if they’re not your friends",1
10,blog.chron.com,Comcast lets you know about area outages–if you can see the Web,1
11,blog.chron.com,Shenandoah to welcome its first full-service hotel in 2016,0
12,blog.chron.com,Condo developer responds to market with a bigger building,0
13,blog.chron.com,Why aren’t people buying new PCs? Because they don’t have to.,1
14,blog.chron.com,Studio Movie Grill is coming to Pearland,1
15,blog.chron.com,Ron Paul inducted into Congressional Baseball Hall of Fame – in Astros garb,0
16,blog.chron.com,AT&T U-verse has a widespread outage [Updated],0
17,blog.chron.com,Texas will legalize marijuana in 2019,0
18,blog.chron.com,When The Doors came to Houston in the summer of 1968,0
19,blog.chron.com,What’s the definition of a “good fit?”,1
20,blog.chron.com,FixMeStick gets a virus-infected PC up and running again,0
21,blog.chron.com,Lone Star named the 8th best cheap American beer in the land,1
22,blog.chron.com,40 years later: Dr. John Hill’s scandalous saga,0
23,blog.chron.com,Trade to Astros doesn’t change Colin Moran’s status as a top prospect,0
24,blog.chron.com,Here’s What the Vehicle Wrap Scam Looks Like,1
25,blog.chron.com,100-year-old oak tree has to wait longer for move,0
26,blog.chron.com,"Quinn Emanuel opens in Houston with David Gerger, Andy Fastow’s lawyer",0
27,blog.chron.com,"Price war! AT&T offers new family plan, cuts per-line cost [Updated]",0
28,blog.chron.com,Commentary: Democrats spoke of secession in 2004 after Bush was re-elected,0
29,blog.chron.com,Jim Crane’s divorce finalized; financial settlement said to have ‘no effect’ on Astros,0
30,blog.chron.com,"Watch ABC comes to Apple TV, but with the cord cutter’s Catch-22",1
31,blog.chron.com,"Wake-Up Weather: Cold, gray and a little wet today, but that weekend, oh my",1
32,blog.chron.com,Conor Commercial Real Estate and USAA Real Estate buy site in Missouri City for industrial park,0
33,blog.chron.com,Here it is: Texas Monthly’s top 50 BBQ joints for 2013,1
34,blog.chron.com,Which Matthew McConaughey character should come to the UH commencement in May?,1
35,blog.chron.com,Sprouts announces opening date for first area store,0
36,blog.chron.com,Is it worth switching to T-Mobile? [Updated],0
37,blog.chron.com,"Astros could move Class AAA minor-league franchise to Woodlands area, owner Jim Crane says",0
38,blog.chron.com,Did you see the bright meteor over Houston this morning? (With photos),1
39,blog.chron.com,This May has smashed the previous record for wettest month in Texas history,1
40,blog.chron.com,Texas will legalize medical marijuana in 2015 and regulate marijuana similarly to alcohol in 2017,0
41,blog.chron.com,"A Europa lander is possible, JPL scientists say, and Congress appears likely to support it",0
42,blog.chron.com,Wake up from a career nightmare,0
43,blog.chron.com,Is there anyone in Congress that can restore NASA’s Earth science budget cut?,1
44,blog.chron.com,"TexMessage: Despite what you might have heard, Rep. Beto O’Rourke never asked to join Latino caucus",1
45,blog.chron.com,"What are chemical fertilizers, and why do we use them?",1
