,source,title,is_clickbait
0,breitbart.com,GOP Senate Candidate Matthew Corey: ‘Medicare for All Will Destroy over 68K Jobs in Connecticut’,0
1,breitbart.com,Donald Trump Awards Medal of Honor to Marine Sgt. Major John L. Canley for Heroism in Vietnam,0
2,breitbart.com,WATCH: Claire McCaskill’s Staff Praise Her Ability to Hide Gun Control Support from Missouri Voters,0
3,breitbart.com,"China’s Golden Week Flops as Home Sales Crash, Cost of Living Soars",0
4,breitbart.com,Media Conspiracies About Brett Kavanaugh’s High School Yearbook Debunked,0
5,breitbart.com,Netflix Opens Albuquerque Production Hub Bringing $1 Billion to New Mexico,0
6,breitbart.com,Report: Google Hid User Data Breach from Public out of Fear Congress Would Take Action,0
7,breitbart.com,CNN’s Tapper: Trump Turned Ford into ‘an Object of Ridicule’ — ‘There Appears to Be No Bottom’,1
8,breitbart.com,Fashion Notes: Melania Trump’s $50 Snakeskin Loafers in Africa are Affordable Chic,1
9,breitbart.com,Teen Told to ‘Get Out’ of College Class After Confessing Tommy Robinson Support,0
10,breitbart.com,Watch: ‘We Want Kavanaugh!’ Chant Erupts at Trump’s Mississippi Rally,1
11,breitbart.com,"Bette Midler Tweets Women ‘Are the N-Word of the World’ ‘Raped, Beaten, Enslaved’",1
12,breitbart.com,Triggered: ‘SNL’ Star Pete Davidson Attacks ‘Mentally Ill’ Kanye West,0
13,breitbart.com,Scott Kelly Apologizes to Angry Woke Mob for Quoting Winston Churchill to Shame Republicans,0
14,breitbart.com,GOP Sen. Ernst: Red State Democrats Are ‘Toast if They Vote Against Kavanaugh’,0
15,breitbart.com,Nolte: Latest Ronan Farrow Report Further Discredits Deborah Ramirez’s Brett Kavanaugh Allegation,0
16,breitbart.com,Taylor Swift Smears Marsha Blackburn in Hackneyed Endorsement of Tennessee Senate Democrat Phil Bredesen,0
17,breitbart.com,UFC Fighter Says President Trump Told Him to Knock Russian Fighter Out,0
18,breitbart.com,John Kasich: Trump’s Supreme Court Victory Will Be ‘a Short-Term Win’,0
19,breitbart.com,"Antifa Takes Over Portland, Harasses Old Man for Disobeying",0
20,breitbart.com,Susan Collins Announces She Will Vote to Confirm Brett Kavanaugh,0
21,breitbart.com,Lindsey Graham: Susan Collins ‘Saved the Senate and the Judiciary from Sliding into the Abyss’,1
22,breitbart.com,Sarah Silverman Wishes for Trump to Be ‘Held Down’ and ‘Violated’,0
23,breitbart.com,Schiff: GOP Showing They’re ‘OK’ with ‘Putting Someone Who Attempted Rape on the Supreme Court’,1
