,source,title,is_clickbait
0,metro.co.uk,"Fashion news, sex tips, dating, food and travel: Metro Life & Style",1
1,metro.co.uk,"Fashion - Latest from the world of fashion, designers and catwalks",1
2,metro.co.uk,Property - latest from Metro Moves on house buying and homes,0
3,metro.co.uk,British lorry driver teaches motorway 'lesson' to migrant stowaways | Metro Video,0
4,metro.co.uk,Soldier who appeared in video with 'Tommy Robinson' to be discharged | Metro Video,0
5,metro.co.uk,Six-year-old boy spends 48 hours alone on motorway after car crash | Metro Video,0
6,metro.co.uk,Katie Price to photographers: 'I hope your f***ing wives die' | Metro Video,0
7,metro.co.uk,Hotel entrance collapses during live Hurricane Michael broadcast | Metro Video,0
8,metro.co.uk,Seann and Katya back together on Strictly insta post | Metro Video,0
9,metro.co.uk,"Opinions, real life stories and analysis from experts in their field",0
