,source,title,is_clickbait
0,theguardian.com,'Like an atomic bomb': Hurricane Michael leaves trail of devastation | US news,0
1,theguardian.com,At least six dead as storm blows through Carolinas – as it happened | US news,0
2,theguardian.com,Hurricane Michael: everything you need to know on the record-breaking storm | US news,1
3,theguardian.com,Hurricane Michael brings new threat to Florida's victims: toxic red tide | US news,0
4,theguardian.com,Floridians after Michael: 'The trailer didn't blow away … it's got a tree on it' | US news,1
5,theguardian.com,Hurricane Michael: scenes of destruction reveal scope of storm's force | US news,0
6,theguardian.com,Trump announces Jamal Khashoggi investigation but says he won't halt Saudi arms sales | World news,0
7,theguardian.com,Jamal Khashoggi case: sponsors urged to pull out of Saudi conference | World news,0
8,theguardian.com,"Kanye West touches on politics, love and 'iPlane 1' during bizarre Trump visit | US news",1
9,theguardian.com,Scaramucci lauds Trump's 'unique intellect' and trashes 'delusional' Bannon in new book | US news,0
10,theguardian.com,Republican attacks take aim at non-white congressional candidates | US news,0
11,theguardian.com,Democrats denounce 'deceitful' Trump claims of Venezuela-style socialism | US news,0
12,theguardian.com,Woman who bought shredded Banksy artwork will go through with purchase | Art and design,1
13,theguardian.com,Fyre festival: creator of disastrous event sentenced on fraud charges | US news,0
14,theguardian.com,Melania Trump says she could be 'the most bullied person' in world | US news,1
15,theguardian.com,Washington state's supreme court strikes down death penalty | US news,0
16,theguardian.com,"Wall Street slides again as Donald Trump blasts Fed, but ‘won’t fire’ Powell - business live | Business",0
17,theguardian.com,Rocket launches to be grounded while mid-air failure is investigated | Science,0
18,theguardian.com,Sign up to the Guardian's new US morning briefing | Info,0
19,theguardian.com,Sinking Santa Cruz: climate change threatens famed California beach town | US news,0
20,theguardian.com,Where now for the supreme court as Kavanaugh fulfils the conservative dream? | Law,0
21,theguardian.com,'We believe survivors': BrettKavanaugh.com becomes resource for sexual assault victims | US news,0
22,theguardian.com,Monsanto: judge moves to allow new trial after $289m cancer verdict | Business,0
23,theguardian.com,Healthy mice with same-sex parents born for first time | Science,0
24,theguardian.com,Why are stock markets falling and how far will they go? | Business,1
25,theguardian.com,Jimmy Kimmel on Trump’s op-ed: ‘He was in the fake news’ | Culture,1
26,theguardian.com,Anita Hill: Kavanaugh confirmation hearing 'disservice to the American public' | US news,0
27,theguardian.com,Men have no idea what women go through to have children | Mandy Len Catron | Opinion,1
28,theguardian.com,Weaponised AI is coming. Are algorithmic forever wars our future? | Ben Tarnoff | Opinion,1
29,theguardian.com,"Please, doctor, don't call my lost baby a 'product of conception' | Katy Lindemann | Opinion",1
30,theguardian.com,"A 'scary time' for Trump's boys? It should be, as women have nothing to lose | Van Badham | Opinion",1
31,theguardian.com,The EEOC has been busier than ever. Can you guess why? | Gene Marks | Business,1
32,theguardian.com,Khabib Nurmagomedov and Conor McGregor suspended for UFC 229 brawl | Sport,0
33,theguardian.com,Next Generation 2018: 60 of the best young talents in world football | Football,0
34,theguardian.com,"A year since Bruce Arena quit, the US still have an interim coach. Why? | Football",0
35,theguardian.com,Real Madrid sue over claims club forced Ronaldo to settle in rape case | Football,0
36,theguardian.com,Chelsea to send racist fans on Auschwitz trips instead of banning them | Football,0
37,theguardian.com,Nations League: 10 things to look out for in the international matches | Football,1
38,theguardian.com,Eden Hazard says he may need Real Madrid move to win Ballon d’Or | Football,0
39,theguardian.com,Cristiano Ronaldo’s lawyers claim rape allegation documents have been altered | Football,0
40,theguardian.com,Trump-Russia investigation: the key questions answered | US news,0
41,theguardian.com,"'S’all good, man': How Better Call Saul became superior to Breaking Bad | Television & radio",1
42,theguardian.com,Love after life: how TV imagines relationships beyond the grave | Television & radio,1
43,theguardian.com,'Print that!' Broadway legend Patti LuPone sounds off | Stage,0
44,theguardian.com,Nancy review – Riseborough shines in engaging psychodrama | Film,0
45,theguardian.com,'I believed love could cure cancer': how grief sent Steve Perry on a new Journey | Music,1
46,theguardian.com,Basketball star Elena Delle Donne is pushing for a cure for Lyme disease | Personal investments,0
47,theguardian.com,How Misty Copeland is empowering at-risk youth through dance | Personal investments,0
48,theguardian.com,Gold medalist Apolo Ohno champions inclusion through his work with Special Olympics | Personal investments,0
