,source,title,is_clickbait
0,cosmopolitan.com,"Hailee Steinfeld Covers Our December Issue and Talks Falling In Love, FOMO, and Red Solo Cups",1
1,cosmopolitan.com,Why Meghan Markle was relieved when she quit social media,1
2,cosmopolitan.com,It Sure Seems Like Khloé Kardashian Is Shading Tristan Thompson,1
3,cosmopolitan.com,Bake Off's Terry wrote the sweetest letter thanking fans for their support after his wife died,1
4,cosmopolitan.com,Doing Money: Why it's so important to watch the new BBC film about human trafficking,1
5,cosmopolitan.com,Nicki Minaj and Cardi B Officially Call a Truce After Trashing Each Other All Day,1
6,cosmopolitan.com,Prince William Is Reportedly Jealous of Harry and Debuted a New Haircut to Steal His Spotlight,0
7,cosmopolitan.com,"Khloé Kardashian Says Cheating Scandal Is ""Very Hard to Relive"" as Dramatic Trailer Drops",0
8,cosmopolitan.com,The Most Beloved Celebrity Couple from the Year You Graduated High School,1
9,cosmopolitan.com,"Prince Harry Reportedly Had a Pre-Wedding Meltdown and Shouted ""What Meghan Wants, She Gets!""",1
10,cosmopolitan.com,"5 reasons to add Midnight, Texas to your watchlist",1
11,cosmopolitan.com,Cardi B Just Went Off on Nicki Minaj AGAIN and Told Her to GTFO,1
12,cosmopolitan.com,"Olivia Munn on taking down Hollywood predators, even if she never works again",1
13,cosmopolitan.com,How Prince Harry's body language has changed since Meghan Markle's pregnancy was announced,1
14,cosmopolitan.com,Ariana Grande's First Post-Breakup Performance Was So Good People Literally Cried,1
15,cosmopolitan.com,5 Ways to Turn Your Phone into Your Personal Assistant,1
16,cosmopolitan.com,The Only 8 Flirting Moves You'll Ever Need,1
17,cosmopolitan.com,Black Mirror’s Charlie Brooker on the future of social media,0
18,cosmopolitan.com,Love Island’s Camilla Thurlow is getting her own TV show!,1
19,cosmopolitan.com,How I got my first job in: Video Game Directing,1
20,cosmopolitan.com,I Hate Halloween and Costumes and I'm Not Sorry,1
21,cosmopolitan.com,10 Dudes Reveal the Best Pickup Lines Women Have Sent Them on Tinder,1
22,cosmopolitan.com,24 Gifts for Teen Girls That Are So Cute It Hurts,1
23,cosmopolitan.com,"Okay, Halsey Totally Used a G-Eazy Lookalike in Her New Video",1
24,cosmopolitan.com,Love Island's Jess Shears and Dom Lever got married!,1
25,cosmopolitan.com,"Khloe Kardashian says Tristan Thompson's cheating scandal is ""very hard to relive""",0
26,cosmopolitan.com,Nicki Minaj Is Spilling Even More Details About That Intense Cardi B Fight,1
27,cosmopolitan.com,Prince Harry Revealing His Nickname for the Royal Baby Is the Cutest Thing Ever,1
28,cosmopolitan.com,30 Best-Selling Beauty Products That Had Waitlists for a Reason,1
29,cosmopolitan.com,"Uhhh, Meghan Markle's Friend Claims She Forced Her Ex-Husband to Sign a ""Pregnancy Contract""",1
30,cosmopolitan.com,"Uhhh, Is Prince Harry Patting Meghan Markle's Butt in This Picture?",1
31,cosmopolitan.com,14 of the best all-natural skin care products,1
32,cosmopolitan.com,The Angels at Netflix Are Releasing a Documentary About Dogs!,1
33,cosmopolitan.com,Here's Why Meghan Markle Has Her Hands in Her Pockets All the Time,1
34,cosmopolitan.com,10 Ways to *Finally* Deflate the Puffy Bags Under Your Eyes,1
35,cosmopolitan.com,"These 34 Naked Celebrity Halloween Lewks That Redefine the Sexy Costume Concept, TBH",1
36,cosmopolitan.com,Meghan Markle Warns Young People About Being Obsessed with Social Media,1
37,cosmopolitan.com,How Princess Eugenie's husband Jack Brooksbank has been officially welcomed into the royal family,1
