,source,title,is_clickbait
0,csmonitor.com,Melissa McCarthy turns to drama in ‘Can You Ever Forgive Me?’,1
1,csmonitor.com,US sanctions against Hezbollah and Iran hurt Shiite militias,0
2,csmonitor.com,A better way to view the migrant caravan,0
3,csmonitor.com,Four October movies you should see this month,1
4,csmonitor.com,US territory slammed by strongest storm to hit US this year,0
5,csmonitor.com,Symbolic mega-bridge connects Hong Kong to mainland,0
6,csmonitor.com,"As Brazil votes, Bolsonaro fans are hungry for a hero",0
7,csmonitor.com,‘Climate kids’ seek action – and await their day in court,0
8,csmonitor.com,Control of House may hinge on ‘Panera moms’ in the suburbs,0
9,csmonitor.com,What mail bombs say – and don’t say – about political discourse,0
10,csmonitor.com,Malaysia raises concern over plastic waste from developed countries,0
11,csmonitor.com,"Florida man charged in mail-bomb scare, ending nationwide manhunt",0
12,csmonitor.com,Can Idaho wolves shed their 'big bad' reputation?,0
13,csmonitor.com,How a post-Khashoggi US 'correction' on Saudi relations could unfold,0
14,csmonitor.com,African praise of Saudi Arabia highlights diplomatic pressures,0
15,csmonitor.com,"Amid 2018 rancor, O’Rourke’s optimism stood out. But can he keep it civil?",0
16,csmonitor.com,Community building: Chicago experiment links libraries and apartments,0
17,csmonitor.com,"For Iran's women's movement, progress is slow. But it's progress.",0
18,csmonitor.com,Why Americans are talking less and less about ‘love’ and ‘kindness’,1
19,csmonitor.com,Syria frees Japanese journalist after three years captivity,0
20,csmonitor.com,"As caravan wends its way north, Mexico walks a fine line",0
21,csmonitor.com,"Democrats rake in big bucks from small donors, but effect is unpredictable",0
22,csmonitor.com,Evangelical support gives Brazil's Bolsonaro votes in unlikely places,0
23,csmonitor.com,Political violence and its antidote,0
24,csmonitor.com,Trailer parks face rising rents. This one's residents found a way out.,1
25,csmonitor.com,Overdose deaths in US from opioid epidemic levels off,0
26,csmonitor.com,"In China, newly discovered dinosaur bones rewrite history",0
27,csmonitor.com,"Palestinian activist, Ahed Tamimi, takes her cause abroad",0
28,csmonitor.com,"Meanwhile in ... Berlin, three new rabbis have made history",0
29,csmonitor.com,NATO chief doesn't expect arms race despite US threats,0
30,csmonitor.com,Navajo Nation looks to Zumba and taxes to curb obesity,0
31,csmonitor.com,Vulnerable voting machines cause concern in Congo,0
32,csmonitor.com,Iraq tries a new approach to filling cabinet positions: open to all via online platform,0
33,csmonitor.com,Flashbacks from 2016 put Democrats on notice – and on edge,0
34,csmonitor.com,Person detained in connection with mail bombs,0
35,csmonitor.com,"Migrant caravan, increasing in size, treks north through Mexico",0
36,csmonitor.com,Trump threatens to cut Central American aid as caravan approaches US,0
37,csmonitor.com,Rent control on ballot as California seeks a fix for housing costs,0
38,csmonitor.com,"With new evidence, pressure mounts against Saudis after Khashoggi's killing",0
39,csmonitor.com,Human Rights Watch report highlights torture at the hands of Palestinians,0
40,csmonitor.com,How Syrian refugees strain – and strengthen – Jordan,1
41,csmonitor.com,Cities like Buffalo feel brunt of refugee cuts,0
42,csmonitor.com,Contest for GOP House leadership lays bare Republican divisions,0
43,csmonitor.com,Borrowed words spice up English,1
44,csmonitor.com,"After charity sex-abuse scandal in Liberia, a storm of anger, guilt, and grief",0
45,csmonitor.com,Why a nuclear-arms pact can save Europe,0
46,csmonitor.com,"‘Nationalist’: A president takes a mantle, then shows he means it",0
47,csmonitor.com,Florida's tight gubernatorial race gains momentum,0
48,csmonitor.com,'Anne Frank's Diary' is a profoundly moving graphic presentation of the classic,1
49,csmonitor.com,A new candidate class: schoolteachers running for office,0
50,csmonitor.com,A soft way to reform global trade,0
51,csmonitor.com,He’s no saint – but Roger Stone insists he’s innocent of Russia collusion,0
52,csmonitor.com,Risk of a new civil war? Today 'us and them' differs from 1850s.,0
