,source,title,is_clickbait
0,dailybuzzlive.com,"Donate a Testicle The payout for this is $35,000",1
1,dailybuzzlive.com,Philip Morris Begins Selling Marlboro “M” Brand Marijuana Cigarettes In Colorado,0
2,dailybuzzlive.com,VAGINA FLAVORED BEER! MADE FROM MODEL’S VAGINAL YEAST!,1
3,dailybuzzlive.com,KFC Allegedly Not Serving Real Chicken The Truth About KFC’s Name Change,1
4,dailybuzzlive.com,Cannibals Arrested in Florida Claim Eating Human Flesh Cures Diabetes and Depression,0
5,dailybuzzlive.com,‘The Baby Muzzle’: A New Japanese Invention For Your Crying Baby,1
6,dailybuzzlive.com,ANOTHER Teen Tragically DIES After Breaking Her Neck From Ice Bucket Challenge,0
7,dailybuzzlive.com,"McDonald’s Removing Big Mac, Apple Pies And Eliminating Large Size Options",0
8,dailybuzzlive.com,"If You’re Italian, German or Irish-American, This is How Your Ancestors Were Treated as Immigrants",1
9,dailybuzzlive.com,Energy Drinks Contain Ingredient Extracted From Bull Urine And Semen,0
10,dailybuzzlive.com,FDA Approved Paint Thinner In Your Kids Cereal,1
11,dailybuzzlive.com,Prehistoric Owl Successfully Cloned In Brazil – Plucks Out Scientists Eyeballs In Attack,0
12,dailybuzzlive.com,Breaking Dawn Pt 3 – Jacob And Renesmee – Next November 14,0
13,dailybuzzlive.com,"Category 6? If Hurricane Irma Becomes The Strongest Hurricane In History, It Could Wipe Entire Cities Off The Map",0
14,dailybuzzlive.com,Man Takes Selfie Right Before A Deadly Shark Attack,0
15,dailybuzzlive.com,8 Beers You Should Stop Drinking IMMEDIATELY!,1
16,dailybuzzlive.com,10 Drugs That Used To Be Legal In The 1920’s,1
17,dailybuzzlive.com,"Killer Turns Abandoned Home Into Haunted House, Uses Real Corpses As Props",0
18,dailybuzzlive.com,"The Girl In The Closet, The Most Horrific Case Of Child Abuse",1
19,dailybuzzlive.com,Iranian Girl Undergoes 50 Surgeries To Look Like Angelina Jolie,1
20,dailybuzzlive.com,Disney Illuminati And Satanic Symbols Exposed!,0
21,dailybuzzlive.com,Monster Energy Using Urea (Cow Urine) Compound As An ‘Energy Booster’ In Drinks,0
22,dailybuzzlive.com,Takis Causing Children to Get Sick With Ulcers And Cancer.,1
23,dailybuzzlive.com,Dead Man Rides Motorcycle At His Own Funeral,0
24,dailybuzzlive.com,13 People Of Walmart Photos That You Will Wish You Never Saw,1
25,dailybuzzlive.com,Worst Roller Coaster Accidents Caught On Video,0
26,dailybuzzlive.com,Close Look At McDonald’s Chicken McNuggets Under A Microscope,0
27,dailybuzzlive.com,Colorado McDonald’s Offers First Marijuana Friendly Smoking Section In Restaurant,0
28,dailybuzzlive.com,72-Year-Old Granny Having A Baby With Her Grandson,1
29,dailybuzzlive.com,Guess What Kids Are Smoking Now To Get High – TWIX Candy Bars,1
30,dailybuzzlive.com,New Government Program Provides FREE GAS CARDS To Welfare Recipients,0
31,dailybuzzlive.com,WARNING! SCAM ALERT: Be On The Look Out For These 2 Men In Walmart Parking Lots,1
32,dailybuzzlive.com,Elementary School Student Expelled For Pimping Female Classmates For “$3 Kisses And $2 Hugs”,0
33,dailybuzzlive.com,See What Happened After This Abused Dog Was Thrown Down A Trash Chute,1
34,dailybuzzlive.com,Woman Takes Flu Vaccine Now She Can’t Walk Forward,0
35,dailybuzzlive.com,76 Year Old Woman Kicked Out Of KFC For Breastfeeding Her 42 Year Old Son,1
36,dailybuzzlive.com,News Helicopter Sucked Into Tornado Caught On Video,0
37,dailybuzzlive.com,What Happens When A Teen At A Rave Decides To Lick A Frog To Get High,0
38,dailybuzzlive.com,10 Times Grandparents Texts Made Everyone Die From Laughter,1
39,dailybuzzlive.com,10 Creepy Sea Creatures You Didn’t Know Existed,1
40,dailybuzzlive.com,What The Average American Will Look Like In 2050,1
41,dailybuzzlive.com,WATCH: 10 Strange Creature Sightings Caught On Video,1
42,dailybuzzlive.com,McDonald’s Reveals ‘Special Sauce’ Ingredients And It Doesn’t Include ‘Semen’,0
43,dailybuzzlive.com,Bacon Wrapped Alligator With A Whole Chicken Stuffed In Its Mouth,0
44,dailybuzzlive.com,The Satanic Truth Behind Starbucks Coffee Logo,0
