,source,title,is_clickbait
0,dailyrecord.co.uk,"Aberdeen handed 20,000 tickets for Betfred Cup Final against Celtic – but have had to provide insurance",0
1,dailyrecord.co.uk,Amy Macdonald to play King Tut's gig for music therapy charity Nordoff Robbins,0
2,dailyrecord.co.uk,Ex-Celtic Boys' Club coach Jim Torbett tells jury he is asexual as child sex abuse trial continues,0
3,dailyrecord.co.uk,Holytown murder victim named as Mohammad Abu Sammour as cops believe killers used his works van to dump him,0
4,dailyrecord.co.uk,West Dunbartonshire foodbank fears it will run out of cash,0
5,dailyrecord.co.uk,Hamilton school receives top art and heritage award,0
6,dailyrecord.co.uk,Vehicle smashes into level crossing causing rail disruption across Scotland,0
7,dailyrecord.co.uk,War memorial garden opened in Aberfeldy,0
8,dailyrecord.co.uk,6 things we spotted at Rangers training as Steven Gerrard demands side bounce back against Kilmarnock,0
9,dailyrecord.co.uk,Kirkcudbright art installations vandalised by yobs,0
10,dailyrecord.co.uk,Celtic squad revealed as Dedryck Boyata returns for Dundee clash,0
11,dailyrecord.co.uk,Steven MacLean charged with violent conduct and faces two-match ban after invasion of Eboue Kouassi’s privates,0
12,dailyrecord.co.uk,Balloch pupils kept indoors to protect them from slipping on playground paint,0
13,dailyrecord.co.uk,Steven Gerrard snaps as reporter asks Rangers player Jordan Rossiter about his threat,0
14,dailyrecord.co.uk,Irvine schoolgirl walks Rangers team out at Ibrox for Europa League clash,0
15,dailyrecord.co.uk,Fuming Neil Lennon hits out at SPFL over 'criminal' fixture list which could see 'rigor mortis' setting in,0
16,dailyrecord.co.uk,Foodbank use in Renfrewshire expected to soar by 52 per cent following full Universal Credit rollout,0
17,dailyrecord.co.uk,Perthshire baker bares all for charity cash,0
18,dailyrecord.co.uk,Wallace Monument's Hall of Heroes gets its first female figures,0
19,dailyrecord.co.uk,Joey Barton has his say on Rangers and Steven Gerrard as he claims the interest is back in Scottish football,0
20,dailyrecord.co.uk,West Lothian primary school kids applauded by council for work helping homeless,0
21,dailyrecord.co.uk,"Brendan Rodgers provides updates on Celtic stars Olivier Ntcham, Tom Rogic and Eboue Kouassi",0
22,dailyrecord.co.uk,Broadcast news as station gets new HQ in Pitlochry,0
23,dailyrecord.co.uk,Kirkcudbright's Masonic Arms in the running to be named Scotland's best gin bar,0
24,dailyrecord.co.uk,Steven Gerrard reveals Rangers targets have been identified as he repeats warning to players,0
25,dailyrecord.co.uk,"Own study into Brexit wouldn’t be worth it, say West Dunbartonshire council chiefs",0
26,dailyrecord.co.uk,Perth hospital housing bid is deferred by councillors,0
27,dailyrecord.co.uk,Kilmarnock golf course back to the full 18 following repair works,0
28,dailyrecord.co.uk,The graph that shows Celtic riding high in European earnings,0
29,dailyrecord.co.uk,Rangers squad revealed as Alfredo Morelos and Kyle Lafferty return for Kilmarnock clash,0
30,dailyrecord.co.uk,Man arrested after dog bites policeman in Bonhill,0
31,dailyrecord.co.uk,Airdrie Academy raise more than £10k for school's chosen charities,0
32,dailyrecord.co.uk,"Where Celtic, Rangers and Aberdeen rank in Britain’s biggest 50 clubs for wages paid",0
33,dailyrecord.co.uk,What has Rangers loanee Carlos Pena been up to since hitting the headlines?,1
34,dailyrecord.co.uk,Boats to be brought in to help remove plastics washed up on Galloway beaches,0
35,dailyrecord.co.uk,Fraudsters and scammers becoming more 'sophisticated' and 'difficult to spot' in Renfrewshire,0
36,dailyrecord.co.uk,Drug factory in Bridge of Earn,0
37,dailyrecord.co.uk,Missing 89-year-old Glasgow pensioner sparks 'extensive search' by cops,0
38,dailyrecord.co.uk,Monklands Hospital relocation debate reaches Parliament as politicians debate,0
39,dailyrecord.co.uk,Perthshire man is back with his hero 23 years on,1
40,dailyrecord.co.uk,Retailer looks to open purpose-built supermarket in Galston,0
41,dailyrecord.co.uk,Pull on your all singing and all dancing shoes for CHAS,1
42,dailyrecord.co.uk,Further high street heartache for Kilmarnock as Topshop pulls out of town,0
43,dailyrecord.co.uk,Cops probing Suzy Lamplugh murder dig up back garden of suspect's mum,0
44,dailyrecord.co.uk,Queen of the South eye three wins in a row as Morton come to Palmerston,0
45,dailyrecord.co.uk,Community Justice Scotland: The groundbreaking campaign to promote smarter sentencing in Scotland,0
46,dailyrecord.co.uk,Fire yobs jailed for a total of 22 years after setting alight a car in Annan with flames spreading to family home,0
47,dailyrecord.co.uk,Figures show winter deaths across Lanarkshire are at a three-year high,0
48,dailyrecord.co.uk,Family 'left with just 74p to live on for a week' after 'Universal Credit blunder',0
49,dailyrecord.co.uk,Good news for Haldane family hit by firebugs,0
50,dailyrecord.co.uk,Steven Naismith out for up to two months in latest Hearts hammer blow,0
51,dailyrecord.co.uk,Steve Clarke wary of Rangers Betfred Cup backlash but insists Kilmarnock have belief they can win,0
52,dailyrecord.co.uk,Queen of the South's new book will help raise cash for good causes in the region,0
53,dailyrecord.co.uk,Coatbridge childhood sweethearts celebrate diamond anniversary,0
54,dailyrecord.co.uk,Rangers European run is a smokescreen for how poor their domestic form is - Hotline,1
55,dailyrecord.co.uk,Penny Cars to help Advertiser complete St Andrew's Hospice appeal pledge,0
56,dailyrecord.co.uk,Kind schoolgirl donates 12 inches of her long locks to sick kids,1
57,dailyrecord.co.uk,Brave Scots teen Kira Noble reveals cancer battle continues as doctors diagnose new lesion,0
58,dailyrecord.co.uk,Airdrie thug sent back to jail after breaching release order,0
59,dailyrecord.co.uk,Cleland boxing star will represent Scotland at World Championships in India,0
60,dailyrecord.co.uk,"Man swore at Dumbarton cops during attempt to get ""free"" lift",0
61,dailyrecord.co.uk,Jose Mourinho being eyed by Real Madrid chief Florentino Perez for sensational return,0
62,dailyrecord.co.uk,Injury blow for Rangers Europa League opponents Spartak Moscow with two stars crocked,0
63,dailyrecord.co.uk,Fate of huge Morningside housing development will be decided at planning hearing,0
64,dailyrecord.co.uk,Stoke reveal James McCLean will not wear a poppy as winger issues statement,0
65,dailyrecord.co.uk,Scots mum calls for ban on 'potential killer' lollipops this Halloween after daughter nearly died,0
66,dailyrecord.co.uk,Council planners blasted after bid to build 130 homes in Cleland booted out,0
