,source,title,is_clickbait
0,egyptindependent.com,"Disney revives ‘Aladdin’ movie, set to premier 2019",1
1,egyptindependent.com,"Gouna Film Festival will host Sylvester Stallone, Owen Wilson",0
2,egyptindependent.com,"Dhafer L’Abidine, Antonio Banderas to co-star in new movie",0
3,egyptindependent.com,5 breakfast ideas to get you out of bed in the morning,1
4,egyptindependent.com,200 US soldiers to deploy in Sinai for 9 months: US National Guard,0
5,egyptindependent.com,Is Egypt really Zika free?,0
6,egyptindependent.com,Smallest nation ever to reach World Cup finals,0
7,egyptindependent.com,Parliament approves increase on residence fees of foreigners in Egypt,0
8,egyptindependent.com,"Egypt’s school system: Taking a look at schools, their curricula, and accreditation",1
9,egyptindependent.com,"Egyptians are the fattest Africans, says WHO",1
10,egyptindependent.com,Gold rush: Why the Indian wedding season is a boon for Dubai,1
11,egyptindependent.com,The 5-year-old girl who opened the world’s eyes to Yemen’s plight,1
12,egyptindependent.com,"Pompeo holds more North Korea talks, both sides seeking to ‘clarify’",0
13,egyptindependent.com,Dove apologizes for ad: We ‘missed the mark’ representing black women,1
14,egyptindependent.com,Italy provides family background on child seeking medical care for brother,0
15,egyptindependent.com,32 killed in bloody night for Duterte’s war on drugs,0
16,egyptindependent.com,Rock the fattah: Eid meat treats from near and far,1
17,egyptindependent.com,Qatar hosts largest US military base in Mideast,0
18,egyptindependent.com,Ethiopia deports MENA’s manager in Addis Ababa,0
19,egyptindependent.com,Most of Egypt’s classes hit in the pocket by soaring food prices ahead of Ramadan,0
20,egyptindependent.com,Trial of Boko Haram suspects in Nigeria poses legal nightmare,0
21,egyptindependent.com,Women in Saudi Arabia still can’t do these things,1
22,egyptindependent.com,Egypt ranked 6th most dangerous travel destination in WEF report,0
23,egyptindependent.com,Egyptian Air Forces destroy 12 vehicles loaded with weapons on Egypt’s western borders,0
24,egyptindependent.com,Video | Jazeera takes Emir of Qatar speech off air after few seconds,0
25,egyptindependent.com,‘Afghan Girl’ in iconic National Geographic photo arrested in Pakistan,0
26,egyptindependent.com,Rivals see ruse in Palestinian political forum to be convened by Abbas,0
27,egyptindependent.com,Social media users force 5 sponsors to withdraw from Reham Saeed’s Sabaya al-Kheir,0
28,egyptindependent.com,"Catalonia, Madrid ramp up rhetoric ahead of contested independence referendum",0
29,egyptindependent.com,Indian PM Modi tells Merkel India and Germany ‘made for one another’,0
30,egyptindependent.com,"As Trump challenges Iran nuclear deal, those in Tehran worry",0
31,egyptindependent.com,Stunned residents turfed out of London towers in the night,0
32,egyptindependent.com,"On Alexandria’s Fouad Street, some have a longing for the elegant past",0
