,source,title,is_clickbait
0,english.ahram.org.eg,Russia to respond to NATO exercises with missile tests,0
1,english.ahram.org.eg,Two Egyptian women sentenced to three years over death of three children,0
2,english.ahram.org.eg,Tennis: Roger Federer on Tuesday confirmed his participation at this year's Paris Masters after a three-year absence.,0
3,english.ahram.org.eg,Egypt's Canada-based defender Ghazal dreams of playing in Premier League,0
4,english.ahram.org.eg,Arsenal's Egyptian midfielder Elneny out for two weeks with thigh injury,0
5,english.ahram.org.eg,"UPDATED: Sisi hails Germany's support for Egypt, says migration issue will not be solved through the security option",0
6,english.ahram.org.eg,Nigeria's Obi Mikel has not quit international football,0
7,english.ahram.org.eg,Egypt keeps customs exchange rate at EGP 16 per $1 in November,0
8,english.ahram.org.eg,Egypt to see warmer weather for rest of the week,0
9,english.ahram.org.eg,Sisi says Egypt aims to boost trade and investment with Germany,0
10,english.ahram.org.eg,DR Congo's Vita Club lodge a complaint with CAF against Egypt's Masry: Report,0
11,english.ahram.org.eg,Indonesian jet flew erratically the day before it crashed,1
12,english.ahram.org.eg,Iran says US sanctions will have 'severe consequences' for world order,0
13,english.ahram.org.eg,Egypt prosecution refers 43 to military court over 2017 Wahat terrorist attack,0
14,english.ahram.org.eg,Varane sidelined as problems deepen for struggling Real Madrid,0
15,english.ahram.org.eg,Mahrez pays tribute to Leicester owner after netting Man City winner,0
16,english.ahram.org.eg,Israeli minister on Dubai visit calls for 'peace',0
17,english.ahram.org.eg,Egypt police foil attempt to sell stolen sarcophagus,0
18,english.ahram.org.eg,Erdogan’s media game,0
19,english.ahram.org.eg,England midfielder Dele Alli signs new Tottenham deal,0
20,english.ahram.org.eg,Israeli army opens probe into killing of Gaza medic,0
21,english.ahram.org.eg,Thousands evacuated as Typhoon Yutu strikes Philippines,0
22,english.ahram.org.eg,Israel appoints its first female ambassador to Egypt,0
23,english.ahram.org.eg,Solari takes first training sessison at Real Madrid,0
24,english.ahram.org.eg,Egypt's Sisi to hold talks with Germany's Merkel in Berlin on Tuesday,0
25,english.ahram.org.eg,Saudi prosecutor visits Istanbul court house in Khashoggi investigation: NTV,0
26,english.ahram.org.eg,"UPDATED: Woman blows herself up in Tunis, wounding 15 people including 10 police officers",0
27,english.ahram.org.eg,"Woman blows herself up in Tunis, wounding 15 including 10 policemen; authorities investigating",0
28,english.ahram.org.eg,Egypt's Ismaily held by Morocco's Raja in Arab Club Champions Cup,0
29,english.ahram.org.eg,"Egypt's Sisi discusses economic cooperation with German minister of economy and energy, CEOs",0
30,english.ahram.org.eg,Trump citizenship plan may not conflict with constitution: Pence,0
31,english.ahram.org.eg,"'We are determined to win the Champions League title,' says Esperance coach Chaâbani",0
32,english.ahram.org.eg,Egypt's Pyramids appoint Hossam Hassan as new coach,0
33,english.ahram.org.eg,Leicester's Amartey pays tribute to club owner,0
34,english.ahram.org.eg,"Egypt supports peace deal in South Sudan, Sisi tells Salva Kiir",0
35,english.ahram.org.eg,Egypt's Masry stick with coach Hossam Hassan despite resignation,0
36,english.ahram.org.eg,Israeli army kill Palestinian man during Gaza beachfront protests: Medics,0
37,english.ahram.org.eg,"Indonesian aircraft was new, fell out of a clear sky minutes after take-off: Reuters",0
38,english.ahram.org.eg,Where is the starch? Egyptians search for potatoes as prices soar,0
39,english.ahram.org.eg,UPDATED: Nine people wounded as woman blew herself up in Tunis,0
40,english.ahram.org.eg,Egypt's Sisi praises special Egyptian-German relations in meeting with Bundestag speaker in Berlin,0
41,english.ahram.org.eg,Real Madrid's board of directors to decide Lopetegui's fate,0
42,english.ahram.org.eg,Egypt's Sharm El-Sheikh airport receives 1st Kazakh flight carrying Russian tourists,0
43,english.ahram.org.eg,Egypt and the UN,0
44,english.ahram.org.eg,Merkel says planned exit won't diminish her influence abroad,0
45,english.ahram.org.eg,Russia at a crossroads over doping scandal: WADA's Niggli,0
46,english.ahram.org.eg,"Egypt, Burundi defence ministers discuss military cooperation in Cairo meeting",0
47,english.ahram.org.eg,Egypt's 22nd National Cinema Festival opens this week,1
48,english.ahram.org.eg,Cairo court orders release of economist Abdel-Khalek Farouk pending investigation into spreading false news,0
49,english.ahram.org.eg,Speedball: Egypt collect all golds at 30th World Championship in Kuwait,0
50,english.ahram.org.eg,"Lebanese Forces says will join new government, clearing way for deal",0
51,english.ahram.org.eg,Developing non-bank financial sector in Egypt vital to the economy: Minister of Business Sector,0
52,english.ahram.org.eg,Turkish ship to drill for oil and gas in Mediterranean: Minister,0
53,english.ahram.org.eg,Gareth Bale bears brunt of Real criticism,0
54,english.ahram.org.eg,Egyptian court orders release of economist Abdel-Khalek Farouk pending investigation for 'false news',0
55,english.ahram.org.eg,"Egypt's Sisi discusses tourism, trade with Germany's Steinmeier in Berlin",0
56,english.ahram.org.eg,"Guardiola digs out Wembley pitch, but says it may have saved City",0
57,english.ahram.org.eg,BREAKING: Woman blows herself up in central Tunis: State radio,0
58,english.ahram.org.eg,Juventus midfielder Emre Can undergoes thyroid surgery,0
59,english.ahram.org.eg,Russia's only aircraft carrier damaged after floating dock sinks,0
60,english.ahram.org.eg,Druze on Golan Heights protest against Israeli municipal election,0
61,english.ahram.org.eg,Ahly first choice goalkeeper El-Shennawi fit for CAF Champions League final,0
62,english.ahram.org.eg,Spanish FA vice president arrested as part of corruption investigation,0
63,english.ahram.org.eg,"Martial has world at his feet, says Manchester United teammate Matic",0
64,english.ahram.org.eg,"Turkey to launch operations east of Euphrates in Syria soon, Erdogan says",0
65,english.ahram.org.eg,The scramble for the Red Sea,0
66,english.ahram.org.eg,"Indonesia deploys divers, 'pinger locators' in hunt for doomed plane's cockpit recorders",0
67,english.ahram.org.eg,WikiLeaks' Assange says Ecuador seeking to end his asylum,0
68,english.ahram.org.eg,Real Madrid fires coach Lopetegui after big loss to Barca,0
69,english.ahram.org.eg,Palestinians revive calls to end security ties with Israel,0
70,english.ahram.org.eg,Britain's May says not preparing for general election,0
71,english.ahram.org.eg,Asian football body signs major marketing deal,0
72,english.ahram.org.eg,Cairo mental hospital officials charged with neglect resulting in patient deaths,0
73,english.ahram.org.eg,Ally of Germany's Merkel urges sister party leader to step down as well,0
74,english.ahram.org.eg,Syria says Turkey not implementing Idlib deal: Report,0
75,english.ahram.org.eg,"Trump sends 5,200 troops to Mexico border as caravan advances",0
76,english.ahram.org.eg,Trump weighing options in response to Khashoggi killing: White House,0
77,english.ahram.org.eg,Trump to travel to Pennsylvania on Tuesday after synagogue shooting,0
78,english.ahram.org.eg,Egypt's Bourse gains EGP 6 bln Monday,0
79,english.ahram.org.eg,"US urges EU to stop WTO steel spat, hopes for deal with Canada, Mexico",0
80,english.ahram.org.eg,"Pirates seize eight Polish crew, three others from ship off Nigeria coast",0
81,english.ahram.org.eg,Syrian Kurds boost fight against IS in east after setback,0
82,english.ahram.org.eg,Five talking points from the weekend in Spain La Liga,0
83,english.ahram.org.eg,Reaction to death of Leicester City chairman,0
84,english.ahram.org.eg,Five talking points from the Serie A weekend,0
85,english.ahram.org.eg,Egypt sends condolences to Indonesia after plane crash,0
86,english.ahram.org.eg,Israeli forces assault Egyptian Coptic monks during Jerusalem monastery protest,0
87,english.ahram.org.eg,Egypt climbs six places in FIFA October rankings,0
88,english.ahram.org.eg,BREAKING: Saudi public prosecutor says Khashoggi murder premeditated: State TV,0
89,english.ahram.org.eg,Algeria's Mahrez scores as Man City go top with 5-0 crushing of Burnley,0
90,english.ahram.org.eg,Khashoggi disappearance: A game changer,0
91,english.ahram.org.eg,Art Talks gallery showcases Egyptian artists in Cultural Narratives exhibition in Kuwait,0
92,english.ahram.org.eg,"Egypt, EIB sign 214 mln euro deal to improve sanitation services in Nile Delta",0
93,english.ahram.org.eg,West Nile Delta oil well begins production: Petroleum ministry,0
94,english.ahram.org.eg,Erdogan calls on Saudi Arabia to hand suspects in Khashoggi killing for trial in Turkey,0
95,english.ahram.org.eg,Egypt won't face Brazil but may play friendly against Asian team: Asst coach Ramzy,0
96,english.ahram.org.eg,Benzarti sacked as Tunisia coach despite Cup of Nations qualification,0
97,english.ahram.org.eg,Return of injured players to boost Ahly ahead of ES Sétif game: Carteron,0
98,english.ahram.org.eg,Trump says not satisfied with Saudi account of Khashoggi death,0
99,english.ahram.org.eg,Cairo Russian Cultural Centre unveils bust of Russian statesman Yevgeny Primakov,0
