,source,title,is_clickbait
0,english.chosun.com,Stranded Korean Tourists Start Returning from Typhoon-Hit Saipan,0
1,english.chosun.com,U.S. Envoy to N.Korea Expresses Confidence About Denuclearization,0
2,english.chosun.com,Chrysanthemum Fest in Changwon Highlights Colorful Autumn,0
3,english.chosun.com,Far-Right Candidate Wins Brazil's Presidential Election,0
4,english.chosun.com,Germany's 'Iron Lady' Begins Descent After Coalition's Electoral Setback,0
5,english.chosun.com,Xiaomi to Launch New Smartphone in Korea Next Month,0
6,english.chosun.com,"KOSPI Closes Below 2,000 for 1st Time Since 2016",0
7,english.chosun.com,Thousands in Rome Protest City's Neglect,0
8,english.chosun.com,British Soccer Club Owner and Four Others Dead in Helicopter Crash,0
9,english.chosun.com,"Japan, India Leaders Build Ties Amid Trade, Security Worries",0
10,english.chosun.com,189 People Feared Dead After Plane Crash in Indonesia,0
11,english.chosun.com,Footballer Jang Hyun-soo Faces Punishment for Fake Draft-Exemption Documents,0
12,english.chosun.com,2 Koreas Complete Disarmament in Joint Security Area,0
13,english.chosun.com,"Istanbul to Unveil New Airport, Seeks to be World's Biggest",0
14,english.chosun.com,Chinese Spy Jet Enters Korea's Air Identification Zone Again,0
15,english.chosun.com,U.S. Authorities: Mayhem at Pittsburgh Synagogue a 'Hate Crime',0
16,english.chosun.com,Access to Daycare Centers Encourages Having More Kids,0
17,english.chosun.com,Mattis Stresses Need for 'Transparent' Probe into Khashoggi Killing,0
18,english.chosun.com,GM CEO Mulls Visit to Korea,0
19,english.chosun.com,Gunsan Bakery Tops Drivers' Favorite Eateries,0
20,english.chosun.com,Park Gyeol Wins 1st KLPGA Title After 4 Years,0
21,english.chosun.com,Top Court to Issue Ruling on Wartime Forced Labor Claims Against Japanese Firm,0
22,english.chosun.com,Seoul City to Expand Free Meals to High Schools,0
23,english.chosun.com,BTS to Have Joint Performance with Charlie Puth in Incheon Next Month,0
24,english.chosun.com,"Japan, China Work to Elevate Ties Despite Differences",0
25,english.chosun.com,U.S. Authorities Arrest Person in Connection with Bomb Mailings,0
26,english.chosun.com,Supreme Court to Rule on Wartime Forced-Labor Suit,0
27,english.chosun.com,Millennial Families Change Consumption Patterns,0
28,english.chosun.com,Thousands Move Abroad to Escape Their Debts,0
29,english.chosun.com,Boy Band EXO to Unveil New Album Next Month,0
30,english.chosun.com,Dodgers’ Ryu Hyun-jin Suffers Loss in 1st World Series Appearance,0
31,english.chosun.com,Korea-Japan Relations Chill Further,0
32,english.chosun.com,Commemorative Coins Honor Legendary Singer Cho Yong-pil,0
33,english.chosun.com,UN Expert on Human Rights Welcomes Thaw on Korean Peninsula,0
34,english.chosun.com,Korean Economy Faces Long Doldrums,0
35,english.chosun.com,Trump: Saudi Crown Prince Bears Ultimate Responsibility for Dissident's Killing,0
36,english.chosun.com,"NYTimes: China Listens to Trump Cellphone Calls, Tries to Sway Policy",0
37,english.chosun.com,Remains of S.Korean War Dead Found in DMZ,0
38,english.chosun.com,Hyundai Suffers Huge Drop in Profits,0
39,english.chosun.com,Ko Jin-young Named LPGA's Rookie of the Year,0
40,english.chosun.com,Google Abandons Planned Berlin Office Hub,0
41,english.chosun.com,Bangtan Boys Steal the Show at Awards Ceremony,0
42,english.chosun.com,U.S. Stocks Rebound Strongly,0
43,english.chosun.com,Women Take Top Posts as Ethiopian Politics Evolve,0
44,english.chosun.com,U.S. Nuclear Envoy Stephen Biegun in S.Korea for Talks on N.Korea,0
45,english.chosun.com,N.Korea's Economy Is Shrinking,0
46,english.chosun.com,Excitement Builds Among Opera Fans Ahead of Plácido Domingo Performance in Seoul,0
47,english.chosun.com,Retired U.S. General Says War with China Likely in 15 Years,0
48,english.chosun.com,KOSPI Hits Fresh Record Lows Every Day,0
49,english.chosun.com,Seoul Taxi Fares to Rise Drastically,0
50,english.chosun.com,"Mailed Bombs Draw Condemnations, Finger-Pointing",0
51,english.chosun.com,Moon Signs Inter-Korean Military Pact into Law,0
52,english.chosun.com,Rampant (2018),0
53,english.chosun.com,KOSPI Hits Fresh Low,0
54,english.chosun.com,Fuel Taxes to Be Slashed 15% Next Month,0
55,english.chosun.com,Samsung to Offer 5G Smartphones,0
56,english.chosun.com,Figure Skater Cha Jun-hwan Wins Bronze Medal at ISU Grand Prix in Canada,0
57,english.chosun.com,"N.Koreans Continue to Work in China, Russia Despite UN Sanctions",0
58,english.chosun.com,N.Korean Sub Movement in East Sea Detected by Satellites,0
