,source,title,is_clickbait
0,espn.go.com,The ugly numbers that explain the Giants' offensive struggles,1
1,espn.go.com,Teez Tabor: 'Let my teammates down' in loss to Seattle,0
2,espn.go.com,"Oh, the horror: Ravens' most gruesome month remains October",1
3,espn.go.com,"Browns upheaval: Who calls plays, impact on Mayfield, what's next",1
4,espn.go.com,How the Chargers got comfortable closing out games,1
5,espn.go.com,Tajae Sharpe developing into reliable receiver for Titans,0
6,espn.go.com,"A year and a half in, plenty of work remains for John Lynch, Kyle Shanahan",0
7,espn.go.com,"Ed Dickson, K.J. Wright returns give Seahawks 'a great boost'",0
8,espn.go.com,"Todd Gurley trendsetting again, this time as an MVP candidate",1
9,espn.go.com,"Patriots' D flexes vs. Bills; Aaron Rodgers, Packers up next",0
10,espn.go.com,"Chargers' Melvin Gordon, Joey Bosa not ruled out for Seahawks",0
11,espn.go.com,One year later: Bears' Zach Miller nears recovery milestone,0
12,espn.go.com,The benching of Eli Manning for Kyle Lauletta has to be coming,0
13,espn.go.com,Broncos only need a mirror to discover their biggest problem,1
14,espn.go.com,Sammy Watkins has his best day with the Chiefs,1
15,espn.go.com,Penny Hardaway travels full circle to coach Memphis Tigers,0
16,espn.go.com,"Packers must lean on Jaire Alexander, other emerging playmakers",0
17,espn.go.com,Saints' defense gets revenge at Minnesota with sixth straight win,0
18,espn.go.com,"With Will Fuller out for 2018, will Texans trade for replacement?",0
19,espn.go.com,"Le'Veon Bell saga: $7.6M available, report dates, trade options",0
20,espn.go.com,How Damon 'Snacks' Harrison helped Lions defense in his debut,1
21,espn.go.com,"Bucs on the hot seat: How fates of Koetter, Winston are tied",1
22,espn.go.com,Start gearing up for Rams-Saints to decide the NFC,0
23,espn.go.com,How Amari Cooper's presence can help Cowboys from Dak to Zeke,0
24,espn.go.com,Red Sox close out Dodgers in five games,0
25,espn.go.com,"Brady says he's 'inching' towards 1,000 yards rushing",0
26,espn.go.com,DeMarcus Cousins apologizes to Steve Kerr for ejection from Warriors' bench,0
27,espn.go.com,Patriots improve AFC East-leading record to 6-2,0
28,espn.go.com,On this date: Ali knocks out Foreman in the Rumble in The Jungle,1
29,espn.go.com,Drake's Week 8 a sign of things to come?,1
30,espn.go.com,Doyle impresses in return,0
31,espn.go.com,Good signs from Jordan Reed,0
32,espn.go.com,Miller locked in as RB2,0
33,espn.go.com,"Chargers' offensive balance, pass rush too much for Titans",0
