,source,title,is_clickbait
0,fastcompany.com,Exclusive: WhoWhatWear’s owner gets serious about making its own products,0
1,fastcompany.com,How Blumhouse is making a killing at the box office,1
2,fastcompany.com,Trump thinks he can end birthright citizenship. What exactly is the 14th Amendment?,1
3,fastcompany.com,The startup resistance: How activists and entrepreneurs are taking on the Trump agenda,1
4,fastcompany.com,Netflix and Ava Duvernay are gonna party like it’s 1999,1
5,fastcompany.com,No doubt about it: The new iPad Pro is a computer,1
6,fastcompany.com,Google’s latest Doodle celebrates Halloween as a multiplayer game,0
7,fastcompany.com,Get ready for Google-powered ads in Tinder,0
8,fastcompany.com,Signal proves it’s privacy king with new sender anonymity feature,0
9,fastcompany.com,IBM is funding a fleet of rubber ducky-inspired gadgets to help disaster response,0
10,fastcompany.com,How you can become the type of employee hiring managers dream of,1
11,fastcompany.com,Pharrell threatens to sue Trump for using “Happy” at rally,0
12,fastcompany.com,The ACLU launches a clever UX hack for midterm voting,0
13,fastcompany.com,"These gorgeous colors come from dye made by bacteria, not chemicals",1
14,fastcompany.com,The MacBook Air gets its first design upgrade in eight years,0
15,fastcompany.com,Exclusive: The Standard hotel created a virtual lobby so you can meet fellow guests IRL,1
16,fastcompany.com,These socks and underwear are made from 100% recycled yarn,1
17,fastcompany.com,The 9 most important iPhone privacy and security settings,1
18,fastcompany.com,How brands are taking a stand in 2018: Getting people to vote,1
19,fastcompany.com,NASA just launched a new podcast to Mars,0
20,fastcompany.com,Instagram's Ian Spalter on why diversity in design matters,1
21,fastcompany.com,In photos: Celebrating the 2018 Innovation by Design honorees,0
22,fastcompany.com,Report: Lion Air plane was flying erratically the day before crash,0
23,fastcompany.com,The affordable cashmere wars are heating up just in time for sweater weather,1
24,fastcompany.com,"Netflix’s Lisa Nishimura on Patagonia, Nike, and Jane Austen",0
25,fastcompany.com,Twitter might get rid of its little hearts to make it a kinder site,1
26,fastcompany.com,Tory Burch is on a mission to take the stigma out of ambition,0
27,fastcompany.com,"Goop, new to London, is already being reported to U.K. regulators",0
