,source,title,is_clickbait
0,forexlive.com,EU: Italy's planned fiscal expansion is incompatible with a debt cut,0
1,forexlive.com,WTI crude falls to the lowest since August in another 2% decline,0
2,forexlive.com,What are China's FX options?,1
3,forexlive.com,Italy's government suffers budget setback as economic growth grinds to a stall,0
4,forexlive.com,Cable nears the August bottom in fall to a fresh session low,0
5,forexlive.com,OPEC and non-OPEC partners mulling a cut?,0
6,forexlive.com,UK PM May: We are not preparing for a general election,0
7,forexlive.com,UK's Hammond: Hopes that budget isn't a preparation for a general election next year,0
8,forexlive.com,China Press: Yuan unlikely to weaken to beyond 7.0000,0
9,forexlive.com,Japan September unemployment rate 2.3% versus 2.4% expected,0
10,forexlive.com,Australia building approvals for September 3.3% versus 3.8% expected,0
11,forexlive.com,Nikkei: Japan MOF mulls tackling tax avoidance in crypto trading,0
12,forexlive.com,China's big banks were seen buying up US dollars today,0
13,forexlive.com,GBPUSD scrapes across support. Can it stay above?,0
14,forexlive.com,Forexlive Asia-Pacific FX news wrap: Pres. Trump looks to save the day/stocks. Great deal with China ahead.,0
15,forexlive.com,EUR/USD threatens further downside after Eurozone growth misses estimates,0
16,forexlive.com,Dallas Fed services sector outlook 14.1 vs 25.6 prior,1
17,forexlive.com,Video recap: It won't be long before that soft US dollar policy theme returns,0
18,forexlive.com,Japan's Abe: Charting a course to exit deflation over these three years,0
19,forexlive.com,US October consumer confidence 137.9 vs 135.9 expected,0
20,forexlive.com,AUD/USD climbs to eight-day high,0
21,forexlive.com,Germany Oct prelim CPI +2.5% y/y vs +2.4% expected,0
22,forexlive.com,US stocks set for slight dip at the open,0
23,forexlive.com,Trump sets up battle with Supreme Court over birthright citizenship,0
24,forexlive.com,Spain October preliminary CPI +0.9% vs +0.9% m/m expected,0
25,forexlive.com,Brandenburg October CPI +0.1% vs +0.3% m/m prior,1
26,forexlive.com,Bavaria October CPI +0.2% vs +0.5% m/m prior,1
27,forexlive.com,Switzerland October KOF leading indicator index 100.1 vs 101.0 expected,0
28,forexlive.com,Eurozone October final consumer confidence -2.7 vs -2.7 prelim,0
29,forexlive.com,Hesse October CPI +0.1% vs +0.5% m/m prior,1
30,forexlive.com,USD/JPY eyes the 113.00 handle ahead of US trading,0
31,forexlive.com,Housing and consumer confidence are on the US agenda,0
32,forexlive.com,Italian bonds surrender gains as Q3 economic growth flat lines,0
33,forexlive.com,Italy's Conte reiterates that government won't change budget deficit target,0
34,forexlive.com,ForexLive European morning FX news wrap: Eurozone economic growth slumps to four-year low,0
35,forexlive.com,Yen pairs unphased even as US equity futures turn flat,0
36,forexlive.com,Saxony October CPI +0.2% vs +0.4% m/m prior,1
