,source,title,is_clickbait
0,fortressamerica.gawker.com,Even the NRA Can't Believe These Assholes With Gun Ranges in Their Yards,1
1,fortressamerica.gawker.com,Woman in Body Armor Leads Police on Car Chase After Shooting Spree,0
2,fortressamerica.gawker.com,Right-Wing Navy SEAL Arrested For Lying That a Black Mob Shot Him,0
3,fortressamerica.gawker.com,Christian Fighters Abandon Anti-ISIS Kurd Group Because It's Communist,0
4,fortressamerica.gawker.com,2014: The Year in Dumb Conservative Memes,0
5,fortressamerica.gawker.com,Seals Are Fucking Penguins and Eating Them Because Nature Is Insane,1
6,fortressamerica.gawker.com,"The Case That the Saudis Did 9/11, Explained",1
7,fortressamerica.gawker.com,Remember When Bush and Cheney Fought Over Bombing Iran?,0
8,fortressamerica.gawker.com,Meet the Elite U.S.-Trained Special Forces Chief Who Just Joined ISIS,1
9,fortressamerica.gawker.com,The Army Is a Great Place to Be White,1
10,fortressamerica.gawker.com,Many People Are Killing With Rented Guns at Shooting Ranges,0
11,fortressamerica.gawker.com,Pentagon Workers Used DOD Credit Cards For Sexy Times With Vegas Escorts,0
12,fortressamerica.gawker.com,The NRA Doctored This Stock Photo to Look Like a Diverse Pro-Gun Rally,1
13,fortressamerica.gawker.com,"Hey Taxpayer, Here's That $400,000 Fighter-Pilot's Helmet You Ordered",1
14,fortressamerica.gawker.com,"What the Hell Is Happening in Yemen, Explained",1
15,fortressamerica.gawker.com,Abortions and Penis Fetishes: Is This the World's Worst Televangelist?,1
16,fortressamerica.gawker.com,White Lunatic Arrested For Terrorizing Kindly Muslim Couple at Gunpoint,0
17,fortressamerica.gawker.com,Is Giovanni Ribisi's Family Quitting Scientology?,0
18,fortressamerica.gawker.com,Gun Lobby Crushes Limits on Armor-Piercing Ammo That It Helped Create,1
19,fortressamerica.gawker.com,Naval Hovercraft Wipes Out Kayaker Off Florida Coast,0
20,fortressamerica.gawker.com,Why Is the U.S. Air Force Ordering Tents for an Airstrip in Niger?,1
21,fortressamerica.gawker.com,"A History of Military Braggadouches, From Sparta to Chris Kyle",0
22,fortressamerica.gawker.com,"How ""The Left's Best Chance in a Generation"" Won Greece Over: A Guide",1
