,source,title,is_clickbait
0,forward.com,Stop Blaming Trump For Anti-Semitism. It Lets The Anti-Semites Off The Hook.,1
1,forward.com,Of Course We Have To ‘Politicize’ The Pittsburgh Bloodbath. That’s What Jews Do.,1
2,forward.com,Ivanka and Jared Will Go With Trump On Controversial Pittsburgh Trip,0
3,forward.com,Pittsburgh Jews Plan Protests Of Trump Visit,0
4,forward.com,"Meet Pittsurgh Mayor Bill Peduto, The ‘Adopted Jew’ Who’s Leading Resistance To Trump",1
5,forward.com,My Recipe For Healing In Squirrel Hill,0
6,forward.com,A Pittsburgh Rabbi’s 1908 Sermon Rings Eerily True Today,0
7,forward.com,Remembering My Happy Jewish Childhood In Squirrel Hill,0
8,forward.com,I’m Israeli And I’m Ashamed My Government Sent Naftali Bennett To Comfort Pittsburgh Jews,0
9,forward.com,Republicans and Democrats Snub Controversial Trump Visit To Grieving Pittsburgh,0
10,forward.com,Pittsburgh Bloodbath Exposes Hypocrisy Of Netanyahu’s Attacks On Liberal Jews,0
11,forward.com,"Yes, Synagogue Bloodbath Could Swing The Midterms — But Which Way?",0
12,forward.com,Trump Mocks Pipe Bomb Target Tom Steyer On Twitter,0
13,forward.com,Jez Butterworth’s Tale Of Love And Darkness,1
14,forward.com,Hate-Friendly Social Media Site Forced Offline By PIttsburgh Synagogue Shooting,0
15,forward.com,The Israeli Response To The Pittsburgh Massacre Has Been A Disaster,1
16,forward.com,Naftali Bennett Seeks To Tie Synagogue Shooting To Palestinians,0
17,forward.com,Will Anger Over Pittsburgh Bloodbath — And Trump — Tip Midterms To Democrats?,0
18,forward.com,The Right Is Blaming Jews For The Pittsburgh Shooting — And So Is The Left,1
19,forward.com,What The Pittsburgh Massacre Taught Me About Jews In The Age of Trump,1
20,forward.com,"Dodge Ball, Psalms And Explaining ‘Bad Man’ To Fourth Graders Of Pittsburgh",0
21,forward.com,Pittsburgh Happened In America 2018 — Not Berlin 1938 Or Israel,0
22,forward.com,Israel Chief Rabbi Didn’t Dismiss Progressive Synagogues. Stop Twisting Words To Sow Division.,0
23,forward.com,Muslims Raise More Than $180K For Pittsburgh Synagogue Victims,0
24,forward.com,Jewish Republican Defends Inviting Messianic Rabbi To Pray For Pittsburgh With Pence,0
25,forward.com,Stone-Faced Synagogue Shooter Held Without Bail,0
26,forward.com,"American Jews: Stop Politicizing The Pittsburgh Massacre. Sincerely, Your Israeli Brother",1
27,forward.com,Mike Pence Gets Jews For Jesus ‘Rabbi’ To Pray For Pittsburgh Synagogue Victims,0
28,forward.com,Synagogue Bloodbath Exposes Huge Rift With Israelis Over Trump,0
29,forward.com,Slain Pittsburgh Doctor Treated My HIV When No One Else Would,1
30,forward.com,‘Lou Dobbs’ Show Yanked By Fox For Anti-Semitic Dog Whistle On Night Of Synagogue Massacre,0
31,forward.com,Julia Ioffe Sorry For Saying Trump Has Radicalizes ‘More People Than ISIS’,1
32,forward.com,not welcome in Pittsburgh,0
33,forward.com,"66,000 Sign Letter To Trump: You’re ‘Not Welcome’ In Pittsburgh",0
34,forward.com,Pittsburgh Synagogue Murder Spree Latest In 4 Decades Of Organized Anti-Semitic Attacks,0
35,forward.com,Dear Jewish Trump Supporters: You Can’t Have It Both Ways After Synagogue Bloodbath,1
36,forward.com,Melvin Wax Was ‘Pure Soul’ Who Was First In Line To Help Others,1
37,forward.com,Don’t Avoid Talking To Your Kids About The Pittsburgh Shooting,1
38,forward.com,VIRAL PHOTO: Pittsburgh Boy In Kippah Gives Cookies To Police Officer,0
39,forward.com,Gab Boss Quits Social Media Site Over Synagogue Shooting Hate,0
40,forward.com,Israel Opposition Chief Says Pittsburgh Shooting Should Teach Jews To Make Aliyah,0
41,forward.com,Charleston Black Church Mourns Jews Killed In Pittsburgh Synagogue,0
42,forward.com,Holocaust Survivor Cheated Death At Pittsburgh Synagogue Massacre By 4 Minutes,0
