,source,title,is_clickbait
0,golfchannel.com,Randall's Rant: Amateurs shouldn't be allowed at LPGA Q-Series,0
1,golfchannel.com,Hovland takes individual men's title; Duke nabs No. 1 seed at East Lake,0
2,golfchannel.com,What's in the bag: WGC-HSBC winner Schauffele,1
3,golfchannel.com,"Before Nelly Korda could get to her trophy, her sister Jessica got to her",1
4,golfchannel.com,"Watch: Rose's ball hits Schauffele's ball, both go in water",0
5,golfchannel.com,Jessica Korda breaks down on Instagram watching Nelly win,0
6,golfchannel.com,Valenzuela wins individual crown; Stanford top seed at East Lake Cup,0
7,golfchannel.com,Watch: Finau makes about a mile-worth of putts,1
8,golfchannel.com,Haas' season derailed by basketball injury,0
9,golfchannel.com,Watch: Flagstick rudely denies Hatton's ace,0
10,golfchannel.com,Azinger 'lobbied' to captain Ryder Cup team a second time,0
11,golfchannel.com,Azinger: 'Can't see anybody beating Tiger' at his best,1
12,golfchannel.com,HOFer Stephenson: Robbie wants to play me in movie,0
13,golfchannel.com,CJ Cup purse payout: Koepka gets PAID,0
14,golfchannel.com,Top college coaches believe LPGA Q-Series hurts their programs,0
15,golfchannel.com,Azinger to replace Miller as lead NBC golf analyst,0
16,golfchannel.com,"Phil, Tiger plan to donate portion of match proceeds to charity",0
17,golfchannel.com,Goal for new world No. 1 Koepka: Stay healthy,0
18,golfchannel.com,Pavin's season nearly ends after slow-play penalty,0
19,golfchannel.com,Champ grabs first-round lead at soggy Sanderson Farms,0
20,golfchannel.com,What's in the Bag: CJ Cup winner Koepka,0
21,golfchannel.com,Spilkova grabs second-round lead at LPGA's Q-Series,0
22,golfchannel.com,"Phil casually refers to $50,000 side bets during Tiger match",0
23,golfchannel.com,The Molinari-Fleetwood love affair is alive and well,1
24,golfchannel.com,"Great intro, great recovery, bad Round 2 for Koepka at WGC-HSBC",0
25,golfchannel.com,Latest slow-play penalty brings up more questions than it answers,0
26,golfchannel.com,Podcast: Bryson DeChambeau takes you inside his brain,1
27,golfchannel.com,"Rose, Johnson look to re-take No. 1 ranking from Koepka",1
28,golfchannel.com,Koepka (72) struggles in first round as world No. 1,0
29,golfchannel.com,Ewart Shadoff (65) leads by two at Swinging Skirts,0
30,golfchannel.com,After Further Review: American success stories,0
31,golfchannel.com,J. Lee grabs early lead at LPGA’s inaugural Q-Series,0
32,golfchannel.com,"Ko in the hunt in Taiwan, looking to reassert herself",0
