,source,title,is_clickbait
0,hoax-slayer.com,Energy Saver Globe Warning Message - Mercury Exposure Foot Injury Images,0
1,hoax-slayer.com,Giant Feral Pig Photograph,0
2,hoax-slayer.com,Crop Art - Rice Fields of Japan,0
3,hoax-slayer.com,Protest Message - Prison Sentence for Spray Painting Poppy on Mosque,0
4,hoax-slayer.com,Michael Jackson Died Years Ago Hoax,0
5,hoax-slayer.com,Unsold Car Stockpile Images,0
6,hoax-slayer.com,Olympic Tower 2016 - Rio Solar City Tower Design,0
7,hoax-slayer.com,Does a Photograph Show a Massive Spider found in a Manchester UK House?,0
8,hoax-slayer.com,False Protest Message Claims Picture Shows 500 Christians Burned By Muslim Terrorists,0
9,hoax-slayer.com,Email and Social Media Chain Letters,0
10,hoax-slayer.com,Pen PC - Pen Shaped Miniature Personal Computer,0
11,hoax-slayer.com,St. Augustine Find - Huge Eastern Diamondback Rattlesnake,0
12,hoax-slayer.com,Crosses on the Beach at Santa Barbara - ACLU Suit Against Military Crosses And Prayer in the Military?,0
13,hoax-slayer.com,Amber Teething Necklaces - Suspect SIDS 'Warning',0
14,hoax-slayer.com,A Special Appeal to Facebook Users - Unauthorised Use of Baby Zoe Chambers Photograph,0
15,hoax-slayer.com,JB Hi-Fi Facebook Survey Scam,0
16,hoax-slayer.com,Exploding Cactus Spider Hoax,0
17,hoax-slayer.com,AOL Deactivated Account Phishing Scam,0
18,hoax-slayer.com,The Fly in the Urinal - Schiphol Airport Toilet Aim Improvement Technique,0
19,hoax-slayer.com,MALWARE - 'Green Winick' Notice to Appear in Court Email,0
20,hoax-slayer.com,Microsoft Account 'Outlook Web Access' Phishing Scam,0
21,hoax-slayer.com,Spider Under Florida Toilet Seat Hoax,0
22,hoax-slayer.com,HOAX - 'Wiltshire Church to Become Mosque and Bodies Dug Up',0
23,hoax-slayer.com,Facebook 'Virus' Warning - 'Nobody can watch this for more than 15 seconds' Video,1
24,hoax-slayer.com,Muslim Sign in Houston Mall Protest Message - The Martyrdom of Imam Ali,0
25,hoax-slayer.com,Backwards Compatibility Pranks Bricks Xbox One Consoles,0
26,hoax-slayer.com,Marks & Spencer Poppy Sales Three Percent False Rumour,0
27,hoax-slayer.com,Muslims Praying Every Friday in Streets of New York Protest Message,0
28,hoax-slayer.com,Australian Flag Lapel Pin Story - Response to Muslim Woman's Checkout Criticism,0
29,hoax-slayer.com,SATIRE - 'Unborn Baby Pregnant Inside Womb',0
30,hoax-slayer.com,China Food Imports – Is It Really That Simple?,1
31,hoax-slayer.com,Google Maps 'Murder Scene',0
32,hoax-slayer.com,"Vodafone 'Check Your Bill Online"" Phishing Scam",0
33,hoax-slayer.com,Hulk Hogan is NOT Dead,0
34,hoax-slayer.com,McDonald's 'Mega Promotion Award' Advance Fee Scam,0
35,hoax-slayer.com,PayPal 'Refund Pending' Phishing Scam,0
36,hoax-slayer.com,Qantas 'E-Ticket Itinerary Receipt' Malware Email,0
37,hoax-slayer.com,SURVEY SCAM - 'Win Free Apple iPhone 6',0
38,hoax-slayer.com,K-9 Congressional Medal of Honor Hoax,0
39,hoax-slayer.com,Three Malware Distribution Methods You REALLY Need to Know About,1
40,hoax-slayer.com,Australia Day Name Change Hoax Targets Prime Minister Gillard,0
41,hoax-slayer.com,Costco Voucher Giveaway Like-Farming and Survey Scam,0
