,source,title,is_clickbait
0,hotair.com,ABC: No president has ever been more available to the media than … Donald Trump?,1
1,hotair.com,"In campus speech, David Hogg says U.S. is stolen land, justifies illegal immigration",0
2,hotair.com,"Almost half of U.S. births happen outside marriage, signaling cultural shift",0
3,hotair.com,Will the Blue Wave collapse before it reaches the shore?,1
4,hotair.com,That time when I totally agreed with the Washington Post on an issue,1
5,hotair.com,Pelosi: We’ll use our subpoena power as the new House majority to bargain with Trump,1
6,hotair.com,Can Trump be as tough on Saudi Arabia as he was on Canada?,0
7,hotair.com,"Kavanaugh was the “slut whore drunk” of the Ford story, Lindsey Graham says",1
8,hotair.com,"Did Jane Mayer, Ronan Farrow, and Michael Avenatti give Trump his biggest victory yet?",1
9,hotair.com,How it feels to be falsely accused,1
10,hotair.com,Breaking: D.C. Circuit sent complaints about Kavanaugh’s testimony to Chief Justice Roberts,0
11,hotair.com,"Google CEO: Yes, we really are helping China quash dissent and free speech. Why do you ask?",1
12,hotair.com,Unsolicited advice to Judge Kavanaugh: Sue them all,0
13,hotair.com,Why I’m leaving the Republican Party,1
14,hotair.com,Jordan Peterson: Kavanaugh should step down from the Court to clear his name,0
15,hotair.com,Merrick Garland recuses himself from ethics complaints against Kavanaugh,0
16,hotair.com,The Kavanaugh situation has opened up a portal into everyone’s memory,1
17,hotair.com,"I was a sex-crimes prosecutor. Here’s why “he said, she said” is a myth.",1
18,hotair.com,Coons deflates Dem letter: There’s no “bombshell” in Kavanaugh’s other background checks about alcohol abuse or sexual misconduct,1
19,hotair.com,This is the race that will tell Democrats if they’re headed for a House majority,1
20,hotair.com,"An open letter to Cory Booker about the threats received by my husband, Rand Paul",1
21,hotair.com,"If men don’t want to get Kavanaughed, they should follow the Pence rule",1
22,hotair.com,Ford’s college best friend: She never mentioned an assault until this summer,1
23,hotair.com,"Stormy Daniels claims Hillary Clinton called Donald Trump, they talked about “our plan”",1
24,hotair.com,I’ve re-registered as a Democrat,0
25,hotair.com,Dem senator seeks court injunction to delay tomorrow’s hearing,0
26,hotair.com,I made an appalling and inexcusable mistake last night,1
27,hotair.com,Sen. Cassidy offers sharp response to protester demanding he apologize,0
28,hotair.com,Breaking: Heitkamp to vote no on Kavanaugh,0
29,hotair.com,Maddow to Hillary: Do you support due process for Kavanaugh like after Bill Clinton sexual allegations?,0
30,hotair.com,"The Kavanaugh fight: For once, I’m grateful for Trump",0
31,hotair.com,Former Bush official: Why didn’t the FBI interview Ford?,0
32,hotair.com,Kavanaugh has exposed the savage amorality of America’s ruling class,1
33,hotair.com,John Kerry slams Trump for Iran accusations: “You should be more worried about Paul Manafort”,1
34,hotair.com,Breaking: Sasse to vote yes on Kavanaugh,0
35,hotair.com,Emotional McConnell: “We owe it to the American people not to be intimidated by these tactics”,1
36,hotair.com,What men should know about #MeToo: It’s about them,1
37,hotair.com,A lifelong conservative’s lament over the Kavanaugh affair,0
38,hotair.com,Most white Americans’ DNA can be identified through genealogy databases,1
39,hotair.com,Brett Kavanaugh and the limits of certainty,0
40,hotair.com,CNN to Avenatti: Why didn’t Julie Swetnick report what was going on at those rape parties?,0
41,hotair.com,"Endgame: Collins to announce her vote in 3 p.m. speech, McConnell “optimistic”; Update: Collins to vote YES; Update: Manchin too",0
42,hotair.com,How Paul Manafort’s plea brings the special counsel probe closer to its end game,0
