,source,title,is_clickbait
0,huffingtonpost.co.uk,Sir Philip Green Says He Will 'Turn Gay' In Extraordinary Tirade Against Reporters,0
1,huffingtonpost.co.uk,Hammond's Climate-Wrecking Budget Jeopardises Our Environmental Future,0
2,huffingtonpost.co.uk,How Spending Time With Music Legend Nile Rodgers Has Made Me Even More Determined For Success,1
3,huffingtonpost.co.uk,Attacks On Rough Sleepers Should Be Classed As Hate Crimes,0
4,huffingtonpost.co.uk,What Angela Merkel’s Departure Means For Germany - And The UK,0
5,huffingtonpost.co.uk,Stacey Dooley Sparks 'Strictly Come Dancing' Injury Fears With Cryptic Instagram Post,0
6,huffingtonpost.co.uk,Investing In Ending Women's Reoffending Would Save Money - And Families,0
7,huffingtonpost.co.uk,"Budget 2018: Spending Cuts Not Being Reversed Despite ‘Austerity Is Over’ Claim, IFS Says",0
8,huffingtonpost.co.uk,'You Are Speshl': 10 Times Kids Made The Cutest Letter Writers Ever,1
9,huffingtonpost.co.uk,Yet Another Reason Why Dogs Are Great – They Can Sniff Out Malaria,1
10,huffingtonpost.co.uk,Bake Off's Terry Pens Heartwarming Letter To Fans Ahead Of Final,0
11,huffingtonpost.co.uk,I Tried Lush Shampoo And Conditioner Bars In Place Of Plastic Bottles For A Fortnight,0
12,huffingtonpost.co.uk,Jo Whiley Admits It Was ‘Hard To Walk Out The Front Door’ After Radio 2 Drivetime Backlash,0
13,huffingtonpost.co.uk,Jeremy Corbyn Tries To 'Floss' And Ends Up Looking A Bit Like Mr Bean,0
14,huffingtonpost.co.uk,Russell Bishop Trial: Mother Weeps As She Recalls The Moment Her Daughter Was Found Dead,1
15,huffingtonpost.co.uk,'Great British Bake Off' Fans Are All Making The Same Joke Ahead Of This Year's Final,1
16,huffingtonpost.co.uk,Morrisons Slammed For Selling Plastic Halloween Apple Bobbing Kits,0
17,huffingtonpost.co.uk,Seann Walsh Dismisses 'I'm A Celebrity' Rumours After 'Strictly Come Dancing' Exit,0
18,huffingtonpost.co.uk,"Strictly's Shirley Ballas Denies She's Engaged, Still Gets Caught Googling Her 'Engagement Ring'",1
19,huffingtonpost.co.uk,Pharrell Williams Sends Donald Trump Cease And Desist After He Used 'Happy' At A Rally On Day Of Synagogue Shooting,0
20,huffingtonpost.co.uk,Man Jailed After Knowingly Infecting Women With HIV,0
21,huffingtonpost.co.uk,How Many Times Can One Plastic Bottle Be Recycled?,1
22,huffingtonpost.co.uk,Theresa May Dismisses Claims She's Gearing Up For Early General Election,0
23,huffingtonpost.co.uk,'Strictly Come Dancing' Week 7 Songs And Dances Confirmed,0
24,huffingtonpost.co.uk,Would You Rename Your Phone To Avoid Unsolicited Dicks Pics? This Woman Did,1
25,huffingtonpost.co.uk,Can You Get IVF For Free On The NHS? It Depends On Where You Live,1
26,huffingtonpost.co.uk,‘The Chase’ Viewers Cry 'Fix' After The Chaser Wins The Show Despite ‘Running Out Of Time’,0
27,huffingtonpost.co.uk,The 'Little Extra' Bits Buried In The Budget You May Have Missed,1
28,huffingtonpost.co.uk,"'Strictly Come Dancing': Seann Walsh's Partner Katya Jones Urges Him To Stick To The Day Job, Following Elimination",0
29,huffingtonpost.co.uk,This Man Saved All The Plastic He Would Have Thrown Away In A Year,1
30,huffingtonpost.co.uk,HuffPost Verdict: A Sticking Plaster Budget For The Bleeding Stumps Of Our Public Services,0
31,huffingtonpost.co.uk,Swim England Removes Swimwear Advice For Women With 'Flabby Stomachs',0
32,huffingtonpost.co.uk,Venice Flooding: 75% Of City Is Under Water As Deadly Storms Kill Six People In Italy,0
33,huffingtonpost.co.uk,500 People With Diabetes Die Prematurely Each Week In England And Wales,0
34,huffingtonpost.co.uk,"When Universal Credit Forces Foodbank Volunteers To Turn To Banks Themselves, Something Must Change",0
35,huffingtonpost.co.uk,Philip Hammond Made A Series Of Jokes In The Budget – And They Completely Bombed,1
36,huffingtonpost.co.uk,"Labour Will Support Philip Hammond's Income Tax Cuts, Says John McDonnell",0
37,huffingtonpost.co.uk,"M&S Dine In Meal Deal For Two Has Been Axed, But Here Are Some Great Alternatives",1
38,huffingtonpost.co.uk,"More Funding For Mental Health Services Is Welcome, But Money Alone Won't Bring About Parity Of Care",0
39,huffingtonpost.co.uk,"If This Is The Beginning Of The End Of Austerity, It Is Not Happening Fast Enough",1
40,huffingtonpost.co.uk,Gig Economy Workers To March Ahead Of Landmark Uber Ruling Today,0
41,huffingtonpost.co.uk,Two Men Assaulted At Stratford Station In Hammer Attack,0
42,huffingtonpost.co.uk,Budget 2018: UK Digital Services Tax Condemned For 'Trivial' Impact,0
43,huffingtonpost.co.uk,I'm Marching With Uber Drivers Today Because Their Fight Is My Fight,1
44,huffingtonpost.co.uk,Liz Truss Sits On Sajid Javid's Knee During Budget Speech Squeeze,0
