,source,title,is_clickbait
0,huffingtonpost.in,"Gujarat: BJP's Patel Planned Attacks On Migrants To Topple Rupani's Govt, Congress's Thakor Says",0
1,huffingtonpost.in,Indian Couple Killed After 800-Feet Fall In US's Yosemite National Park,0
2,huffingtonpost.in,"Priyanka Chopra Says She Had A Bridal Shower That 'Broke All Rules', Here Are Some Photos",1
3,huffingtonpost.in,Why A Village Adopted By Minister Mahesh Sharma Has Put Up A Board Saying BJP Leaders Are Unwelcome,1
4,huffingtonpost.in,Shibani Dandekar Finally Speaks Out About Her Relationship With Farhan Akhtar,1
5,huffingtonpost.in,"Gujarat: Rape Case Anger Subsidies, But Migrant Workers Cite Fears of 2002 Riots To Delay Return",0
6,huffingtonpost.in,"AAP Announces 5 Candidates In Punjab For 2019 Lok Sabha Polls, Creates Further Divide In State Unit",0
7,huffingtonpost.in,SC On Delhi Air Pollution: 'Will You Tell Poor People To Kill Themselves By Working In This Pollution?',1
8,huffingtonpost.in,Doordarshan Cameraperson And Two Police Personnel Killed In A Naxal Attack In Dantewada,0
9,huffingtonpost.in,CBI Feud: Complainant In Rakesh Asthana Case Says He Fears For His Life,0
10,huffingtonpost.in,"Mumbai Woman Strips To Drive Cops Away, Men Take Video Without Consent And Circulate On Social Media",0
11,huffingtonpost.in,"Delhi Air Pollution: We Will Stop Plying Of Private Cars If It Gets Worse, Says Official",1
12,huffingtonpost.in,"CBI's AK Bassi Challenges Transfer In SC, Claims He Has 'Incriminating Evidence' Against Rakesh Asthana",0
13,huffingtonpost.in,Her extended family cut off all ties with her after the paintings were shared on social media.,1
14,huffingtonpost.in,"Rajasthan Election Interview: BJP's Prakash Javadekar says ""communication gap"" with voters fixed, party confident of strong poll performance",0
15,huffingtonpost.in,"Raghav Bahl's Noida Home, Quint Office Raided By I-T Department In Connection With Alleged Tax Evasion",0
16,huffingtonpost.in,"Anurag Kashyap, Vikramaditya Motwane Quit Mumbai Film Festival Board In Wake Of Allegations Against Former Partner Vikas Bahl",0
17,huffingtonpost.in,"Amritsar Train Accident: 61 Dead, 7 Critical, Punjab Observes A Day Of Mourning",0
18,huffingtonpost.in,Ganga Activist GD Agarwal Dies After 111 Days Of Fasting,0
19,huffingtonpost.in,"Nitin Gadkari Says BJP Deliberately Made False Promises In 2014, Rahul Gandhi Agrees",0
20,huffingtonpost.in,"Looking For Avni: In Maharashtra, The Search For A ‘Man-Eater’ Has Divided Activists And Forest Officials",0
21,huffingtonpost.in,"SC Has Banned Aadhaar For Private Companies, But Banks, Telcos And Tech Companies Still Want It",0
22,huffingtonpost.in,"Smart Watches, Communication Items May Get More Expensive As Government Doubles Import Duty",0
23,huffingtonpost.in,"RTI Backlog: Government Will Not Delay Appointments To Central Information Commission, Says Union Minister",0
24,huffingtonpost.in,Trisha-Vijay Sethupathi’s ‘96’: The Memories That The School Reunion Brought Back,1
25,huffingtonpost.in,Symbiosis Media School Issues Apology Amid #MeToo Storm,0
26,huffingtonpost.in,Amazon Is Coming For Your Local ‘Sabzi Wallah’,1
27,huffingtonpost.in,New Accuser Says MJ Akbar Harassed Her When She Was An 18-Year-Old Intern,1
28,huffingtonpost.in,"UIDAI’s Aadhaar Software Hacked, ID Database Compromised, Experts Confirm",0
29,huffingtonpost.in,Lady Gaga Writes Powerful Op-Ed About Suicide And Mental Health Stigma,1
30,huffingtonpost.in,Why Netflix Should Scare You More Than It Does,1
31,huffingtonpost.in,UIDAI Fails to Address Security Concerns After Software Hack Exposé,0
32,huffingtonpost.in,Fake Aadhaar Centres Operated With Rubber-Stamp Thumbprints Busted In Manesar And Gurugram,0
33,huffingtonpost.in,"Asian Games: Deepak Kumar, Bajrang Punia Apurvi Chandela and Ravi Kumar Bring Medals For India",0
34,huffingtonpost.in,"Defence Analyst, Who Joked About The Sun Temple In Konark, Arrested By Odisha Police",0
35,huffingtonpost.in,"Mercedes Driver Mows Down Two-Year-Old And Speeds Away, Child Dies In Delhi",0
36,huffingtonpost.in,What Is The RSS Stand On Inter-Faith Marriages? Mohan Bhagwat Won't Say,1
37,huffingtonpost.in,This Lucknow Medical College Is Publishing Private Data Of Patients,1
38,huffingtonpost.in,Dalits To Launch Two Major Protests Against Government Next Month: Jignesh Mevani,0
39,huffingtonpost.in,Why The National Human Rights Commission Wants To Extend RTE For Students Upto 18 Years,1
40,huffingtonpost.in,Drastic Fall In Indians' Confidence In Modi's Economy In A Year: Pew Report,0
