,source,title,is_clickbait
0,ibtimes.co.in,Looking back at Anil Kumble's best performances on his 48th birthday,1
1,ibtimes.co.in,Jamal Khashoggi was beheaded and cut into pieces alive after gruesome 7-minute torture,0
2,ibtimes.co.in,Kangana's Manikarnika trailer review: RGV takes a dig at Hrithik Roshan's Super 30,0
3,ibtimes.co.in,Bigg Boss 12: This is why Dipika Kakkar would never win the show,1
4,ibtimes.co.in,Khabib and Mayweather agree to fight in principle to decide the better undefeated champion,0
5,ibtimes.co.in,"Hello Guru Prema Kosame, Sandakozhi 2 to take toll on Aravind Sametha collection at box office",0
6,ibtimes.co.in,Android Pie release news: Here's when Nokia 5.1 Plus will get latest Google mobile OS,0
7,ibtimes.co.in,Virat Kohli on Prithvi Shaw: Don't think any of us were even 10% of what he is at 18,1
8,ibtimes.co.in,"Rishabh Pant shouldn't mimic MS Dhoni's wicketkeeping style, warns India great Syed Kirmani",0
9,ibtimes.co.in,Bigg Boss 12: Know all about Anup Jalota's ex-wife who fell in love with his tabla player,1
10,ibtimes.co.in,Anurag Kashyap on #MeToo movement: I was lucky to have had women who slapped me from time to time,1
11,ibtimes.co.in,"Over 60,000 migrant workers flee Gujarat amid violence; BJP, Congress blame game ensues",0
12,ibtimes.co.in,Woman leaks comedian Utsav Chakraborty's obscene messages on Twitter; AIB promises to remove his videos,0
13,ibtimes.co.in,Who was Paul Allen? Microsoft co-founder and billionaire dies at 65,0
14,ibtimes.co.in,"After Sonu Sood, his onscreen wife Swati Semwal wants to quit Kangana Ranaut's Manikarnika?",0
15,ibtimes.co.in,MS Dhoni may play Vijay Hazare Trophy quarter-finals amid growing concerns over batting form,0
16,ibtimes.co.in,"Xiaomi Redmi Note 6 Pro tipped to launch in India soon: Configurations, colour details leak",0
17,ibtimes.co.in,"Thugs of Hindostan trailer: Katrina Kaif's blink-and-miss appearance leaves fans angry, disappointed",0
18,ibtimes.co.in,"Just one fourth of Rs 20,000 crore fund released for National Mission for Clean Ganga",0
19,ibtimes.co.in,NOTA box office collection: Vijay film starts with bang but fails to beat Geetha Govindam in US premieres,0
20,ibtimes.co.in,Anurag Kashyap issues statement after Manmarziyan lands in trouble with Sikh community for hurting religious sentiments,0
21,ibtimes.co.in,Galaxy X: Samsung's game changer foldable phone can double up as tablet,0
22,ibtimes.co.in,Android flagship Poco F1 makes offline debut: Now available on Mi Home stores in India,0
23,ibtimes.co.in,"BJP MLA Ram Kadam tweets Sonali Bendre is dead, faces massive flak on Twitter",0
24,ibtimes.co.in,Aamir Khan saves the life of Dangal sound designer Shajith Koyeri; fans shower love on actor,1
25,ibtimes.co.in,Manmarziyan box office collection day 6: Anurag Kashyap's movie shows no signs of growth,0
26,ibtimes.co.in,"Bigg Boss 12 contestant Jasleen Matharu was pregnant with Anup Jalota's child, claims model",1
27,ibtimes.co.in,Zika virus outbreak sets off alarm bells in India; 50 cases detected in Jaipur,0
28,ibtimes.co.in,MJ Akbar refuses to resign; threatens legal action over #MeToo allegations [read full statement],0
29,ibtimes.co.in,Jennifer Aniston vacationing in Italy with Brad Pitt and his daughter Shiloh?,1
30,ibtimes.co.in,Usain Bolt scores first professional goal in Central Coast Mariners' pre-season friendly [Video],0
31,ibtimes.co.in,"India vs West Indies: Virat Kohli surpasses Misbah ul Haq, is now the best in Asia",1
32,ibtimes.co.in,"Rishi Kapoor on Alia Bhatt: 'Ranbir likes her, Neetu likes her, I like her, get it?'",1
33,ibtimes.co.in,Motorola Moto One Power Android One series with massive battery debuts in India: Quick facts,0
34,ibtimes.co.in,Jennifer Garner says Ben Affleck will be part of family's Halloween celebrations after finalizing divorce,0
