,source,title,is_clickbait
0,imra.org.il,Hamas hailed murder of 4 in Jerusalem Synagogue - Now condemns Pittsburgh attack,0
1,imra.org.il,Minister Bennett to travel to Pittsburgh - Israeli teams for psychological assistance on the way,0
2,imra.org.il,UN Secretary General Guterres Condemns Hezbollah’s Independent Military Deployment in Lebanon,0
3,imra.org.il,"Russian military, UN mission conduct first joint patrol of Israeli-Syrian border",0
4,imra.org.il,PM Netanyahu's Official Diplomatic Visit to Oman,0
5,imra.org.il,Implementation of INSS Plan B for Palestinians Fails Israel's Interests,0
6,imra.org.il,"Ruth Matar, cofounder of an enduring grass roots movement, passes away",0
7,imra.org.il,Weekly Commentary: Israeli Public Deserves to Know Cost of Destroying Gaza Weapons,0
8,imra.org.il,Hamas: Palestinian factions weigh ceasefire with Israeli occupation,0
9,imra.org.il,Observation: Alqasem as Hebrew U grad student magnitudes more effective enemy of Israel,0
10,imra.org.il,Sinai Launches Development Projects to Clear Effects of Terrorism,0
11,imra.org.il,"Annual tourism report, all time record for Israel",0
12,imra.org.il,Russia downplays Netanyahu visit to Putin,0
13,imra.org.il,Weekly Commentary: Serious Response To Fire-Kites Only After Israeli Deaths?,0
14,imra.org.il,Saudi Arabia to build churches for Christian citizens,0
15,imra.org.il,Weekly Commentary: Necessary Condition For Viable Deal Is No Palestinian Sovereignty,0
16,imra.org.il,Weekly Commentary: Yom Kippur War Repeat - The Self Serving Conceptzia,0
17,imra.org.il,Failure of S-300s Supplied To Syria To Jeapordize S-300 Market,0
18,imra.org.il,Text of Goldstone Washington Post Op Ed - Reconsidering Goldstone Report on Israel and war crimes,0
19,imra.org.il,Hamas: Interim state in '67 lines is step towards goal of ending existence of Israel,0
20,imra.org.il,Summary of the 2018 National Defense Strategy of The United States of America,0
21,imra.org.il,Observation: Palestinian Confederation With Jordan - Profound Error,0
22,imra.org.il,Weekly Commentary: Why Netanyahu kicks the Palestinian can down the road,0
23,imra.org.il,"YouTube Censors MEMRI, Removing – For 'Inappropriate Content' – MEMRI TV Clip Exposing Anti-Gay Statements By Sheikh Abu Abdillah In Queens, N.Y.",0
