,source,title,is_clickbait
0,independent.ie,Deadly storms hit large parts of Italy,0
1,independent.ie,A stray cat accidentally crashed a fashion show runway in Istanbul,0
2,independent.ie,Weaker pound helps push FTSE 100 higher amid European jitters,0
3,independent.ie,Notorious gangster James ‘Whitey’ Bulger found dead in prison,0
4,independent.ie,Neymar says Kylian Mbappe must 'respect the schedules' after Thomas Tuchel drops PSG star for lateness,0
5,independent.ie,John Aldridge: One man must come good for Liverpool if they want to seriously challenge Man City,0
6,independent.ie,Chelsea coach Marco Ianni fined by FA for celebration against Manchester United,0
7,independent.ie,"'There will be no second referendum', Theresa May tells Norway as citizens' rights post-Brexit agreed",0
8,independent.ie,Germany's deadliest post-war serial killer: nurse admits murdering 99 patients with lethal injections,0
9,independent.ie,Red Dead Redemption 2 review: The western for a new generation,0
10,independent.ie,Who was gangster James 'Whitey' Bulger?,1
11,independent.ie,Watch: Ireland's sensational score in Grand Slam game at Twickenham nominated for Try of the Year,0
12,independent.ie,Britain’s grime scene suffering because of ‘institutionalised racism’,0
13,independent.ie,Work begins on five schools affected by structural issues,0
14,independent.ie,New Metrolink plans delayed further,0
15,independent.ie,Apple's new iPad Pro suggests iPhone users may soon need to get a new charger,0
16,independent.ie,Kate Middleton eases her way back into work with casual ensemble - and a blazer worth nearly €800,0
17,independent.ie,High Court orders extradition of construction company director to UK in connection with £5m tax fraud,0
18,independent.ie,What it feels like... to be a ghosthunter in Ireland - Paranormal investigator on tracking spirits,1
19,independent.ie,Infamous Boston gangster James 'Whitey' Bulger found dead in prison,0
20,independent.ie,Judge to decide if woman in vegetative state should be moved to care home,0
21,independent.ie,Thousands flee as fatal typhoon hits Philippines,0
22,independent.ie,Man attacked 'heroic' pensioner who tried to stop him stealing from collection box,1
23,independent.ie,New Zealand PM Jacinda Ardern speaks of 'real empathy' for pregnant Meghan Markle during 'tiring time' of royal tour,0
24,independent.ie,Ulster appoint Edinburgh’s managing director Jonny Petrie as their new CEO,0
25,independent.ie,In Pictures: Venice under water as storms batter Italy,0
26,independent.ie,'It's a difficult decision' - Padraig Harrington reacts as European Tour confirm Saudi Arabia will host 2019 event,0
27,independent.ie,Westport-owned workwear manufacturer Portwest investing €6.24m to expand its Australian operations,0
28,independent.ie,Man caught with €195k of drugs 'stored cannabis in wheelie bins',0
29,independent.ie,Convicted sex offender to be sentenced for 'acts of gross indecency' with mentally impaired man,0
30,independent.ie,Deadly storms hit large parts of Italy and leave Venice under water,0
31,independent.ie,"Apple launches new lighter, smaller MacBook Air - and a new Mac Mini desktop computer",0
32,independent.ie,Indonesian crash jet 'flew with unreliable speed readings' the day before tragedy,0
33,independent.ie,Man accused of murdering mum-of-two further remanded in custody,0
34,independent.ie,Teacher struck off after allegedly taping schoolgirls' mouths with Sellotape,0
35,independent.ie,Russia’s only aircraft carrier damaged in crane accident at dock,0
36,independent.ie,Consortium of Irish firm Roadbridge and Spanish group FCC confirmed as main contractor for new Dublin Airport runway,0
37,independent.ie,I can fit back into my wedding suit – Graeme Swann on Strictly weight loss,1
38,independent.ie,High Court declines to overturn €650k reduction to solicitor's fees to client,0
39,independent.ie,Mike Brown dropped from England squad for first time in Eddie Jones era ahead of Springboks visit,0
