,source,title,is_clickbait
0,insider.foxnews.com,'We Should Let Them In': College Students Support Migrant Caravan Heading Toward US Border,0
1,insider.foxnews.com,"Boston Red Sox Owner Believes Team Will Visit White House, Manager Unsure",0
2,insider.foxnews.com,"Tammy Bruce Blasts 'Desperate, Unfair' Claim That Trump 'Radicalized More People' Than ISIS",1
3,insider.foxnews.com,McCarthy on Birthright Citizenship: Trump 'Right on Substance' But Executive Order Won't Work,0
4,insider.foxnews.com,'This Is How Free Speech Dies': Tucker on the Use of Tragedy to 'Commit Moral Blackmail',1
5,insider.foxnews.com,Gutfeld: Hillary Clinton's 2020 Waffling Is 'The Ultimate Arrogance',1
6,insider.foxnews.com,WATCH: Acosta Challenges Sanders on Trump Calling Media 'Enemy of the People',1
7,insider.foxnews.com,"Sanders to Reporter: 'First Thing' Media Did Was Blame Trump for Mail Bombs, Pittsburgh Attack",0
8,insider.foxnews.com,DETAILS: Sign Up Now to Become a Fox Nation Founding Member,0
9,insider.foxnews.com,"EXCLUSIVE: Trump Talks Caravan, Pittsburgh Massacre on 'The Ingraham Angle'",0
10,insider.foxnews.com,"'If Free Speech Offends You, Too Bad': Tomi Lahren on What Fox Nation Is All About",1
11,insider.foxnews.com,'He Should Be Ashamed': Sharpton Blasted for Knocking Trump's Young Black Leadership Summit,1
12,insider.foxnews.com,5 Things You Didn't Know About Fox Nation Host Britt McHenry,1
13,insider.foxnews.com,Survey: College Students Afraid to Disagree with Professors' Political Beliefs,0
14,insider.foxnews.com,'I'm Proud of My Country': HS Football Player's National Anthem Wows the Internet,1
15,insider.foxnews.com,'We Are Past the Persuasion Stage': 'The Five' Take on Party Messaging as Midterms Near,1
16,insider.foxnews.com,Indiana Soldier Killed in Korean War Laid to Rest With Military Honors,0
17,insider.foxnews.com,Protesters Interrupt Moment of Silence for Pittsburgh Synagogue Victims at Blackburn Rally,0
18,insider.foxnews.com,'A Discredited Carnival Barker': 'The Five' Reacts to Avenatti's Criminal Referral,0
19,insider.foxnews.com,"Hume: News of Past Week, Trump's Reactions May Be More Important in Midterms Than Candidates",0
