,source,title,is_clickbait
0,iol.co.za,"PICS, VIDEO: Durban's strong winds uproot trees",0
1,iol.co.za,Cell C to help City with Wi-Fi expansion across the metro,0
2,iol.co.za,Kidnapped toddler reunited with mother,0
3,iol.co.za,Verulam 'rape cat' euthanised,0
4,iol.co.za,Life behind bars for Richards Bay rapist,0
5,iol.co.za,WATCH: Tiffany Haddish on why she won't date Drake,1
6,iol.co.za,Dean Elgar close to ton as Titans fight back against Lions,0
7,iol.co.za,Pete Mihalik's son stable following father's execution,0
8,iol.co.za,"Traffic signs, direction to police stations 'invaded' by penis enlargement ads",0
9,iol.co.za,"WATCH: Solly Msimanga inspects Centurion, Laudium sinkholes",1
10,iol.co.za,Zimbabwe targets $700m from controversial payment tax,0
11,iol.co.za,PICS: Joe Jonas dresses as fiancée Sofie Turner's GoT character for Halloween,1
12,iol.co.za,"I want to be a part of it, says Santiago Solari on managing Real Madrid fulltime",0
13,iol.co.za,Maimane slams councillors who use 'racial victimhood' to hide corruption,0
14,iol.co.za,Why students need more ‘math talk’,1
15,iol.co.za,Higher consumer spending boosts Mastercard's profit beat,0
16,iol.co.za,Nehawu says it rejects planned 'job bloodbath' at SABC,0
17,iol.co.za,Amcu killings: Charges withdrawn against five suspects as trial date set,0
18,iol.co.za,KZN bombings: State's request to reopen case in accused's bail bid denied,0
19,iol.co.za,UJ academic invited to join the WEF Global Future Council on Cybersecurity,0
20,iol.co.za,Bok coach: Pressure will be there for Ivan and Embrose at Twickenham,0
21,iol.co.za,KZN residents urged to 'heed' warnings following storm alert,0
22,iol.co.za,"Ivanka Trump, Jared Kushner celebrate pal Hugh Jackman's 50th birthday",1
23,iol.co.za,"Nortjé takes six wickets, but Moore, Ackermann put Warriors in control against Knights",0
24,iol.co.za,Trump says he plans to scrap birthright citizenship,0
25,iol.co.za,We need to reaffirm family and faith to halt SA's moral meltdown,0
26,iol.co.za,5 minutes with: 'Queer Eye' star Antoni Porowski,1
27,iol.co.za,British Airways Boeing 787-8 Dreamliner one of the reasons for new Durban route,0
28,iol.co.za,Cleaner Beachfront needed with new flight routes to Durban,0
29,iol.co.za,Dele Alli commits long-term future to Tottenham with six-year deal,0
30,iol.co.za,Fired up Abbott excited to be back in Durban,0
