,source,title,is_clickbait
0,iphonote.com,Application EpicWin,0
1,iphonote.com,application esleep deluxe,0
2,iphonote.com,Application FileBrowser – Access files on remote computers iPad,0
3,iphonote.com,application Melodica,0
4,iphonote.com,application Night Recorder,0
5,iphonote.com,Application Bria iPhone Edition – Mobile VoIP SIP Softphone,0
6,iphonote.com,application Live Cams iphone,0
7,iphonote.com,application STREET FIGHTER IV,0
8,iphonote.com,application LaDiDa,0
9,iphonote.com,Application Medical Calculator,0
10,iphonote.com,Application Downloads – Browse,0
11,iphonote.com,application RADYO – Bluetooth Radio,0
12,iphonote.com,application iDrum: RZA of Wu-Tang,0
13,iphonote.com,Application Brain Power,0
14,iphonote.com,application Lady Gaga Revenge,0
15,iphonote.com,application Easy Relax,0
16,iphonote.com,application White Noise,0
17,iphonote.com,Application Star Walk pour iPad,0
18,iphonote.com,application ThumbJam iphone/ipad,0
19,iphonote.com,application Relax Melodies Premium Edition,0
20,iphonote.com,Application Push for Gmail,0
21,iphonote.com,application Live Cams HD ipad,0
22,iphonote.com,application iFitness Hd Ipad,0
23,iphonote.com,Application Silent Island Relaxation,0
24,iphonote.com,application PolyTune,0
25,iphonote.com,application Shazam pour iPad,0
26,iphonote.com,application iShred: Guitar + Effects,0
27,iphonote.com,application Tap & Track,0
28,iphonote.com,application iBrr Bluetooth Receiver and Remote,0
