,source,title,is_clickbait
0,jezebel.com,'The Nihilistic Horniness of a Good Gothic Read': Ranking the Genre's Sexiest and Scariest Secrets,1
1,jezebel.com,Little Mix Is Somehow in the Mix of the Nicki Minaj and Cardi B Beef,1
2,jezebel.com,This Snapchat Series About a Model Scout Is As Transfixing As It Is Mind-Numbing,1
3,jezebel.com,Attorneys for Man Convicted in Plot to Kill Muslim Refugees Say the Rise of Trump Explains Their Client's Islamophobia,0
4,jezebel.com,Correction: John 'White Supremacist Dick' Mayer Says He Has Not Slept with 500 Women,0
5,jezebel.com,The Hope of Rashida Tlaib,0
6,jezebel.com,Here Is One of Your Scariest Stories of All Time,1
7,jezebel.com,Ava DuVernay Is Making the Prince Documentary We Deserve,1
8,jezebel.com,Doctor Won't Face Jail Time For Dyeing Patient's Vagina Purple as a 'Joke',0
9,jezebel.com,The Kids Are Going to Vote (Maybe),1
10,jezebel.com,All The Criticisms We Have About Bella Hadid's Disturbingly Perfect Fridge,1
11,jezebel.com,Cardi B and Nicki Minaj Are Having a Night,1
12,jezebel.com,Married Couple Carries Same Baby in Landmark Fertility Treatment,0
13,jezebel.com,Taylor Swift's Ex-Boyfriend Taylor Lautner Has a New Girlfriend Named Tay,1
14,jezebel.com,Pharrell Williams Asks Donald Trump to Please Not Play 'Happy' at His Rallies,1
15,jezebel.com,Sigourney Weaver Says She Would Work With Roman Polanski Again,0
16,jezebel.com,Cardi B's Fashion Nova Line Promises to Make You 'So Corporate and Poppin'',1
17,jezebel.com,Kim Kardashian Says Kanye Is 'Harassing' Her for Seven Kids,1
18,jezebel.com,These 10 Scary Stories Have Truly Fucked Me Up,1
19,jezebel.com,Busy Philipps Wants to Be Your Best Friend on Busy Tonight,1
20,jezebel.com,This Is How the Criminal Justice System Traps Women and their Families,1
21,jezebel.com,Witchin' You a Spooktacular Holiday: It's the Celebrity Halloween Costumes Roundup,1
22,jezebel.com,If Twitter Loses the Like Button You Might Have to Develop an Actual Sense of Self Worth,1
23,jezebel.com,The President Reportedly Still Dicks Around Most of the Day,1
24,jezebel.com,Far-Right Candidate Who Once Said a Congresswoman Was Too Ugly to Rape Is Elected President of Brazil,0
25,jezebel.com,"Run, Don't Walk: Tiffany Haddish Has Announced Tour Dates",0
26,jezebel.com,The Cops of the MPAA's Ratings Board Are a Bunch of Moms and Dads,1
27,jezebel.com,We're Getting New George Michael Songs for Christmas,1
28,jezebel.com,"Brett Kavanaugh's Buddies Were so Happy to See Him at His High School Reunion, How Nice",1
29,jezebel.com,Zoë Kravitz Says She Worked With a Director Whose Behavior Was 'Totally Inappropriate',1
30,jezebel.com,"In Awards Speech, Jim Carrey Jogs a Distant Memory of a Pre-Trump World",0
31,jezebel.com,Sanders Uses Rare Press Conference to Echo Trump's Blame of Media for Right-Wing Violence,0
32,jezebel.com,Is the Trump Administration Suppressing the Immigrant Vote?,1
33,jezebel.com,Kanye's 'Blexit' T-Shirts Are Lying to You,1
34,jezebel.com,Rockettes Will Add Drones to This Year's Christmas Spectacular,1
35,jezebel.com,UPDATE: At Least 11 Deaths in Shooting at Pittsburgh Synagogue,0
36,jezebel.com,We're All Gonna Watch This Documentary About Good Dogs,1
37,jezebel.com,An Interview With the Woman Whose Wallet Ansel Elgort Found at a BROCKHAMPTON Show,1
38,jezebel.com,'Brazilian Black Women Have Been the Safeguard of Democracy': Feminist Gabriela Monteiro on Fighting the Rise of Bolsonaro,1
39,jezebel.com,Best Child Gives No Fucks About Meeting Melania,0
40,jezebel.com,Shaina's 24-Hour Product Diary: Not Sponsored by Kiehl's,0
41,jezebel.com,"Justin Bieber Does, In Fact, Eat His Burritos Frontways: An Elegy",1
