,source,title,is_clickbait
0,kwch.com,"iPads, Macs get new screens as Apple pushes creativity",0
1,kwch.com,"When to turn the clocks back in 2018, ending Daylight Saving time?",0
2,kwch.com,"Gum, bottled water, pizza bagels want to be called 'healthy'",0
3,kwch.com,"Wichita State to kick-off basketball season with bonfire, pep rally",0
4,kwch.com,"3 Indiana children struck, killed by truck at bus stop",0
5,kwch.com,"USD 259 unveils upgrades to ""Speak Up"" program",0
6,kwch.com,Official: Pipe-bomb suspect had hit list of targets,0
7,kwch.com,Taliban: 5 freed from US military prison now in Qatar office,0
8,kwch.com,6-year-old mini Mahomes turning heads,0
9,kwch.com,One hurt in S. WIchita shooting,0
10,kwch.com,Khashoggi's fiancee calls on Pres. Trump to prevent 'cover-up',0
11,kwch.com,Brother: Indians died in Yosemite fall while taking selfie,0
12,kwch.com,Shockers to host exhibition against Catawba College,0
13,kwch.com,Pres. Trump to visit a Pittsburgh scarred by violence at synagogue,0
14,kwch.com,"US sending 5,200 troops to border, double Syria deployment",0
15,kwch.com,Previous flight of crashed Lion Air jet terrified passengers,0
16,kwch.com,Man arrested on suspicion of attempted murder,0
17,kwch.com,Gusty winds and MUCH cooler temps today,0
18,kwch.com,Trump: End birthright citizenship for some US-born babies,0
19,kwch.com,"Markets Right Now: Stocks sink again, extending dismal month",0
20,kwch.com,Kansas troops headed to U.S.-Mexico border,0
21,kwch.com,Video shows school bus swept away by floodwaters,0
22,kwch.com,Where's Shane? Romesburg Haunted Maze,0
23,kwch.com,Illinois officer dies after falling 50 feet during chase,0
24,kwch.com,Suspect in deadly hoax call to change plea on federal court,0
25,kwch.com,FBI says suspicious parcel was addressed to CNN in Atlanta,0
26,kwch.com,MBB: Shockers ink four-game series with Oklahoma State,0
27,kwch.com,Andover City Council decision could delay construction on new high school,0
28,kwch.com,NJ sending training teams to centers amid fatal outbreaks,0
29,kwch.com,The Latest: Feds want no bond for pipe-bomb suspect,0
30,kwch.com,Police halt 2nd migrant group trying to enter Mexico,0
31,kwch.com,Russian held as agent studied US groups' cyberdefenses,0
32,kwch.com,Russian minister warns Europe over US exit from nuclear pact,0
33,kwch.com,$1.3 million in lottery prizes unclaimed in Kansas,0
34,kwch.com,No charges filed in KBI investigation involving Phillips County Sheriff's Office,0
35,kwch.com,Statewide survey: Kelly holds slight lead over Kobach in governor's race,0
36,kwch.com,Blind customers sue Walmart over self-service accessibility,0
37,kwch.com,K-State athlete dies of rare illness,0
38,kwch.com,Venice inundated by exceptional tide; flooding hits Italy,0
39,kwch.com,Work on 45th and Hillside on track for completion in late November,0
40,kwch.com,Hubble Space Telescope working again after 3-week shutdown,0
