,source,title,is_clickbait
0,latinpost.com,"Citgo, Valero drive up U.S. purchases of Venezuelan oil in September",0
1,latinpost.com,"Maria Gabriela Chávez Net Worth: Hugo Chávez's Daughter Richest Woman in Venezuela, Worth $4.2 Billion",0
2,latinpost.com,"Rose McGowan refutes controversial interview: 'I never said #MeToo is a lie, ever'",1
3,latinpost.com,Heavyweights on the Undercard: Get Ready for Yankees-Red Sox,0
4,latinpost.com,"Fan Bingbing, China’s biggest celebrity, fined $130 million for tax, pay irregularities",0
5,latinpost.com,Recent string of celebrity home burglaries linked to social media posts: Police,0
6,latinpost.com,MBA enrollment is down again. What’s the future of the degree?,1
7,latinpost.com,A letter written by a young Brett Kavanaugh has shed new light on the judge’s university drinking habits,0
8,latinpost.com,"Los Angeles, California No Longer ""Bank Robbery Capital of the World,"" FBI Surprised",0
9,latinpost.com,"Some Apps May Help Curb Insomnia, Others Just Put You To Sleep",1
10,latinpost.com,Sanctions on Iran: International Court of Justice rules against US,0
11,latinpost.com,Kim Kardashian bodyguard sued for $6.1m over Paris robbery,0
12,latinpost.com,"How Bad Is Bacon for You, Really?",1
13,latinpost.com,"Iran vs. South Korea Live Stream, Preview, Predictions for FIFA World Cup 2018 Qualifiers",0
14,latinpost.com,Denis Mukwege and Nadia Murad win 2018 Nobel Peace Prize,0
15,latinpost.com,Chocolatito Next Fight: Roman Gonzalez To Defend Title Against Filipino Champ Donnie Nietes?,0
16,latinpost.com,Top 5 Countdown of Drake Songs Featuring Female Artists - Including His Girlfriend Rihanna [VIDEO],1
17,latinpost.com,Tracy Marrow Jr: Ice-T's Grandson Accidentally Shoots and Kills Teenager Roommate,0
18,latinpost.com,"‘Reign’ Season Finale Spoilers: Mary Is Pregnant, Catherine Offers Something to Queen Elizabeth in ‘Burn’ [Watch]",1
19,latinpost.com,Top 10 Latino CEOs at Fortune 500 Companies You Should Know About,1
20,latinpost.com,Top 5 Safest & Cheapest Latin American Countries to Visit in 2016,0
21,latinpost.com,'Adam and Eve' Naked Reality Show: Would You Look for Love While Nude? 'Adan y Eva' Contestants Will,1
22,latinpost.com,Man Cuts Off Own Hand in His Garage to Save His Life,0
23,latinpost.com,Kris Jenner Topless and Naked Pics: Will the Kardashian Matriarch Pose Nude for Playboy?,1
24,latinpost.com,"Porn Star Esperanza Gomez Reveals Sexual Abuse, Says Husband Is Biggest Supporter",0
25,latinpost.com,Hispanic Heritage Month 2014: Top 10 Greatest Latino MLB Baseball Players of All Time,0
26,latinpost.com,Bigfoot Sighting Video and Footage: New YouTube Video Claims to Have Captured Sasquatch on Camera [Watch],0
27,latinpost.com,"GTA 5 Cheats on PS3 & Xbox 360: Best Vehicle, Plane, Motorcycle, & Helicopter Cheats To Try Before Next-Gen PS4, Xbox One Release",0
28,latinpost.com,'Find my Friends App' Can Now Be Accessed Using Mac or PC,1
29,latinpost.com,"‘Five Nights at Freddy’s Movie Release Date, Plot and Cast: Director Teases Set, Working Animatronic [Video]",0
30,latinpost.com,"Top 5 Best Latin Phrases, Leadership Quotes for Entrepreneurs 2015",1
31,latinpost.com,Rihanna New Boyfriend & News Update: Singer Smoking Marijuana With Booty Exposed [See Photo Here],1
32,latinpost.com,Aventura’s Romeo Santos May Be Engaged,0
33,latinpost.com,‘X Factor UK 2015' Judge Simon Cowell Reveals Why He Cried During Josh Daniel's Audition [Watch],1
34,latinpost.com,Author Natalia Sylvester Explains That the Latino Narrative Belongs to Everyone in the US,1
35,latinpost.com,"Social Media in Latin America: Argentina, Brazil, Mexico Helping Region Compete Against Asia-Pacific's Twitter User Growth",0
36,latinpost.com,"Marlboro Man Darrell Winfield Dead: Cause of Death of Man Known for Cigarette Commercials, Ads Unknown",0
37,latinpost.com,PGA News: Sergio Garcia Tops List of 10 Spanish Golfers To Keep an Eye in 2015,0
38,latinpost.com,"Hispanic Consumers to Spend $1.3 trillion in 2015, Prompting National Economic Growth",0
39,latinpost.com,"George Zimmerman Ethnicity: Is he White, Latino or 'White Hispanic'?",1
40,latinpost.com,Plastic Surgery in the Dominican Republic: Is the Cheap Cost of Medical Tourism Worth the Risk?,0
41,latinpost.com,'NCIS' Season 12 Finale: Episode to End in 'Death of Important Team Member?',0
42,latinpost.com,Brazil Top 10 Goal Scorers of All Time: Will Neymar Pass Pele On All-Time Scoring List?,1
43,latinpost.com,Jennette McCurdy Leaked Selfie Pics In Bed Without Boyfriend Go Viral On Reddit,0
44,latinpost.com,Staffers at DC restaurant where Cruz was confronted get death threats: owner,0
45,latinpost.com,"Microsoft Backwards-Compatible Games List Expands, 'Lego Batman' and Three More Added to Lineup",0
46,latinpost.com,"'Mean Girls 2 The Reunion' Release Date, Cast & Plot: Tina Fey Confirms 10th Anniversary Project, But No Movie Sequel",0
47,latinpost.com,Brad Pitt and Angelina Jolie Support Child Shiloh Identifying as Boy,0
48,latinpost.com,Barbara Walters: Legendary Journalist Suffers from Dementia,0
49,latinpost.com,"Angel McCoughtry Instagram: WNBA Superstar Comes Out as Gay, Confirms Discrimination Experienced in Turkey",0
50,latinpost.com,How Joe Biden’s comments about the FBI and Anita Hill are now being used against Democrats,1
51,latinpost.com,Madonna's 'La Isla Bonita' a Fitting Tribute to Belize and the Beauty of San Pedro,1
52,latinpost.com,Swedish-Owned Electrolux Buys GE Appliances for $3.3 Billion,0
53,latinpost.com,Horchata: The History of the Delicious Beverage & How to Make it at Home,1
54,latinpost.com,'Jane The Virgin' Season 2 Episode 9 Spoilers: Jane and Michael Get Back Together in Chapter Thirty-Five [VIDEO],1
55,latinpost.com,"The Pirate Bay has shut down, but users can try these alternatives",1
56,latinpost.com,Abigail Hernandez Story Update: Formerly-Missing New Hampshire Teen in 'Deteriorated Health',0
57,latinpost.com,Trump at U.N. accuses China of meddling in U.S. elections,0
58,latinpost.com,"Satanic Temple Rattles Colombia; Leader Promising Wealth, Sex to Devotees?",0
59,latinpost.com,New Real-Life Barbie Doll? Valeria Lukyanova Has Competition for 'Human Barbie' Title [Video],0
60,latinpost.com,"'The Sims 4' Cheats: Codes That Are Bizarre, Morbid and Entertaining",1
61,latinpost.com,NFL Thursday Night Football Schedule & Predictions: New York Jets at New England Patriots; Who Will Win? [Poll],0
62,latinpost.com,Bigfoot Sighting Video Footage and Finding Bigfoot: YouTube Video of Sasquatch in Tahoe City [Video],0
63,latinpost.com,Former Mexican Gang Member Richard Cabral Reveals How He Left Streets to Star in ABC’s ‘American Crime’,0
64,latinpost.com,Nochebuena: Celebrations Start on Dec. 24 in Latin-American Households,0
65,latinpost.com,"GTA 5 Cheats PS3 & Xbox 360: Money Cheats, Guns Code, & Vehicle Locations To Find",0
66,latinpost.com,Prince to Receive Honorary Degree From University of Minnesota,0
67,latinpost.com,'Elder Scrolls 6' Update: Leaked Info Reveals Game May Not Carry the Name Argonia or Redguard,0
68,latinpost.com,History of the Mojito: How Ernest Hemingway's Favorite Cuban Drink Became an Artisanal Latin Staple,1
69,latinpost.com,"Mariah Carey, Luis Miguel Relationship: Singer Allegedly Denies Knowing Ex Luis Miguel",0
70,latinpost.com,'Bones' Season 10 Episode 2 Spoilers: Why Sweets Was Killed Off the Show [Video],1
71,latinpost.com,The Black-Brown Divide: Conversations on Race and Blackness in Latin America and the U.S.,1
72,latinpost.com,"Lionel Messi vs Cristiano Ronaldo: Career Stats, Goals, Awards & Honors",0
73,latinpost.com,Poverty in Latin America: One-Third of Region's Population At Risk of Falling Into Poverty,0
74,latinpost.com,The Latino Who Invented 'Hot Cheetos': A Rags to Riches Story,1
