,source,title,is_clickbait
0,leaderpost.com,"RCMP suspect impaired driving in highway crash that killed 3, injured baby",0
1,leaderpost.com,Taman's Take: Late hit on Saskatchewan Roughriders quarterback Zach Collaros was a disgrace,0
2,leaderpost.com,Sask. government's green efforts getting little notice,0
3,leaderpost.com,Scientists call for halt in stem-cell trial over alleged data fabrication,0
4,leaderpost.com,Canadiens Game Day: Alexander Radulov returns to Bell Centre with Stars,0
5,leaderpost.com,Dog shot by Regina police dies from suspected liver ailment,0
6,leaderpost.com,"AltaGas shares fall as it eyes $1.5B in asset sales, cancels dividend program",0
7,leaderpost.com,Recycle that: Many household items find surprising new lives,0
8,leaderpost.com,"'Not a Cold War situation': As West and Russia both hold military drills off Norway, NATO chief expects 'respectable' behaviour",0
9,leaderpost.com,"Canada Post strike hits Montreal, with 6,000 workers walking off the job",0
10,leaderpost.com,AP FACT CHECK: Trump off track on birthright citizenship,0
11,leaderpost.com,Standoff ends in Regina neighbourhood,0
12,leaderpost.com,Party held for homeless baby born in wake of hurricane,0
13,leaderpost.com,Trump says he will use executive order to end birthright citizenship for children of non-citizens in U.S.,0
14,leaderpost.com,"Latest: Crews hunt for bodies of Illinois professor, husband",0
15,leaderpost.com,Kansas militia men blame Trump's rhetoric for planned attack,0
16,leaderpost.com,Trial begins for sports radio voice Craig Carton,0
17,leaderpost.com,"Pilot crashes plane into lake, leaves wreckage, hitches home",0
18,leaderpost.com,Florida invests $3.5M to finish Everglades highway project,0
19,leaderpost.com,JETS SNAPSHOTS: Who’s the daddy?...Laine knows what he wants to improve on…Trading places…Perreault recalls Liiga experience,1
20,leaderpost.com,"Two months after vote, gridlock has Swedish neo-Nazi-linked party hoping for new election",0
21,leaderpost.com,Trump to visit a Pittsburgh scarred by violence at synagogue,0
22,leaderpost.com,"Abstaining from pot improves memory, ability to learn in young users: study",0
23,leaderpost.com,Officer who mistook detective for gunman testifies at trial,0
24,leaderpost.com,The Latest: UN rights chief asks Saudis to tell site of body,0
25,leaderpost.com,"Florida man sues Tesla over autopilot feature, crash",0
26,leaderpost.com,Jury struggling in murder trial of ex-Michigan trooper,0
27,leaderpost.com,Progress? Gridlock? How midterm vote could affect US economy,0
28,leaderpost.com,Info on drug use was concealed in report on Hernandez death,0
29,leaderpost.com,Dogs drop in league and national ranks,0
30,leaderpost.com,Seahawks' Kendricks banned 8 games for insider trading,0
31,leaderpost.com,UN demands immediate halt to attacks in Ebola areas in Congo,0
32,leaderpost.com,Bestselling Chinese novelist Louis Cha dies at age 94,0
33,leaderpost.com,EU antitrust regulator investigates steel joint venture deal,0
34,leaderpost.com,US trial for 'El Chapo' set to begin next month,0
35,leaderpost.com,"The Latest: 3 siblings struck, killed by truck at bus stop",0
36,leaderpost.com,2 men charged after officer chasing them fell to his death,0
37,leaderpost.com,Report: Human error blamed in woman's death after power cut,0
38,leaderpost.com,Work continues in Texas to honour black sailor Doris Miller,0
39,leaderpost.com,F1 driver Ericsson moving to IndyCar with Schmidt Peterson,0
40,leaderpost.com,Inter Pipeline adds seven terminals in the U.K. and Netherlands in $354M deal,0
41,leaderpost.com,"Helped by solid earnings, US stock indexes turn higher again",0
42,leaderpost.com,The Latest: Casket arrives for first funeral after massacre,0
