,source,title,is_clickbait
0,lgbtqnation.com,Straight couple savagely attacks gay tourists because they were wearing Speedos on a boat,1
1,lgbtqnation.com,Czech Republic may be the first former Communist country to get marriage equality,0
2,lgbtqnation.com,Log Cabin Republicans somehow found a few congressional candidates to endorse,0
3,lgbtqnation.com,A protester with a trans flag interrupted Jeff Sessions’ speech. He wasn’t happy about it.,1
4,lgbtqnation.com,Gay Trump supporter goes into hiding after his racist tirade is caught on video,1
5,lgbtqnation.com,Activists unfurl huge banner supporting trans rights during World Series,0
6,lgbtqnation.com,This drag queen broke character & it brought the audience to tears,1
7,lgbtqnation.com,Did this action movie star just come out? It sure seems like it.,1
8,lgbtqnation.com,Pence opens campaign rally with ‘rabbi’ who skips shooting victims to pray for Republican candidates,0
9,lgbtqnation.com,The synagogue shooting happened during a ceremony for a gay couple’s kids,1
10,lgbtqnation.com,Suicide hotline calls quadrupled after Trump’s latest attack on transgender people,1
11,lgbtqnation.com,America’s first president welcomed Jewish people. The current one is urging violence against them.,1
12,lgbtqnation.com,Gus Kenworthy wins Halloween with his Adam Rippon knockoff costume,1
13,lgbtqnation.com,The homophobic Masterpiece Cakeshop baker did an ad opposing a gay candidate,0
14,lgbtqnation.com,Russian court tosses ‘gay propaganda’ conviction of teenage boy,0
15,lgbtqnation.com,The #MAGABomber said his lesbian boss would ‘be the first one I burn’,1
16,lgbtqnation.com,Anti-LGBTQ graffiti was found on a Holocaust memorial,0
17,lgbtqnation.com,A gay penguin couple hatched an egg & the world has fallen in love with their chick,1
18,lgbtqnation.com,Instagram deletes Milo post that said he was ‘sad’ the #MAGABomber’s bombs didn’t work,1
19,lgbtqnation.com,The #MAGABomber has a history of making weirdly racist LGBTQ tweets,1
20,lgbtqnation.com,"As bad as it is, there’s even more damage that Trump can do to us",1
21,lgbtqnation.com,Conservative Twitter has a meltdown over gender-neutral cookies,0
22,lgbtqnation.com,Caitlyn Jenner admits she was wrong about Trump. People still aren’t satisfied.,1
23,lgbtqnation.com,Religious group will spend half a million dollars to kick drag queens out of libraries,0
24,lgbtqnation.com,Why does the Trump administration want a ruling on gay cases before a trans case?,1
25,lgbtqnation.com,A teacher told the school that a boy is gay & that his girlfriend is ‘cover’,1
26,lgbtqnation.com,An attack ad for an LGBTQ-friendly Republican shows a bizarre gay marriage,0
27,lgbtqnation.com,Gay artist explodes Twitter: ‘Straight men understand consent when they go to a gay bar’,1
28,lgbtqnation.com,Remembering when a San Francisco street car was dedicated to Harvey Milk,0
29,lgbtqnation.com,These two types of straight college students are more likely to kiss another man,1
30,lgbtqnation.com,The man behind Trump’s anti-trans policy has been waiting years for this moment,1
31,lgbtqnation.com,Willyce Kim wrote her own story & inspired other lesbians to do the same,1
32,lgbtqnation.com,Thousands march in Taiwan’s pride ahead of marriage equality referendum,0
33,lgbtqnation.com,Trump plans to redefine the word ‘gender’ to write trans people out of civil rights laws,1
34,lgbtqnation.com,‘The Bi Life’ is the first bisexual dating show. Check out its cast.,1
35,lgbtqnation.com,FDA approves smaller condoms for American men because regular ones are too big,1
36,lgbtqnation.com,Is Queen Latifah about to have a baby with her longtime partner?,1
37,lgbtqnation.com,The historical painting shows a celebration of gender diversity. The title is a slur.,0
38,lgbtqnation.com,Kim Davis on the campaign trail: ‘I did not treat anybody unfairly’,0
39,lgbtqnation.com,Frances Kellor: The lesbian behind the multiculturalism,1
40,lgbtqnation.com,Genes linked to gay men may cause straight men to have more sex,0
41,lgbtqnation.com,"30 years ago, they stormed the FDA & seized control. So where are they now?",1
42,lgbtqnation.com,Protest erupts in response to Trump’s attempt to erase trans people from civil rights laws,0
43,lgbtqnation.com,RuPaul & Raja will appear on ‘The Simpsons.’ Check out their characters.,1
44,lgbtqnation.com,Lawyer who fought to ban trans people from bathrooms will lead DOJ civil rights division,1
45,lgbtqnation.com,Legendary performer Maurice Hines talks seven decades of dancing,0
46,lgbtqnation.com,It’s time to get educated about ‘intersex’ people,1
47,lgbtqnation.com,A Christian conservative burned four LGBTQ library books to protest equality,0
48,lgbtqnation.com,Donald Trump is no patriot. He’s a nationalist.,1
49,lgbtqnation.com,Donald Trump is also trying to erase transgender people at the UN,1
50,lgbtqnation.com,"You can still buy an official ‘LGBTQ for Trump’ T-shirt, despite all the attacks",1
51,lgbtqnation.com,Nancy Pelosi says that the Equality Act will be a top priority for Democrats,0
52,lgbtqnation.com,Adam Rippon needs you. So does America.,1
53,lgbtqnation.com,Is Trump about to name Michele Bachmann the next UN ambassador?,1
54,lgbtqnation.com,How Dan Savage became an election issue in a Congressional race,0
55,lgbtqnation.com,Rosie O’Donnell got engaged to a police officer,0
56,lgbtqnation.com,Nielsen found the most popular shows for LGBTQ people. They may surprise you.,1
57,lgbtqnation.com,"PrEP users face rampant stigma & slut-shaming, study finds",0
58,lgbtqnation.com,LGBTQ workers are protected in draft of new North American trade treaty,0
59,lgbtqnation.com,First they wanted to discriminate against gay & lesbian parents. Now it’s Jewish parents.,1
60,lgbtqnation.com,Uruguay passes a groundbreaking trans equality law as the US rolls back rights,0
61,lgbtqnation.com,The HHS memo is the latest salvo in Donald Trump’s War on Transgender People,1
62,lgbtqnation.com,Rihanna rebuffed Super Bowl halftime gig to support Colin Kaepernick & NFL players,0
63,lgbtqnation.com,Trump voters think men are more discriminated against than LGBTQ people,1
64,lgbtqnation.com,This new survey shows how far apart Republicans & Democrats are on LGBTQ acceptance,1
65,lgbtqnation.com,Someone is sending a picture of Trump & the type of gun used in the Pulse shooting to gay bars,1
66,lgbtqnation.com,Major Christian group tells members to pray for the right to harm LGBT children,0
67,lgbtqnation.com,A ‘Caitlyn Jenner’ Halloween costume on Amazon has been blasted for transphobia,1
68,lgbtqnation.com,This amazing dad put on nail polish to support his 5-year-old son,1
69,lgbtqnation.com,This trans woman was pulled over. Then her problems with the police started.,1
70,lgbtqnation.com,Trump doesn’t know about his administration’s attempt to erase trans identity,1
71,lgbtqnation.com,Meet the groundbreaking lovers from pre-war Germany who pioneered ‘queer studies’,1
72,lgbtqnation.com,Here’s how celebrities & activists are protesting Trump’s latest attack on transgender people,1
73,lgbtqnation.com,Forget the midterms. Democrats are already focused on the 2020 presidential race.,0
74,lgbtqnation.com,This is what it looked like seconds after the Supreme Court announced marriage equality,1
75,lgbtqnation.com,Anglican church is set to ban pro-LGBTQ speech (& yoga!) on its property,0
76,lgbtqnation.com,"Before a blue wave, why do these Democrats want voters to forget that they’re Democrats?",1
77,lgbtqnation.com,These amazing identical twins came out as trans & transitioned together,1
78,lgbtqnation.com,There are no LGBTQ Republicans running for Congress & the religious right is celebrating,1
79,lgbtqnation.com,Judge dismisses charges in a gay sex sting: A private room isn’t a ‘public place’,0
80,lgbtqnation.com,Trump may appoint a gay man as his new UN ambassador,0
81,lgbtqnation.com,This photo from 1983 was the first to show gay parents in mainstream media,1
82,lgbtqnation.com,This bisexual Republican politician is switching parties thanks to Trump,1
83,lgbtqnation.com,Meet a lost transgender icon: the Chevalier d’Éon,1
84,lgbtqnation.com,I am a proud member of the ‘angry liberal mob’ Trump says will ruin America,0
85,lgbtqnation.com,Thailand could become the first country in Asia with civil unions by the end of the year,0
86,lgbtqnation.com,Christian hate group leader Tony Perkins got his butt handed to him on live TV,0
87,lgbtqnation.com,A gay student says a pizzeria kicked him out for wearing a Pride T-shirt,0
88,lgbtqnation.com,Here’s your complete list of LGBTQ holidays & commemorations just in time for ‘Spirit Day’,1
89,lgbtqnation.com,Arkansas issues non-binary driver’s licenses & they’ve done it for years,1
90,lgbtqnation.com,He was fired for spreading antigay hate. His former boss just gave him a $1.2 million payday.,1
91,lgbtqnation.com,Trump is planning to allow more discrimination against LGBTQ people,0
92,lgbtqnation.com,Dykes on Bikes: A moment on a motorcycle turned into a pride tradition,0
93,lgbtqnation.com,Trans rights are on the ballot in a liberal state & activists are nervous,0
94,lgbtqnation.com,DC Mayor will pay for 100 drag queens to run a footrace through city streets,0
95,lgbtqnation.com,These men were having a gay old time at a party in the early 1900s,1
96,lgbtqnation.com,Police had to use tear gas & water cannons to protect a pride parade from a vicious mob,0
97,lgbtqnation.com,Researchers just made healthy baby mice with two mothers & no father,1
98,lgbtqnation.com,Founder of alt-right ‘Proud Boys’ defends calling victims ‘fa***ts’ during vicious beatdown,0
99,lgbtqnation.com,Cher is talking about her gay fans & she’s got a lot to say,1
