,source,title,is_clickbait
0,marketplace.org,"""The Facebook Dilemma"" documentary explores the company's global impact",0
1,marketplace.org,Stephen Moore talks trade and Trump's economics,0
2,marketplace.org,5 things you didn’t know about the history of the Myers-Briggs system,1
3,marketplace.org,How companies use the Myers-Briggs system to evaluate employees,0
4,marketplace.org,IBM bets $34 billion on cloud computing with Red Hat purchase,0
5,marketplace.org,When the family business is the most famous basketball team in the world,1
6,marketplace.org,California voters to have their say on gas tax hike,0
7,marketplace.org,Coke earnings don't tell the whole tariff story for beverage suppliers,0
8,marketplace.org,Study finds many parents are not using 529 college saving plans,0
9,marketplace.org,Talking tax overhaul and Trumponomics with Stephen Moore,0
10,marketplace.org,Meet the fact-checkers trying to clean up Facebook,1
11,marketplace.org,The rekindling of fire lookout towers,0
12,marketplace.org,"As the midterm elections near, candidates weaponize mountains of cash",0
13,marketplace.org,U.K. towns turn to criers to boost downtown fortunes,0
14,marketplace.org,The privacy debate is starting to pit tech against tech,0
15,marketplace.org,"Why Nobel Prize winner Paul Romer sees the economy as a ""huge innovation discovery machine""",0
16,marketplace.org,She's a trainer who was schooled by dogs,1
17,marketplace.org,It's the beginning of the end of an era for German Chancellor Angela Merkel,1
18,marketplace.org,The women-led business whose real business is more women-led businesses,1
19,marketplace.org,Consumer spending increases again. How long will that last?,1
20,marketplace.org,Silver is the new gold,0
21,marketplace.org,"In an effort to save money, day care centers in New England are forming purchasing groups",0
22,marketplace.org,When the family business is the Lakers,1
23,marketplace.org,Foreign infant milk formula still highly coveted in China 10 years after the melamine scandal,0
24,marketplace.org,Billionaire donations are driving midterm spending,0
25,marketplace.org,"A tale of two cities: How drag performers in Los Angeles and Moscow, Idaho, spend their money",0
26,marketplace.org,Voting machines are totally hackable. But who's going to pay to fix them?,0
27,marketplace.org,For many grocery stores and pharmacies offering the flu shot is just a way to get you in the door,1
28,marketplace.org,Market volatility? Let's not worry like it's 1987,1
29,marketplace.org,What if the weakest link in election security is ... confidence?,1
30,marketplace.org,"With midterm elections just days away, candidates focus on health care",0
31,marketplace.org,Game theory suggests the trade war could last a long time,0
32,marketplace.org,Saudi hopes for foreign investment dim after Khashoggi death,0
33,marketplace.org,Trump aims to lower drug prices by basing them off what other countries pay,0
34,marketplace.org,Former NFL player Marcellus Wiley on the economic realities of football careers,0
35,marketplace.org,"More students push up housing costs in Flagstaff, Arizona",0
36,marketplace.org,"Town criers are back in Britain, and they're here to save retail",1
37,marketplace.org,A long quest in Texas for a better voting machine,0
38,marketplace.org,Netflix to borrow an additional $2 billion to fund new shows,0
