,source,title,is_clickbait
0,metro.se,Fnatic's scHwimpi opens up about internal issues within the team,0
1,metro.se,Do you want to study Swedish For Immigrants? Here are some tips!,1
2,metro.se,Secret identity blown after plea on Facebook,0
3,metro.se,The Fooo Conspiracy: ”We’re so damn crazy”,1
4,metro.se,Video revealing secrets of food marketing is online success,0
5,metro.se,The Royal Wedding day in Stockholm,1
6,metro.se,Läs Army of Lovers avskedsbrev till La Camilla,0
7,metro.se,HeatoN: Competitive Counter-Strike has never been so unpredictable,1
8,metro.se,Nawal El Zoghbi will perform in Sweden,0
9,metro.se,Vaccine against allergies may have been found,0
10,metro.se,"Confirmed: Shawn Mendes live on Q&A-show ""Fråga mig""",0
11,metro.se,Searching for Joe K,0
12,metro.se,Church bells rang to warn against neo-Nazi march,0
13,metro.se,Swedes criticize American Apparel for sexist ads,0
14,metro.se,Who is Veronika?,1
15,metro.se,"Princess Madeleine: ""I thought I would be more nervous""",0
16,metro.se,Students clean up Fittja,0
17,metro.se,The Viral Eye - Let us check before you share,1
18,metro.se,Paedophiles hunt for kids on popular chat-app,0
19,metro.se,Fake murder story on Facebook,0
