,source,title,is_clickbait
0,middleeastmonitor.com,Palestinians struggle under Arab world apathy,0
1,middleeastmonitor.com,After six decades of independence Algeria is desperate for change,0
2,middleeastmonitor.com,"Gaza returns to 8 hours’ electricity per day, up from 4",0
3,middleeastmonitor.com,PA is ‘deliberating’ on marginalising the Palestinian people,1
4,middleeastmonitor.com,Israel evades demands to end the Gaza protests and reach a truce,0
5,middleeastmonitor.com,Western hypocrisy: Khashoggi and Murtaja two deceased journalists but the world will only remember one,0
6,middleeastmonitor.com,Ennahda condemns Tunisia terror attack,0
7,middleeastmonitor.com,Denmark to suspend funding to BDS groups,0
8,middleeastmonitor.com,Israel: Voting opens in municipal elections amid protests in occupied Golan Heights,0
9,middleeastmonitor.com,Why Oman’s embrace of Israel is bad news,0
10,middleeastmonitor.com,PLO ends commitments to agreements with Israel,0
11,middleeastmonitor.com,Jerusalem: Israel PM orchestrated mayor-ministerial swap,0
12,middleeastmonitor.com,Turkey rejects Syria accusations over Idlib deal,0
13,middleeastmonitor.com,"Israel approves building 20,000 settlement units in West Bank",0
14,middleeastmonitor.com,How Google wipes Palestine off the map,0
15,middleeastmonitor.com,Netanyahu in Muscat: Is the initiative worth the risk?,0
16,middleeastmonitor.com,Israel minister speaks at conference in Dubai,0
17,middleeastmonitor.com,Palestine demands ICC investigate occupation’s killing of three children,0
18,middleeastmonitor.com,Israel sentences hunger-striking Palestinian prisoner to jail,0
19,middleeastmonitor.com,Turkish forces bombarded Syrian Kurdish YPG militia positions east of Euphrates,0
20,middleeastmonitor.com,Israel settlers turn military base into settlement in Jordan Valley,0
21,middleeastmonitor.com,"It Is a New Era, But China’s Balancing Act Will Fail in the Middle East",0
22,middleeastmonitor.com,UK academic charged with spying in UAE released on bail,0
23,middleeastmonitor.com,Israel settlers storm Palestinian homes in Hebron,0
24,middleeastmonitor.com,Saudi Arabia’s gathering storm over its erratic crown prince,0
25,middleeastmonitor.com,Israeli Defence Minister: Security Cabinet refuses to direct ‘severe blow’ at Gaza,0
