,source,title,is_clickbait
0,mojang.com,"If a player are in gamemode creative, and get too close to a Pillager mob, it targets the player!",1
1,mojang.com,Get Minecraft: Windows 10 Edition Beta for free!,0
2,mojang.com,Shouldn't you be on Minecraft.net right now?,1
3,mojang.com,"Race, Jump, and Explode Through These 14 New Realms Maps",1
4,mojang.com,Pocket and Win 10 getting 1.0 - The Ender Update soon!,1
5,mojang.com,Got time to spare? Try our Hour of Code 2016 Edition!,1
6,mojang.com,Add-Ons ahoy! Boss Update coming October 18,1
7,mojang.com,Pocket Edition is 5 years old! Have a trailer for 1.0!,1
8,mojang.com,Let's talk server monetisation!,0
9,mojang.com,"Chinese myth, new mobs & more on consoles Oct 4",0
10,mojang.com,Realms map explosion and free weekend trials,0
11,mojang.com,Pocket Edition 0.9.0 Snapshot. Biggest update ever!,1
12,mojang.com,Minecraft TU14 on Xbox360 today and on PS3 tomorrow!,0
13,mojang.com,What’s happening with redstone on Pocket / Win 10?,1
14,mojang.com,Let's get ready to Tumble! Console mini game out now!,1
15,mojang.com,Minecraft 1.8 Pre-release 3 - The Bountiful Update,0
16,mojang.com,Minecraft 1.10 Pre-Release 1,0
17,mojang.com,Minecraft 1.6.2 Release,0
18,mojang.com,Seek out the Exploration Update: 1.11 on PC / Mac now!,1
19,mojang.com,Share your real-life Minecraft moments!,1
20,mojang.com,The most popular seeds on Minecraft Seeds Pro,0
21,mojang.com,Realms is packed with awesome maps,1
22,mojang.com,Minecraft snapshot 14w07a,0
23,mojang.com,Let's talk server monetisation - the follow-up Q+A,1
24,mojang.com,Playstation and Xbox Editions get humongous update,0
25,mojang.com,Eek! Campfire Tales skin pack haunts Pocket / Win 10!,0
26,mojang.com,Bug fix update for Pocket / Win 10,0
27,mojang.com,"We've sold Minecraft many, many times! LOOK!",1
28,mojang.com,Max Brooks is writing a Minecraft novel! Oh yes!,0
29,mojang.com,Cobalt coming to Xbox and Steam February 2nd,0
30,mojang.com,Minecraft coming to Nintendo Wii U,0
31,mojang.com,Battle mini game: out now & free on consoles!,0
32,mojang.com,The Humble Blockjam Bundle is about to begin,1
33,mojang.com,Story Mode skins are here. Free-ish for the first week!,1
34,mojang.com,Haunted holidays and creepy candies,0
35,mojang.com,Minecraft 1.6 Pre-release,0
36,mojang.com,"Play Crown and Council - a new, free game!",0
37,mojang.com,"Mob spawning ignores light level, biomes and height",0
38,mojang.com,Greek Mythology mash-up pack arrives on console,0
39,mojang.com,Mojang and UN presents: Block by Block,0
40,mojang.com,Minecraft: Xbox One Edition now available hoo!,0
41,mojang.com,MINECON tickets are here!,1
42,mojang.com,Minecraft is coming to China,0
43,mojang.com,Happy Birthday Minecraft: Xbox 360 Edition!,0
44,mojang.com,Minecraft arrives on Gear VR today!,0
