,source,title,is_clickbait
0,news.yahoo.com,Trump targets U.S. birthright citizenship ahead of elections,0
1,news.yahoo.com,"Latest: Crews hunt for bodies of Illinois professor, husband",0
2,news.yahoo.com,"Jay Baruchel on the state of hockey in Canada, says NHL is 'boring'",0
3,news.yahoo.com,Indigenous legal fund pitch a 'divide-and-conquer' tactic: Senator,0
4,news.yahoo.com,At least 11 dead as violent storms buffet Italy,0
5,news.yahoo.com,Lewis Hamilton has 'no idea' why Mercedes F1 team is now struggling,1
6,news.yahoo.com,"UK, Norway agree right to remain for their citizens after Brexit",0
7,news.yahoo.com,England drop Brown for South Africa Test,0
8,news.yahoo.com,Netflix orders Prince documentary series,0
9,news.yahoo.com,"Mikel will decide on Super Eagles return, says Gernot Rohr",0
10,news.yahoo.com,Notorious gangster James ‘Whitey’ Bulger found dead in prison,0
11,news.yahoo.com,Ian Rapoport: Houston Texans officially acquire wide receiver Demaryius Thomas for two 2019 draft picks,0
12,news.yahoo.com,Citroen could revive third car for Loeb/Breen,0
13,news.yahoo.com,UK ministers accused of ‘buying DUP votes’,0
14,news.yahoo.com,"Venezuela a threat to regional stability, security: U.S. official",0
15,news.yahoo.com,Meghan Markle Recycles a Navy Dress For Her Final Formal Occasion on the Royal Tour,0
16,news.yahoo.com,'Strictly Come Dancing's Stacey Dooley out of action after tearing muscle in training injury,0
17,news.yahoo.com,Chelsea's Ianni fined after Mourinho clash,0
18,news.yahoo.com,Armed robber who was wrestled to the ground jailed for three years,0
19,news.yahoo.com,"No national ID, no benefits?",0
20,news.yahoo.com,Aussie wrestler claims stunning win at historic WWE event,0
21,news.yahoo.com,'This is a startling moment': Jewish writers discuss attack,1
22,news.yahoo.com,US intel budget soars under Trump,0
23,news.yahoo.com,Hailee Steinfeld happy in love,1
24,news.yahoo.com,UV’s strength,0
25,news.yahoo.com,BMW M850i Gran Coupe spied torturing its tyres at the Nurburgring,0
26,news.yahoo.com,Duterte wants to meet with opposing Mandaue camps,0
27,news.yahoo.com,The Eriksson Era?,0
28,news.yahoo.com,NBA Stuff,0
29,news.yahoo.com,"Delaying Singh's byelection might be calculated, but it isn't unprecedented",1
30,news.yahoo.com,"'Life is not the same': Manitoba couple forced to live apart after 71 years, care home won't take them both",0
31,news.yahoo.com,Dozens feared buried in Philippines typhoon landslide,0
