,source,title,is_clickbait
0,newsweek.com,Exclusive: Trump Administration Told 'Only Small Percentage' of Migrant Caravan Will Reach U.S. Border Before Massive Troop Deployment,0
1,newsweek.com,"What’s new in iOS 12.1? 70 Emojis, Group Facetime, Dual SIM Updates [Release Notes]",0
2,newsweek.com,P Diddy Tries To Win Cassie Back With Michael Jackson Song,0
3,newsweek.com,Man Thrown Out of Bar for Wearing KKK Costume to Halloween Party in Mississippi,0
4,newsweek.com,Pittsburgh Synagogue Shooting Victim’s Family Rejects Donald Trump Meeting: 'He Was Blaming the Community',1
5,newsweek.com,"Nazi Christmas Ornaments, Ku Klux Klan Robe Reportedly Sold at Kentucky Gun Show",0
6,newsweek.com,Man Charged After Allegedly Attempting to Bring Weed Gummy Worms From Canada to the U.S.,0
7,newsweek.com,Who Is Kyle Lauletta? Giants Back-up QB Arrested on the Way to Practice,0
8,newsweek.com,Whitey Bulger Victim's Son 'Surprised and Pleased' at Gangster Being Killed in Prison,0
9,newsweek.com,"Which Countries Are Communist? Cuba Will Get Weapons from Russia and Visit China, North Korea and More In Leader's First World Tour",0
10,newsweek.com,Cannabis Study: Memory and Learning Improve When Teens Quit Smoking Pot,0
11,newsweek.com,"Donald Trump's Wrong: Russia's, Not China's, Influence Operations Are the “the Greatest Cyber Threat to U.S. Elections,"" Experts Warn",0
12,newsweek.com,What Is Brain Fingerprinting? How Brainwaves May Prove Steven Avery Is Innocent,1
13,newsweek.com,'Red Dead 2' Gold Bar Glitch: Infinite Money From Infinite Gold Bars,0
14,newsweek.com,Fantasy Football: Week 9 Best Waiver-wire Targets to Add as Ryan Fitzpatrick returns,0
15,newsweek.com,Fox News Host Praised for Telling Truth and Debunking Donald Trump’s Claims About Caravan by ‘Morning Joe’,0
16,newsweek.com,"Monster 5,655-Carat Emerald Crystal Unearthed in Zambia",0
17,newsweek.com,Ticket Worker Avoids Charging Visitors for 2.5 Years Because a Tourist Shouted at Him Once,0
18,newsweek.com,Lil Yachty Says He Won't Work With Nicki Minaj Because of Cardi B,1
19,newsweek.com,"Donald Trump Targeting People ‘Who Don’t Look Like Him’ With Birthright Citizenship Threat, Democrat Says",1
20,newsweek.com,"Decomposing Severed Head Was Not a Halloween Prank, Oakland Police Discover",0
21,newsweek.com,5 Best Comic Book Shows to Watch Right Now,1
22,newsweek.com,Neanderthal Thorax Shows Our Ancient Human Relatives Walked Upright and Breathed Differently to Us,0
23,newsweek.com,The End of Kepler? NASA to Make Announcement About Planet-Hunting Space Telescope,0
24,newsweek.com,Giving Up Meat Won’t Save The Climate | Opinion,0
25,newsweek.com,Kathleen Zellner Denied Steven Avery’s Case Before She Watched ‘Making A Murderer’,1
26,newsweek.com,Pharrell Williams Joins List of Musicians Who Want Trump to Stop Using Their Songs at Rallies,1
27,newsweek.com,"One of the World's Largest Floating Docks Takes Russian Aircraft Carrier, Sinks",0
28,newsweek.com,"Man Who Allegedly Beat, Decapitated Friend's Baby Could Face Execution By Firing Squad",0
29,newsweek.com,‘Destiny 2’ Update 2.0.5 (1.28) Fixes Exotic & Masterwork Drops - Patch Notes,0
30,newsweek.com,‘Star Wars Battlefront 2’ PS4 Servers Down or Laggy After Grievous Update,1
31,newsweek.com,What Is the 14th Amendment and Will It Stop Trump From Ending Birthright Citizenship?,1
32,newsweek.com,Psychologists Discover Deluded People and Religious Fundamentalists More Likely to Believe Fake News,0
33,newsweek.com,"""Married at First Sight': After Breaking Up With Vanessa, Shannon Explains Why He Went to 'Honeymoon Island'",1
34,newsweek.com,"Europe Will Face 'Serious Consequences' If Donald Trump Withdraws from Nuclear Agreement, Russian Defense Minister Warns",0
35,newsweek.com,NFL London Games record highest-ever average attendance—is a British franchise closer?,0
36,newsweek.com,What are Nicki Minaj and Cardi B Fighting About? A Breakdown of Their Feud,1
37,newsweek.com,'No Trick or Treat': Georgia Sheriff Puts Halloween Warning Signs Outside Sex Offenders' Homes,0
38,newsweek.com,Indiana School Bus Crash: 3 Children ‘From Same Family’ Struck and Killed,0
39,newsweek.com,Venice Flooding Photos: Most of City Underwater After Highest Tide in Ten Years,0
40,newsweek.com,"Father Uses Infant Daughter to Hide Stolen Handgun During Traffic Stop, Police Say",0
41,newsweek.com,"Guns Are the Answer to Violent Crime, Says Brazil's Far-Right President-Elect Jair Bolsonaro",0
42,newsweek.com,Andrew Gillum Fires Back at Donald Trump's 'Thief' Insults: ‘Never Wrestle With a Pig’,0
