,source,title,is_clickbait
0,nzherald.co.nz,Rocket Lab to launch satellites to beam wi-fi from space,0
1,nzherald.co.nz,Hawke's Bay red wines in line for national honours,0
2,nzherald.co.nz,European tech leaders warn against EU digital services tax,0
3,nzherald.co.nz,The Liberation of Le Quesnoy: First man over the wall - How Kiwi soldiers rescued French town in WWI,0
4,nzherald.co.nz,Science of the earthquake: Magnitude 6.2 shake felt throughout New Zealand,0
5,nzherald.co.nz,Tiffany Haddish tests her hot streak with 'Nobody's Fool',1
6,nzherald.co.nz,Fine weather for most ahead of windy and wet weather later in the week,0
7,nzherald.co.nz,Brian Rudman: Lest we forget ravages of our own un-civil war,0
8,nzherald.co.nz,Royals on tour: A bit of Kiwi footwear,0
9,nzherald.co.nz,Royals on tour: Prince Harry takes a moment to speak with young boy who lost mother aged 1,0
10,nzherald.co.nz,Fran O'Sullivan: Why there's still Miles of work ahead for Fonterra,0
11,nzherald.co.nz,Editorial: Angela Merkel's big mistake mars impressive career at top,0
12,nzherald.co.nz,Americans to get access to shorter UK airport passport line,0
13,nzherald.co.nz,Opinion - Peter Williams: Hard return for Cricket Australia after critical report,0
14,nzherald.co.nz,"Mother still loves cancer-suffering son despite assault, Whanganui court hears",0
15,nzherald.co.nz,Beatles release new video for 'Glass Onion' on Apple Music,0
16,nzherald.co.nz,James Bentley: Schools have more urgent needs than all these reviews,1
17,nzherald.co.nz,"Steve Braunias on the Royal Tour in New Zealand with Prince Harry and Meghan: Diary, Day Three",0
18,nzherald.co.nz,Anna Murray: MediaWorks right to axe Jono and Ben,0
19,nzherald.co.nz,Karma Cola turns Gingerella into Gingerfella: Prince Harry features on bottle,0
20,nzherald.co.nz,Economic risk in positive territory,0
21,nzherald.co.nz,Mike King returning to Whanganui to visit schools with mental health message,0
22,nzherald.co.nz,NZX has hit refresh with a spring clean for its rule book,0
23,nzherald.co.nz,A rainy day in Auckland for the royals' third day in New Zealand,0
24,nzherald.co.nz,Guitarist Jimmy Page looks back at 50 years of Led Zeppelin,0
25,nzherald.co.nz,Racing: Road to Melbourne Cup via Bendigo,0
26,nzherald.co.nz,Nick Nurse's long route from pole-vault pit to Raptors coach,0
27,nzherald.co.nz,Ava DuVernay to make Prince documentary for Netflix,0
