,source,title,is_clickbait
0,ottawacitizen.com,Two drunk drivers arrested in same car in Brockville,0
1,ottawacitizen.com,Roddy Ellias's best artistic year ever continues with concerts this weekend with Jean-Michel Pilc,1
2,ottawacitizen.com,"James 'Whitey' Bulger, gangster who was once a fugitive, found dead",0
3,ottawacitizen.com,"Ottawa Valley farm plans to build cannabis grow-op, spa and 'canna-tourism' complex",0
4,ottawacitizen.com,Six displaced by Gloucester South kitchen fire,0
5,ottawacitizen.com,Coyne: Which electoral system for B.C.? Any option is better than the status quo,1
6,ottawacitizen.com,Drugs in jails: Ministry says it doesn't keep track of overdoses and naloxone use,0
7,ottawacitizen.com,Canadian Forces Ombudsman speaks out about poor treatment of Canadian Rangers,0
8,ottawacitizen.com,'Woman of action': New councillor Laura Dudas sees so much to do in so little time,0
9,ottawacitizen.com,Not your grandmother's commercials: 'Kidvertising' in the digital age,0
10,ottawacitizen.com,DiNardo: Fear of teaching Mockingbird isn't helping our students,0
11,ottawacitizen.com,Sharpe: Ottawa school board must properly and fully engage black community,0
12,ottawacitizen.com,Indonesian plane carrying 189 people crashes into the sea just after take-off,1
13,ottawacitizen.com,Cohen: Tree of Life synagogue shooting affects Jews everywhere,0
14,ottawacitizen.com,"iPads, Macs get new screens as Apple pushes creativity",0
15,ottawacitizen.com,Periods of snow (or rain) and then a chilly night. Happy Monday!,0
16,ottawacitizen.com,"After beating 16 others in Orléans, army veteran finds another way to serve, this time at city hall",0
17,ottawacitizen.com,Guest column: We dare not let murderers define who we are,1
18,ottawacitizen.com,Injured man shows up at hospital after shots fired into window of Centretown home,0
19,ottawacitizen.com,Police probe death of baby in Hull,0
20,ottawacitizen.com,"Gatineau residents a happy lot, except for snow removal issues, poll shows",0
21,ottawacitizen.com,"Update: Police identify Mechanicsville homicide victim as Toronto man, 23",0
22,ottawacitizen.com,Hoffer: Pilot project at the Perley could help seniors live independently for longer,0
23,ottawacitizen.com,Today's letters: Why we must tackle the carbon problem,1
24,ottawacitizen.com,Kingston pair charged in alleged attempt to import banned weapons via mail,0
25,ottawacitizen.com,"Police board keeps background checks free for volunteers, but hikes fees for jobseekers",0
26,ottawacitizen.com,Parents of Humboldt victims put focus on mandatory seatbelts,0
27,ottawacitizen.com,"Denley: Ottawa, there might be a better way to choose city councillors",1
28,ottawacitizen.com,Portage Bridge closed this week for repairs during off-peak hours,0
29,ottawacitizen.com,Klay Thompson hits NBA record 14 3s as Warriors top Bulls 149-124,0
30,ottawacitizen.com,Incumbent B.C. mayor wins election decided by pulling a name out of a box,0
31,ottawacitizen.com,"Mechanicsville homicide victim identified as Toronto man, 23",0
32,ottawacitizen.com,"House Works: Your questions on well depth, cold room moisture, basement mould",0
33,ottawacitizen.com,"Happily married, but swiping on Tinder",0
34,ottawacitizen.com,Gatineau police handing out light collars to make trick-or-treaters visible,0
35,ottawacitizen.com,This elegant nut tart is surprisingly easy to prepare,1
36,ottawacitizen.com,JETS SNAPSHOTS: Who’s the daddy?...Laine knows what he wants to improve on…Trading places…Perreault recalls Liiga experience,1
37,ottawacitizen.com,'Goals are contagious': Matt Duchene is playing with confidence - and the proof is on the scoresheet,1
38,ottawacitizen.com,Canadian Catholic pastor placed on leave over alleged sexual misconduct,0
39,ottawacitizen.com,"Missing children cases can have happy endings, says mom who reunited with son after 31 years",1
40,ottawacitizen.com,Two wounded late Monday in day's third shooting,0
41,ottawacitizen.com,Sam Smiderle takes the 3-Minute Dash shopping spree at Toys “R” Us,0
42,ottawacitizen.com,"Dorion eager to have Duchene long-term, happy with young team so far",1
43,ottawacitizen.com,'A very special person:' Toronto native Joyce Fienberg killed in Pittsburgh,0
44,ottawacitizen.com,Borowiecki hit again with NHL suspension,0
45,ottawacitizen.com,"Tuesday looking pretty fair, but rest of week all wet",0
46,ottawacitizen.com,KISS will rock Ottawa's Canadian Tire Centre next April on 'End of Road' tour,0
47,ottawacitizen.com,"Ontario, Saskatchewan premiers vow to reduce provincial trade barriers",0
48,ottawacitizen.com,The Latest: Couple says fatal fall victim captured in selfie,0
49,ottawacitizen.com,Award-winning Ottawa nurse says advances in cancer treatment have been 'amazing',0
50,ottawacitizen.com,The story of the 'Ottawa prophet': Ezekiel Stone Wiggins and his many (dubious) predictions,1
51,ottawacitizen.com,"What the Puck: Will Habs' autumn heat wave lead to cold, dead spring?",0
52,ottawacitizen.com,"Toronto and U.S. stock markets traded higher at late-morning, loonie edges lower",0
53,ottawacitizen.com,Court says Hopkins doctor had protection as expert witness,0
54,ottawacitizen.com,"Behind the rising level of anxiety, a manic push for happiness by the ‘unusually privileged’",0
55,ottawacitizen.com,Latest OrderDynamics Global Research Finds Only 37.6% of Retailers Offer Click & Collect,0
56,ottawacitizen.com,Cannabis firm Hexo — victim of 'huge mispricing' — to list in New York in aim to boost profile,0
57,ottawacitizen.com,Covalon Announces Successful Completion of Operational Integration of AquaGuard Acquisition amid Continued Business Progress,0
