,source,title,is_clickbait
0,pagesix.com,Savannah Guthrie dumped her husband the same day they got engaged,1
1,pagesix.com,Nicole Kidman’s daughters to appear in ‘Big Little Lies’,0
2,pagesix.com,Kanye’s camp pushing for mental health meeting with Jenifer Lewis,0
3,pagesix.com,Kylie Jenner gifts mom Kris with $250K 488 Ferrari for birthday,1
4,pagesix.com,James McAvoy nearly fell victim to $10K vacation scam,0
5,pagesix.com,Ariana Grande covers up Pete Davidson tattoo for ‘Wicked’ performance,1
6,pagesix.com,Shaun White apologizes to Special Olympics for ‘insensitive’ Halloween costume,0
7,pagesix.com,Kylie Jenner and Stormi Webster wear matching butterfly costumes for Halloween,1
8,pagesix.com,Fran Drescher lives in these stretchy pull-on jeans,0
9,pagesix.com,The Weeknd steps out in 'Blame Bella' hat,0
10,pagesix.com,Halsey’s ‘Without Me’ video features a G-Eazy lookalike,0
11,pagesix.com,Kid Rock flees on chopper before canceling gig due to ‘illness’,0
12,pagesix.com,Cobie Smulders feared she’d never have kids after battling ovarian cancer,1
13,pagesix.com,Nicki Minaj and Cardi B quash their beef … for now,1
14,pagesix.com,Tiffany Haddish hopes to follow in Tyler Perry’s film footsteps,0
15,pagesix.com,‘Boy Meets World’ star William Daniels stops attempted burglary,0
16,pagesix.com,All the details on Zoë Kravitz's secret engagement ring,1
17,pagesix.com,Mohamed Hadid shows off $50K Hermès Birkin bag painted with daughter Bella’s face,0
18,pagesix.com,Meghan Markle's 'tattoo necklace' worth almost $12K,0
19,pagesix.com,Bob Saget and Kelly Rizzo tie the knot,0
20,pagesix.com,Gwyneth Paltrow’s Goop reported to UK regulators for misleading claims,0
21,pagesix.com,Hilary Duff welcomes baby girl,1
22,pagesix.com,Cardi B says her Fashion Nova collection is ‘so corporate and poppin”,1
23,pagesix.com,Rapper Young Greatness fatally shot in New Orleans,0
24,pagesix.com,Horse trails near George Soros and Martha Stewart’s homes closed after bomb scare,0
25,pagesix.com,Boston Red Sox’s World Series celebration on ‘another level’,0
26,pagesix.com,Kip Pardue accused of sexual misconduct during sex scene,0
27,pagesix.com,Club Kid Killer Michael Alig sidelined by ‘oozing’ leg injury,0
28,pagesix.com,Lena Dunham reveals she’s 6 months sober after ‘misusing benzos’,0
29,pagesix.com,‘Foodgod’ Jonathan Cheban displays ‘diva’ behavior at Halloween bash,0
30,pagesix.com,Naomi Campbell dances the night away in see-through dress,1
31,pagesix.com,Choosing to laugh as Election Day draws near,0
32,pagesix.com,Protesters descend on Louis C.K.’s latest stand-up gig,0
33,pagesix.com,Lawyers facing off in Weinstein case seated together at police lunch,0
34,pagesix.com,‘Heathers’ episodes pulled after Pittsburgh synagogue shooting,0
35,pagesix.com,Gordon Ramsay throws cash into nightclub crowd,0
36,pagesix.com,Laura Benanti stays in character after breaking prop on stage,0
37,pagesix.com,"Lives of ‘Sopranos’ actor Tony Lip, musician Don Shirley made into a movie",1
38,pagesix.com,Beyoncé settling Feyonce clothing lawsuit,0
39,pagesix.com,Recording Academy to honor Willie Nelson,0
40,pagesix.com,Ntozake Shange of ‘For Colored Girls’ fame dead at 70,0
41,pagesix.com,Actress tells court she heard Geoffrey Rush’s career is over,0
42,pagesix.com,Too $hort: ‘I don’t necessarily agree’ Eazy-E died from AIDS complications,0
43,pagesix.com,Loni Love congratulates Jeannie Mai’s ex-husband on his new baby,1
44,pagesix.com,Confusion surrounds filming of Doctor Dré music video,0
45,pagesix.com,Cardi B tells internet trolls to ‘cut’ their veins,0
46,pagesix.com,Terry Allen Kramer’s home sale is a production,0
