,source,title,is_clickbait
0,pakistantoday.com.pk,Sanjrani proposes visa-free regime in Asia,0
1,pakistantoday.com.pk,Nation’s youth lack platforms to hone their talents,0
2,pakistantoday.com.pk,Dr Sania Nishtar appointed as BISP chairperson,0
3,pakistantoday.com.pk,"Pakistan, India withdraw from Saudi-led SWAFF",0
4,pakistantoday.com.pk,Justice Qayyum refutes Mani’s assertion regarding his match-fixing report,0
5,pakistantoday.com.pk,Task Force recommendations on education to be finalised soon: Shafqat,0
6,pakistantoday.com.pk,PPP to resist any attempt for rolling back 18th Amendment: Humayun Khan,0
7,pakistantoday.com.pk,Qayyum report didn’t bar Wasim Akram: PCB,0
8,pakistantoday.com.pk,WWF report reveals staggering human impact on planet,0
9,pakistantoday.com.pk,Biometric verification to be set-up for emigrants,0
10,pakistantoday.com.pk,Karachi-Dhabeji train to be inaugurated on Oct 31: Railways minister,0
11,pakistantoday.com.pk,Sabalenka ‘sorry’ to ball boy for on-court tantrum,0
12,pakistantoday.com.pk,ECP reviews EU mission’s final report on general election 2018,0
13,pakistantoday.com.pk,"NAB files reference against Land Utilisation former secy,15 others",0
14,pakistantoday.com.pk,SC maintains life imprisonment of convicted child molester,0
15,pakistantoday.com.pk,"Nawaz, Shehbaz decide not to attend APC",0
16,pakistantoday.com.pk,UK academic on spying charge in UAE released on bail,0
17,pakistantoday.com.pk,New fire snorkel given to KMC costs double to taxpayers: report,0
18,pakistantoday.com.pk,Court gives bail to those accused of brawl with Azam Swati’s son,0
19,pakistantoday.com.pk,"PM can use executive powers to transfer IGPs, says Fawad Ch",0
20,pakistantoday.com.pk,New Zealand look to break Pakistan’s winning streak,0
21,pakistantoday.com.pk,CDA fails to initiate disciplinary action against employees having fake degrees,0
22,pakistantoday.com.pk,"Turkey to stand by Pakistan at all world forums, says envoy",0
23,pakistantoday.com.pk,100-day plan to set govt’s priorities for next five years: Aleem Khan,0
24,pakistantoday.com.pk,"Eradication of terrorism, sectarianism vital for national progress: CM",0
25,pakistantoday.com.pk,Money laundering case: CJP awaits report on information received by JIT,0
26,pakistantoday.com.pk,Israeli minister on Dubai visit calls for ‘peace’,0
27,pakistantoday.com.pk,Bangladesh court doubles jail term for opposition leader Khaleda Zia,0
28,pakistantoday.com.pk,"SC rejects Aamir Liaquat’s apology, summons him to court",0
29,pakistantoday.com.pk,Ahsan Iqbal claims ‘friends of Imran Khan club’ rules the country,0
30,pakistantoday.com.pk,Quick-thinking Naeem-ul-Haque uses Pakistan Citizen Portal to ask PM to wipe bread crumb off left cheek,0
31,pakistantoday.com.pk,Sana Mir clarifies KP ‘Male ban’ in girls sports events after talking with minister,0
