,source,title,is_clickbait
0,pressandjournal.co.uk,"Dons to receive 20,000 tickets for Betfred Cup final against Celtic",0
1,pressandjournal.co.uk,Washing powder needed for national wildlife centre,0
2,pressandjournal.co.uk,Six bizarre rescue missions carried out in the north and north-east,0
3,pressandjournal.co.uk,Police appeal after break-in at a house in Inverness,0
4,pressandjournal.co.uk,Man faces trial after ‘endangering female police officer’s life during knife rampage’,0
5,pressandjournal.co.uk,Lockerbie: Three decades on but still a tragic lack of justice,0
6,pressandjournal.co.uk,Invergordon lifeboat responds to Mayday call,0
7,pressandjournal.co.uk,North-east house prices showing green shoots of recovery,0
8,pressandjournal.co.uk,"Highland Council preparing for winter weather with 45,000 tonnes of salt stocks",0
9,pressandjournal.co.uk,Dons supporter injured by explosive ‘hurled by Rangers fans’,0
10,pressandjournal.co.uk,North-east mum faces costly legal battle to release ADHD son from Carstairs,0
11,pressandjournal.co.uk,Ross County co-boss Steven Ferguson happy to rotate Staggies’ penalty duties,0
12,pressandjournal.co.uk,Barry Wilson insists Caley Thistle cannot lose touch with Ross County at Championship summit,0
13,pressandjournal.co.uk,Celebrated author to embark upon tour of north-east schools,0
14,pressandjournal.co.uk,Tech firm invests in new bases to service demand,0
15,pressandjournal.co.uk,Kyle RNLI assist yacht in difficulty after bad weather disabled steering,0
16,pressandjournal.co.uk,Man stuck in ‘swamp’ at Aberdeen park rescued by firefighters,0
17,pressandjournal.co.uk,Riccardo Calder wants to take focus off Caley Thistle’s unbeaten run,0
18,pressandjournal.co.uk,Aberdeen-born veteran speaks of pride at Invictus Games wins,0
19,pressandjournal.co.uk,Wreaths to remember 10 Moray men who fell during same day in the First World War to be flown to France,1
20,pressandjournal.co.uk,Concerns over cuts amid rising oil price put to rest,0
21,pressandjournal.co.uk,Dog owner’s poison warning after spaniel scoffs 20 Halloween chocolate bars,1
22,pressandjournal.co.uk,BP says ‘high reliability’ behind profits boost as BHP deal nears completion,0
23,pressandjournal.co.uk,"Ruling ‘makes a mockery’ of legal rights, claims Aberdeen drilling firm",0
24,pressandjournal.co.uk,Sparkle of Moray teen who lost battle with cancer on Christmas Day will inspire festive cards,1
25,pressandjournal.co.uk,Launch of new bus service postponed amid Aberdeen bypass delays,0
