,source,title,is_clickbait
0,pulse.ng,Ogun ADP unveils Dimeji Bankole as its guber Candidate,0
1,pulse.ng,9 pictures those who just finished their NYSC will understand,1
2,pulse.ng,MTN takes Fela and The Kalakuta Queens train to the New Africa Shrine,0
3,pulse.ng,Twitter reactions to Nigeria's win over Libya,0
4,pulse.ng,Kehinde Olorunyomi welcomes second child,0
5,pulse.ng,"Teni, Odunsi, BOJ, Ajebutter22 set to storm Porkoyum Food Fest",0
6,pulse.ng,Police looking for woman who abandoned child at stranger's doorstep,0
7,pulse.ng,Akpabio hints at plot to impeach Saraki,0
8,pulse.ng,Lagos hotel bars continue to refuse single women entry,0
9,pulse.ng,"Fayemi cancels education tax, begins free education in Ekiti",0
10,pulse.ng,Meet the man behind the mysterious art appearing on British beaches,0
11,pulse.ng,2019: Buhari’s aide reacts to Atiku's emergence as PDP’s candidate,0
12,pulse.ng,"5 boys drugged and filmed 2 girls while raping them, but go scot free",0
13,pulse.ng,Dry winter skin is basically the worst—but you can avoid it,1
14,pulse.ng,Military General's disappearance leads to shady pond in Jos,0
15,pulse.ng,What Khloe Kardashian and Tristan Thompson's body language says,0
16,pulse.ng,Mercedes-benz's G550 and G63 shred on-road and off,0
17,pulse.ng,NYSC extend online registration for Batch C Prospective Corps Members,0
18,pulse.ng,What is Denzel Washington's net worth? Here's what we know,1
19,pulse.ng,Baba Sala dead at 83,0
20,pulse.ng,Show Dem Camp releases Palmwine Music Vol 2,0
21,pulse.ng,Gov. Ahmed wins PDP Kwara South Senatorial ticket,0
22,pulse.ng,"Flood: EU supports Nigeria with N400m, as FG assists victims with N3bn",0
23,pulse.ng,Naira stable at N360 to dollar at parallel market,0
24,pulse.ng,"Credit Card Fraud : Yahoo-Yahoo, Yahoo-Plus, but have you heard about Yahoo-Uber?",0
25,pulse.ng,FIBA World: D’Tigress Nigeria lose 71-40 to USA quarterfinals,0
26,pulse.ng,Kelechi Iheanacho scores penalty in Wolves 1 Leicester City 3,0
27,pulse.ng,"Plateau bloodbath, Sanwo-Olu takeover, and other stories of the week",1
28,pulse.ng,Read how Senator Adeleke got certificate for exam he didn’t sit for,1
29,pulse.ng,Police confirm one dead in attack on Tambuwal’s motorcade,0
30,pulse.ng,President Buhari meets Pastor Kumuyi in Abuja,0
31,pulse.ng,Saraki condemns killing of humanitarian worker by Boko Haram,0
32,pulse.ng,Cher just revealed the secret to her incredible butt,1
33,pulse.ng,Twitter reactions to Conor McGregor Vs Khabib Nurmagomedov,1
34,pulse.ng,7 things you need to know about Shola Ogudu's social media rants,1
35,pulse.ng,Super Eagles of Nigeria vs Libya AFCON qualifier in Tunisia,0
36,pulse.ng,5 things we learnt from Seychelles 0 Vs 3 Nigeria,1
37,pulse.ng,Linda Ikeji delivers baby boy,0
