,source,title,is_clickbait
0,screenrant.com,Ryan Hansen Returning For Veronica Mars Revival,0
1,screenrant.com,Cate Blanchett To Star In Mrs. America Limited Series At FX,0
2,screenrant.com,Original Suicide Squad Members That Need to Return For James Gunn's Sequel,1
3,screenrant.com,Halloween: 20 Strange Things About Michael’s Anatomy,1
4,screenrant.com,Legend of Zelda TV Show in Development With Adi Shankar in Talks to Produce,0
5,screenrant.com,Which Guardians of the Galaxy Cast Members Will Follow James Gunn To DC?,1
6,screenrant.com,Why Star Wars 9 Needs To Include ANOTHER Death Star,1
7,screenrant.com,Supernatural: 25 Things Only True Fans Know About The Apocalypse World,1
8,screenrant.com,Aquaman Extended TV Spot Reveals (Brief) New Footage Of Black Manta & More,0
9,screenrant.com,20 Crazy Details Behind The Making Of The MCU's Phase One,1
10,screenrant.com,Avengers 4: Thor Movies Connect Quantum Realm To The Soul Stone,1
11,screenrant.com,Exclusive: Karissa Lee Staples & Tyler Johnson to Star in Indie Thriller Stripped,0
12,screenrant.com,The Big Bang Theory Should End With Raj & Anu's Wedding,1
13,screenrant.com,David Dastmalchian Interview: Ant-Man and the Wasp Blu-ray,0
14,screenrant.com,Avatar Sequels Get A New Logo (Without Papyrus Font),0
15,screenrant.com,Lorena Villarreal & Melina Matthews Interview: Silencio,0
16,screenrant.com,Aquaman: Young Arthur Curry Flashback Scene Details Revealed,0
17,screenrant.com,Boy Erased Trailer #2 Highlights Real-World Gay Conversion Therapy,0
18,screenrant.com,Sigourney Weaver Is Already Working On Avatar 4 & 5,0
19,screenrant.com,The Eternals Could Be A Prequel To The Entire MCU,1
20,screenrant.com,Titans Actor Prefers the DC Series to Avengers: Infinity War,0
21,screenrant.com,DC's Live-Action Doom Patrol Revealed in New Photos,0
22,screenrant.com,20 Things Everyone Gets Wrong About Harley Quinn,1
23,screenrant.com,20 Mistakes Fans Completely Missed In Iron Man Movies,1
24,screenrant.com,Why The Walking Dead Is Losing Viewers (Despite Season 9 Being Better),1
25,screenrant.com,"Harry Potter: 13 Strongest Death Eaters (And 7 So Weak They're Useless), Ranked",1
26,screenrant.com,What Star-Lord Almost Looked Like In Guardians of the Galaxy,1
27,screenrant.com,20 Things About Daredevil That Make No Sense,1
28,screenrant.com,Daredevil: 20 Weirdest Details About Bullseye’s Anatomy,1
29,screenrant.com,How A Pirates of the Caribbean Reboot Can Fix The Franchise,1
30,screenrant.com,Freddy Krueger Actor Worked On Original Halloween Movie Just One Day,1
31,screenrant.com,Can You Ever Forgive Me? Review: McCarthy's Great Memoir is Not a Fake,1
32,screenrant.com,A Heathers Reboot In 2018 Was Always A Terrible Idea,0
33,screenrant.com,John Noble Interview: Silencio,0
34,screenrant.com,Fallout 76 Live-Action Trailer Is Weirdly Cheerful,1
35,screenrant.com,Star Wars: 25 Things That Make No Sense About Stormtroopers,1
36,screenrant.com,Ralph Breaks the Internet Celebrates #InternetDay With KnowsMore Clip,0
37,screenrant.com,The Haunting of Hill House: Every Episode Ranked,1
38,screenrant.com,"Michael Rooker Calls James Gunn Firing 'Terrible', Hypes Suicide Squad 2",0
39,screenrant.com,LEGO Harry Potter Collection Review: A Fun If Unambitious Remaster,1
40,screenrant.com,Call of Duty Movie May Start Filming Next Year,0
41,screenrant.com,DC Fans Recreate Distracted Boyfriend Meme With New & Old Aquaman Costumes,1
42,screenrant.com,Stallone Almost Retired Rambo After Original Fifth Movie Was Rejected,1
43,screenrant.com,What To Expect From Castlevania Season 3,1
44,screenrant.com,"Arrow Season 7: 8 Big Questions From Episode 3, ""Crossing Lines""",1
45,screenrant.com,Marvel's Runaways Actor Kip Pardue Accused Of Sexual Assault,0
46,screenrant.com,Superman Gives Batman All His Kryptonian Superpowers?,1
47,screenrant.com,The Quake Trailer: The Wave Gets An Earthquake Disaster Sequel,1
48,screenrant.com,The Flash 100th Episode Brings Back Barry Allen's Past Villains,0
49,screenrant.com,10 Pokémon Way Weaker Than Fans Thought (And 10 Even Stronger),1
50,screenrant.com,Edge Of Seventeen TV Show In Development At YouTube,0
