,source,title,is_clickbait
0,space.com,Asteroid or Comet? Weird Blue Space Rock 'Phaethon' Gets a Close-Up,0
1,space.com,NASA to Provide Update on Fate of Kepler Spacecraft Today: See It Live,0
2,space.com,A NASA Spacecraft Just Broke the Record for Closest Approach to Sun,0
3,space.com,SpaceX Fires Rocket for Commercial Crew Test Flight (Photo),0
4,space.com,NASA Will Keep Trying to Revive the Silent Mars Rover Opportunity Through January,0
5,space.com,Explore Darth Vader's Castle in These Awesome Lego Pics!,1
6,space.com,"Stratolaunch's Rocket Carrier, the Biggest Airplane Ever Built, Aces Fastest Runway Test Yet",0
7,space.com,Japan Launches UAE's KhalifaSat and Climate-Monitoring Satellite Into Orbit,0
8,space.com,Watch NASA Break a Speed Record in This Mars Parachute Test,0
9,space.com,"Weird Rectangular Iceberg in Antarctica Isn't Alone, NASA Photos Show",1
10,space.com,Hubble Space Telescope Returns to Action After Gyroscope Glitch,0
11,space.com,1 Month to Mars! NASA's InSight Lander Nearing Red Planet Touchdown,0
12,space.com,NASA Needs Help Shipping Cargo to Its Future Lunar Space Station,0
13,space.com,H2-Whoa! NASA Swamps Launch Pad with Water in Awesome Deluge Test (Video),0
14,space.com,Number of Habitable Exoplanets Found by NASA's Kepler May Not Be So High After All,0
15,space.com,How Did Inflation Happen — and Why Do We Care?,1
16,space.com,"Gravity Assist Podcast: Solar Storms, with Alex Young",0
17,space.com,Space Station-Bound Cargo Ship Named for Moonwalker John Young,0
18,space.com,Tweeting from Space? How 280 Characters Can Change Astronaut Psychology,1
19,space.com,Tiny Cubesat Snaps Photo of Mars for 1st Time Ever,1
20,space.com,Pulsar Discoverer Jocelyn Bell Burnell Talks About Her Amazing Find: Watch Live Thursday,1
21,space.com,Author Kim Stanley Robinson Talks China and Lunar Settlement in Novel 'Red Moon',0
22,space.com,Astronaut to Ride on Next Crewed Soyuz Has Confidence in Russian Space Tech,0
23,space.com,The Purported Plumes of Jupiter's Moon Europa Are Missing 'Hotspot' Engines,0
