,source,title,is_clickbait
0,standardmedia.co.ke,"Woman removes belly button, gifts boyfriend",0
1,standardmedia.co.ke,Tipper rams into house killing child,0
2,standardmedia.co.ke,Haki Africa gets observer status in continent human right issues,0
3,standardmedia.co.ke,Nurses' Union boss Panyako charged with creating disturbance,0
4,standardmedia.co.ke,Elderly illicit brew seller arrested for defiling 3-year-old girl,0
5,standardmedia.co.ke,"Reprieve for Maribe as court grants her bail, remands Irungu",0
6,standardmedia.co.ke,CEO named to oversee NOREB operations,0
7,standardmedia.co.ke,"Trump sends 5,200 troops to Mexico border as caravan advances",0
8,standardmedia.co.ke,10 things to look out for before you part with your money in investment,1
9,standardmedia.co.ke,Maribe barred from reading news during trial period,0
10,standardmedia.co.ke,Isiolo finance executive quits citing corruption fears,0
11,standardmedia.co.ke,"WHO says air pollution kills 600,000 children every year",0
12,standardmedia.co.ke,Former Al Shabaab spokesman runs for office in Somalia,0
13,standardmedia.co.ke,Breastfeeding mother's hilarious cartoon showing hubby her struggles,1
14,standardmedia.co.ke,"I urinated in front of my wife's shop to curse her, husband tells court",1
15,standardmedia.co.ke,"Kenyans were excited to land in New York, Americans were excited to land on the moon",1
16,standardmedia.co.ke,Maribe barred from reading news,0
17,standardmedia.co.ke,President Uhuru kin wins Sh122 million Karen land case,0
18,standardmedia.co.ke,KCPE candidate gives birth to a baby girl in the exam room,0
19,standardmedia.co.ke,Africa must tackle birth control 'taboo' - philanthropist Mo Ibrahim,0
20,standardmedia.co.ke,Jacque Maribe released on bail,0
21,standardmedia.co.ke,Electricity cost not the biggest challenge to small enterprises in Kenya,0
22,standardmedia.co.ke,Jacque Maribe set free,0
23,standardmedia.co.ke,Why some national account imbalances are fine but others aren't,1
24,standardmedia.co.ke,Suspect in attempted murder case rejects State security,0
25,standardmedia.co.ke,Govt should deduct tithe directly from salaries—Catholic Bishop proposes,0
26,standardmedia.co.ke,"Girl, 13, kills herself over TV remote control",0
27,standardmedia.co.ke,German nurse serial killer on trial over 100 deaths,0
28,standardmedia.co.ke,Blockchain firm Soluna to build 900MW wind farm in Morocco - CEO,0
29,standardmedia.co.ke,Popular TV personality reveals how she was rejected by employers because of her dress code,1
30,standardmedia.co.ke,Fact Checker: Yes guardians can be locked up for exam cheating,0
31,standardmedia.co.ke,Raped then jailed: Mauritanian women fight to end victim blaming,0
32,standardmedia.co.ke,"Khashoggi fiance hits at Trump response, warns of 'money' influence",0
33,standardmedia.co.ke,"Woman blows herself up in Tunis, wounding 15 people including 10 police officers",1
34,standardmedia.co.ke,Epilepsy awareness: Is it a mental disorder?,1
35,standardmedia.co.ke,"Djibouti Telecom, Somtel partner in laying cable linking E.African coastline",0
36,standardmedia.co.ke,TSC warns private schools over double registration as KCPE commences,0
37,standardmedia.co.ke,Legislators meet in Naivasha to seek ways of reaping maximum benefits from Kenyatta's reign,0
38,standardmedia.co.ke,Attractiveness: Kenya losing new foreign investors to Ethiopia,0
39,standardmedia.co.ke,High security as KCPE exams begin,0
40,standardmedia.co.ke,13-year-old girl commits suicide following fight over TV remote control,0
41,standardmedia.co.ke,"Indonesia hunts for victims, wreckage of air crash; survivors seen unlikely",0
42,standardmedia.co.ke,Popular TV personality reveals how she has rejected by employers because of her dress code,1
