,source,title,is_clickbait
0,thecannabist.co,"Marijuana dispensary comes to NYC’s Fifth Avenue, just in time for 4/20",0
1,thecannabist.co,Terrapin Care Station offers discounted weed for registered voters,0
2,thecannabist.co,Synthetic cannabinoids are not “synthetic marijuana”: What you need to know about Spice and K2,1
3,thecannabist.co,Police suspect FSU QB Deondre Francois of selling marijuana out of his apartment. He wasn’t.,0
4,thecannabist.co,Police raid eight Sweet Leaf Marijuana Center locations in Denver and Aurora,0
5,thecannabist.co,"Live coverage from 4/20 in Colorado, from the block to the Capitol",0
6,thecannabist.co,"PHOTOS: Lil Wayne, Lil Jon headline Mile High 420 Fest",0
7,thecannabist.co,13 Sweet Leaf budtenders swept up in Denver police raids,0
8,thecannabist.co,"Cannabis firms Canopy Growth, Organa and Green House team up on a joint venture in Canada",0
9,thecannabist.co,New Belgium’s new hemp beer is on tap now. Except in Kansas. Here’s why.,1
10,thecannabist.co,Job applicants failing drug tests for marijuana and other drugs at highest rate in 12 years,0
11,thecannabist.co,“A significant event”: CBD-based pharma drug Epidiolex presented to FDA for approval,0
12,thecannabist.co,Which city consumes the most marijuana in the world?,1
13,thecannabist.co,Canada’s marijuana stocks so hot it’s difficult to bet against them,0
14,thecannabist.co,This Colorado dispensary has a 270-degree viewing window into its grow,1
15,thecannabist.co,Here’s how much marijuana you’d need to be eligible for the death penalty under federal law,1
16,thecannabist.co,Munchies guide: 7 places with 4/20 restaurant deals in the Mile High City,0
17,thecannabist.co,Airport “amnesty boxes” for weed? Denver International Airport doesn’t see the need,0
18,thecannabist.co,“I’m a healer now”: Former football star Ricky Williams launches his own cannabis brand,0
19,thecannabist.co,"Google and Facebook won’t advertise marijuana, even where it’s legal",0
20,thecannabist.co,"$750,000 illegal marijuana grow bust: more than 110 pounds seized, 2 arrested in Colorado",0
21,thecannabist.co,Trump is backing off the marijuana fight. Jeff Sessions has not.,1
22,thecannabist.co,"National drug ring disguised as medical marijuana grow traded in cryptocurrency, feds say",0
23,thecannabist.co,CBD could be in the fast lane to Colorado pharmacies,0
24,thecannabist.co,"Amendment to allow Colorado schools to administer medical marijuana passes House, heads to Senate",0
25,thecannabist.co,"American Legion poll: Veterans overwhelmingly support medical cannabis research, legalization",0
26,thecannabist.co,Forbidden medicine: Caught between a doctor’s CBD advice and federal laws,0
27,thecannabist.co,Public support for medical and recreational marijuana legalization hits all-time high,0
28,thecannabist.co,Federal appeals court hears hemp industry lawsuit challenging DEA’s position on CBD,0
29,thecannabist.co,Patient-focused report graded medical marijuana programs. No states received an A.,0
30,thecannabist.co,From horses to hemp: Colorado rancher eyes second calling,0
31,thecannabist.co,"Pennsylvania medical marijuana program to allow sale of flower, expand list of qualifying conditions",0
32,thecannabist.co,These 5 California high school stoners claim to have invented 4/20,1
33,thecannabist.co,Wholesale cannabis prices tumbled in 2017 — and they have yet to hit rock bottom,0
34,thecannabist.co,Study: Legalizing marijuana nationally could generate more than $132 billion in tax revenue and 1 million jobs,0
35,thecannabist.co,"Op-ed: DEA position statement on CBD, hemp and Farm Bill “reckless and illegal”",0
36,thecannabist.co,New federal bill would allow banking for marijuana businesses,0
37,thecannabist.co,"No, Colorado McDonald’s are not converting PlayPlaces into marijuana lounges",0
38,thecannabist.co,Federal marijuana bills boosted by new supporters as Congress gets back to work,0
39,thecannabist.co,Buyers beware: California cannabis sold Jan. 1 could be tainted,0
40,thecannabist.co,Maine House passes new compromise on legal marijuana sales,0
41,thecannabist.co,Denver cannabiz-focused credit union gets OK from Federal Reserve — with conditions,0
42,thecannabist.co,Poll finds 87% of millennials believe marijuana is safer than alcohol,0
43,thecannabist.co,"Seattle clears marijuana convictions, following San Francisco lead",0
44,thecannabist.co,Price of marijuana has collapsed in legal era,0
45,thecannabist.co,PHOTOS: Denver celebrates 4/20,0
46,thecannabist.co,Idaho Senate vacates vote that killed CBD legalization bill for open meeting law violation,0
47,thecannabist.co,Sessions rescinds Cole Memo that kept feds out of legal marijuana states,0
48,thecannabist.co,"Americans strongly oppose enforcement of federal marijuana laws, few approve of Jeff Sessions: new Quinnipiac poll",0
49,thecannabist.co,Cannabis-infused beer is coming to Colorado,0
50,thecannabist.co,Hemp Farming Act of 2018 introduced by Sen. Mitch McConnell,0
51,thecannabist.co,Pass the hemp: Colorado prepares to regulate the plant like any other food ingredient,1
52,thecannabist.co,Colorado cannabis company to expand in Florida county despite marijuana moratorium,0
53,thecannabist.co,How to make cannabis oil for homemade weed edibles: Cooking tips and tricks,1
54,thecannabist.co,Aspen to get two new marijuana shops competing in Durant Mall,0
55,thecannabist.co,Nevada marijuana industry experts share tips on edibles consumption,0
56,thecannabist.co,"FDA sends warning letters to CBD companies, including Colorado’s CW Hemp",0
