,source,title,is_clickbait
0,theguardian.com,'Whitey' Bulger: Boston mob kingpin found dead in prison aged 89,0
1,theguardian.com,"New iPad Pro launched with all-screen design, Face ID and USB-C",0
2,theguardian.com,Martin Amis on London Fields: 'I never thought it would be a popular film',1
3,theguardian.com,Stephen Colbert on Pittsburgh shooting: 'Hate is not what America stands for',0
4,theguardian.com,"Orson Welles' jungle book, Bilbo on mushrooms: the great unmade movies",1
5,theguardian.com,Apple iPad and Mac event: all the announcements – live,0
6,theguardian.com,US midterms: campaigning intensifies with a week to go – live,0
7,theguardian.com,Eurozone growth slumps to lowest level in over four years,0
8,theguardian.com,Georgians shrug at voter suppression as Republican voters keep a low profile,0
9,theguardian.com,Amazon UK launches 'try before you buy' fashion service,0
10,theguardian.com,Uber challenges ruling on drivers' rights at court of appeal,0
11,theguardian.com,Apple launches new MacBook Air with retina display,0
12,theguardian.com,Trump suggests he will end birthright citizenship with executive order,0
13,theguardian.com,Pittsburgh residents and city leaders divided over imminent Trump visit,0
14,theguardian.com,Cardi B reveals death threats to daughter amid feud with Nicki Minaj,0
15,theguardian.com,'We were sad of getting old': how pop stars are growing up gracefully,1
16,theguardian.com,"NFL increases London series to four games in 2019, with Spurs hosting two",0
17,theguardian.com,Simone Biles overcomes kidney stone to lead USA to world gymnastics team gold,0
18,theguardian.com,"Chelsea coach Marco Ianni fined £6,000 over José Mourinho fracas",0
19,theguardian.com,Tote and Britbet sign 11th hour landmark £50m pool-betting deal,0
20,theguardian.com,How does Athletic Bilbao's academy manage to produce 85% of their team?,1
21,theguardian.com,Bentley becomes latest carmaker to warn of no-deal Brexit damage,0
22,theguardian.com,Mike Brown dropped by Eddie Jones for England Test against South Africa,0
23,theguardian.com,Dele Alli signs new six-year Tottenham contract to extend stay to 2024,0
24,theguardian.com,The most desirable and lucrative of all sport’s poisoned chalices,1
25,theguardian.com,Fears for hundreds of jobs as Sports Direct buys up Evans Cycles,0
26,theguardian.com,England bowlers toil as Sri Lanka Board XI make most of flat pitch,0
27,theguardian.com,Wales and Scotland plan to ‘donate directly’ to Doddie Weir charity,0
28,theguardian.com,Vatican denies Spain's claims of deal over Franco's reburial,0
29,theguardian.com,Student loans firm accused of ‘KGB tactics’ for assessing eligibility,0
30,theguardian.com,CPS criticised as charges dropped over death of man in UK detention camp,0
31,theguardian.com,Quitting cannabis could lead to better memory and cognition,0
32,theguardian.com,Crippling bank loans to local councils judged illegitimate by critics,0
33,theguardian.com,Massive Attack to embark on Mezzanine tour with Cocteau Twins' Liz Fraser,0
34,theguardian.com,Wellcome Sanger director apologises for management failings,0
35,theguardian.com,"Salford mayor Paul Dennett: ‘We’ve lost around 13,000 council homes’",0
36,theguardian.com,Emil Gayed: inquiry into disgraced gynaecologist extended for a second time,0
37,theguardian.com,Belgium faces winter blackouts amid nuclear reactor shutdowns,0
38,theguardian.com,Show us your baking disaster photos,1
39,theguardian.com,Grenfell council chief sorry for not acting on concerns about toxins,0
40,theguardian.com,Swim England in deep water over women's swimwear advice,0
41,theguardian.com,'I want my art to matter. I want it to be of use': John Luther Adams,1
42,theguardian.com,First humans to reach Australia likely island-hopped to New Guinea then walked – study,0
43,theguardian.com,No 10 defends decision to delay reduction in FOBT maximum stake,0
44,theguardian.com,Jonny Bairstow is one bad series away from being under serious scrutiny,0
45,theguardian.com,Mighty Shadow obituary,0
46,theguardian.com,Tory peer declines to give public evidence to MPs over Russian firm,0
47,theguardian.com,High caseloads risk driving away social workers,0
