,source,title,is_clickbait
0,thehollywoodgossip.com,"Kylie Jenner Just Gave Her Mom a $250,000 Car",1
1,thehollywoodgossip.com,Kylie Jenner: Why She No Longer Wants to Marry Travis Scott,1
2,thehollywoodgossip.com,Justin Bieber: I'm Working Less to Spend Time With My Wife!,1
3,thehollywoodgossip.com,"Jenni Farley & Roger Mathews: We Are Never, Ever, Ever Getting Back Together",1
4,thehollywoodgossip.com,Meri Brown: Inside Her Shocking Split from the Sister Wives,1
5,thehollywoodgossip.com,The Real Housewives of Orange County Recap: Did Shannon Beador Apologize?,1
6,thehollywoodgossip.com,"Thomas Ravenel is a Good Person, Landon Clements Somehow Alleges",0
7,thehollywoodgossip.com,Kim Kardashian: Kanye Is Forcing Me to Have More Kids!,1
8,thehollywoodgossip.com,Keeping Up with the Kardashians Rekap: A True Story,1
9,thehollywoodgossip.com,Lisa Vanderpump: Will She Be FIRED for Avoiding the Other Housewives?,1
10,thehollywoodgossip.com,"Joy-Anna Duggar Turns 21, Celebrates In True Duggar Fashion!",1
11,thehollywoodgossip.com,Dancing with the Stars Recap: Which Couples Got Perfect Scores?,1
12,thehollywoodgossip.com,"Shaun White Apologizes for ""Insensitive"" Halloween Costume",1
13,thehollywoodgossip.com,"The Voice Recap: Welcome, Mariah Carey!",0
14,thehollywoodgossip.com,Johnny Depp: Amber Heard Beat Herself Up and Blamed It on Me!,0
15,thehollywoodgossip.com,Nicki Minaj: My Best Friend Whupped Cardi B's Ass!,1
16,thehollywoodgossip.com,Khloe Kardashian: Reliving Tristan Cheating is Beyond Painful!,1
17,thehollywoodgossip.com,90 Day Fiance Recap: This Place Sucks!,1
18,thehollywoodgossip.com,Jon Bon Jovi Taunts Kim Kardashian: You Give Love (Making) a Bad Name!,1
19,thehollywoodgossip.com,Woman Undergoes 200 Surgeries to Resemble Cartoon Character,0
20,thehollywoodgossip.com,Dancing with the Stars' Halloween Elimination,1
21,thehollywoodgossip.com,Ronnie Magro: Jen Harley Beat Me With a PHONE!,0
22,thehollywoodgossip.com,Travis Scott Speaks at Beto O'Rourke Rally: Watch!,0
23,thehollywoodgossip.com,Teresa Giudice Finally Responds: Will She Divorce Joey G?,1
24,thehollywoodgossip.com,Meghan Markle Baby Name: What Should She Pick?!,1
25,thehollywoodgossip.com,"Ryan Edwards, Still in Rehab, Misses Bentley's 10th Birthday",0
26,thehollywoodgossip.com,Farrah Abraham: Did She Really Get Ab Implants?!,1
27,thehollywoodgossip.com,Kylie Jenner Shares Throwback Pics Where She's Totally Twinning With Stormi,1
28,thehollywoodgossip.com,Khloe Kardashian Drops Hints That She Dumped Tristan Thompson,1
29,thehollywoodgossip.com,"Today Show Starts ""New Chapter,"" Kicks Megyn Kelly to the Curb",0
30,thehollywoodgossip.com,Demi Lovato Celebrates 90 Days of Sobriety!,0
31,thehollywoodgossip.com,Jill Duggar: PROOF She and Her Family are Broke?!,1
32,thehollywoodgossip.com,"Luis Mendez Fires Back at Ex Molly Hopkins: She Used Me, Too!!",0
33,thehollywoodgossip.com,Amy Roloff and Chris Marek Flaunt Pumpkin Patch PDA in New Pics!,1
34,thehollywoodgossip.com,Anfisa and Jorge Nava: We Quit 90 Day Fiance!,1
35,thehollywoodgossip.com,"David Eason: Forget About the Jenelle Evans Assault, Look How Trashy I Am!",1
36,thehollywoodgossip.com,Amy Roloff: This is What I've Learned from My Divorce,1
37,thehollywoodgossip.com,Blac Chyna's Mom BEGS Rob Kardashian to Let Her See Dream,1
38,thehollywoodgossip.com,Molly Hopkins: Luis Getting Remarried is Proof He Was USING ME!,1
39,thehollywoodgossip.com,The Walking Dead Recap: Did Maggie Kill Negan?,0
40,thehollywoodgossip.com,"Ariana Grande to Pete Davidson: Leave Me Alone, Creep!",0
41,thehollywoodgossip.com,Kylie Jenner Faces a Crisis in This Keeping Up with the Kardashians Clip,1
42,thehollywoodgossip.com,Casey Anthony Has Somehow Found a Boyfriend,0
43,thehollywoodgossip.com,Kim Kardashian to Kanye West: Ditch Donald Trump or We're Through!,1
44,thehollywoodgossip.com,Caitlyn Jenner to Trump: Okay You Do Suck After All!,1
45,thehollywoodgossip.com,Khloe Kardashian: I Feel Like Tristan Abandoned Me!,1
46,thehollywoodgossip.com,Farrah Abraham: I'm Being a Bad Mom for Halloween!,1
47,thehollywoodgossip.com,Amber Rose: Mom-Shamed for Making Out With Son,1
48,thehollywoodgossip.com,Khloe Kardashian: FINALLY Ready to Dump Tristan Thompson?!,0
49,thehollywoodgossip.com,Love & Hip Hop: Atlanta Adds First Gay Male Couple,1
50,thehollywoodgossip.com,Jen Harley and Ronnie Magro Seriously Can't Quit Each Other,1
51,thehollywoodgossip.com,Megyn Kelly Walks Back Idiotic Defense of Blackface,0
52,thehollywoodgossip.com,Tyga Jealous of Travis Scott & Kylie Jenner: That Should Be ME!,1
53,thehollywoodgossip.com,John Miller: Who is This Dude Dating Jennifer Garner?!?,1
54,thehollywoodgossip.com,"Megyn Kelly: Out at NBC, Being Replaced by Kelly Clarkson?",0
55,thehollywoodgossip.com,Justin Bieber: Selena Gomez Had Her Breakdown Because She Still Loves Me!,1
56,thehollywoodgossip.com,"Jenelle Evans: Seriously, David Eason Never Abused Me!",1
57,thehollywoodgossip.com,Tristan Thompson vs. Khloe Kardashian: Ugly Custody Battle on Tap?,0
58,thehollywoodgossip.com,Married At First Sight Reunion: Who’s Expecting? Who’s Divorced?,1
59,thehollywoodgossip.com,Leah Messer: My Dad Ruined Men For Me!,1
60,thehollywoodgossip.com,Kris Jenner to Kanye West: STFU About the Trump Stuff!,1
61,thehollywoodgossip.com,Kim Kardashian: Blac Chyna Is STILL Trying to Destroy Me!,1
62,thehollywoodgossip.com,Megyn Kelly: Fired From NBC Following Blackface Comments?,0
63,thehollywoodgossip.com,Tamra Judge: I Do NOT Feel Sorry for Shannon Beador! She Can Take Several Seats!,0
64,thehollywoodgossip.com,Teresa Giudice REFUSES to Let Bravo Film Joe's Deportation Appeal,0
65,thehollywoodgossip.com,"Tyler Baltierra: I'm Not Leaving Catelynn Lowell, You Psychos!",1
66,thehollywoodgossip.com,Megyn Kelly Gets Roasted by NBC Colleagues for Racist Comments,0
67,thehollywoodgossip.com,Casey Anthony: Father Pleads With Her Not to Have Another Child,1
68,thehollywoodgossip.com,"Josh Duggar: SLAMMED For Filing ""Ridiculous"" Lawsuit",0
69,thehollywoodgossip.com,Amy Duggar Shades Family Members for Having Kids Too Soon,1
70,thehollywoodgossip.com,"Farrah Abraham: Happy Halloween, Here are My Boobs!",1
71,thehollywoodgossip.com,"Meghan Markle is a Huge LIAR, Alleges You-Know-Who",1
72,thehollywoodgossip.com,"James Karen, Actor You Know From Everything, Dies at 94",1
73,thehollywoodgossip.com,Lisa Vanderpump: The Other Real Housewives Are BULLYING Me!!,1
74,thehollywoodgossip.com,Ronnie Magro: Attacked By Jen Harley AGAIN?!,0
75,thehollywoodgossip.com,Jersey Shore Recap: The Wrath of Jen Harley,0
76,thehollywoodgossip.com,Kim Kardashian: Slammed For Posing Nude With Daughter on Instagram,1
77,thehollywoodgossip.com,Jennifer Lopez and Alex Rodriguez: Engaged?!,0
78,thehollywoodgossip.com,Vicki Gunvalson Slams Castmates: You Losers Are Obsessed With Shannon Beador!,1
79,thehollywoodgossip.com,American Horror Story Recap: The Traitor,1
80,thehollywoodgossip.com,The Voice Recap: Who Won The Final Battle?,1
81,thehollywoodgossip.com,Sarah Drew Had a Problem with Her Grey's Anatomy Exit,1
82,thehollywoodgossip.com,Grey's Anatomy Recap: Who Returned?,1
83,thehollywoodgossip.com,"Jenelle Evans Releases Video Statement, Denies Being Abused",0
84,thehollywoodgossip.com,Jennifer Garner: New Boyfriend's Abusive Past Revealed?,0
85,thehollywoodgossip.com,Mike Sorrentino to Begin Prison Sentence In January,0
86,thehollywoodgossip.com,Kim and Chicago,0
87,thehollywoodgossip.com,Drunk White JetBlue Passenger Calls Out for NAACP While Being Subdued,0
88,thehollywoodgossip.com,Sunny Johnston: Levi's Wife BLASTS Bristol Palin Over Teen Mom OG Comments!,0
89,thehollywoodgossip.com,Khloe Kardashian Looks Radiant,1
90,thehollywoodgossip.com,"Jordan Kimball: I Don't Need Jenna! I Got 4,000 Matches on Tinder & Can Bang Whoever I Want!",1
91,thehollywoodgossip.com,Khloe Kardashian: Following Cleveland Cavs ON THE ROAD to Keep Tristan From Cheating!,0
92,thehollywoodgossip.com,Megyn Kelly: Maybe I'll Go Back to FOX Where I Was Appreciated!,0
93,thehollywoodgossip.com,Sofia Richie: I Wish Kourtney Kardashian Would Just Go Away!,1
94,thehollywoodgossip.com,"Taylor Swift Sends New Message About Voting, Prepares to Be Reamed by Republicans",0
95,thehollywoodgossip.com,Tori Roloff: Is This PROOF She Really is Pregnant Again?,1
96,thehollywoodgossip.com,Shauna Sexton's Mom SLAMS Ben Affleck: He's So Old and Drunk!,1
97,thehollywoodgossip.com,Meghan Markle's Terrible Family Has THIS to Say About Her Pregnancy,1
98,thehollywoodgossip.com,Ariana Grande and Pete Davidson: The REAL Reason They Broke Up Revealed!!,1
99,thehollywoodgossip.com,Kourtney Kardashian: Scott Disick Is Hot Again & I Want Him Back,1
