,source,title,is_clickbait
0,theroot.com,Black Navy Sailor Attempting to Help 'Stranded Motorist' Shot and Killed,0
1,theroot.com,"Andrew Gillum Is Winning by Being His Natural, Black Self",1
2,theroot.com,Undefeated Youth Football Team Believes They've Been Banned From the Playoffs Because of Race,1
3,theroot.com,"Many Afro-Brazilians Are Bracing for the Worst After the Election of a Far-Right, Racist Candidate for President",0
4,theroot.com,Hair Salon Owner Claims She Didn't Know Blackface Was a 'Thing' After Employee Gets Caught in Racist Michael Jackson Costume,1
5,theroot.com,Blackface is a Choice: Friends Praise SC Bank Executive For MAGA Kanye Costume,0
6,theroot.com,Progressive Jewish Leaders to Trump: You're Not Welcome in Pittsburgh,0
7,theroot.com,"Sarah 'Suckabee' Sanders Continues Defense of Hatemonger, the President of Whitekanda",0
8,theroot.com,"Why They Kneel: Boston, Buffalo and That Pesky N-Word",1
9,theroot.com,Painting Black Men To be Seen and Respected as Powerful Figures in the Art World,0
10,theroot.com,Trump Has Figured Out What’s Triggering Violence in America. Hint: It’s Not Him,1
11,theroot.com,Kentucky Kroger Shooting Being Investigated as a Hate Crime,0
12,theroot.com,Kanye West's Pro-Republican 'Blexit' T-Shirts Call for Black Exodus From Democratic Party,0
13,theroot.com,Pregnant Airline Worker Who Asked to be Reassigned to Avoid Fumes Was Suspended Instead—and Ended Up Homeless,1
14,theroot.com,Maybe We Actually Need Troops at the Border ... of Florida,1
15,theroot.com,It’s Time to Listen to Black Women. We’ve Been Talking About Police Sexual Violence for a Long Time,1
16,theroot.com,What Did You Think Would Happen?,1
17,theroot.com,Telling Untold Stories: Playwright and Performer Dael Orlandersmith Gets Beneath Our Skin,0
18,theroot.com,White Nationalist Who Threatened Stacey Abrams' Campaign Poses for Picture with Brian Kemp,0
19,theroot.com,Brian Kemp Caught on Tape Warning His Donors About Black People Voting ... Again,1
20,theroot.com,The Wildly Unregulated Practice of Undercover Cops Friending People on Facebook,1
21,theroot.com,Multiple Deaths Reported in Mass Shooting at Pittsburgh Synagogue; Trump Blames Lack of Guns,0
22,theroot.com,It’s Official: Trump Comes Out of the Closet Wearing a White Hood,1
23,theroot.com,Trump Rants Like Racist Grandpa in Speech to MAGA Negroes,1
24,theroot.com,"55 Years Ago, Someone Blamed a Bombing on a Racist Politician",0
25,theroot.com,Black Voters in Georgia Say Something Funny Is Going on With Their Voting Machines,0
26,theroot.com,"‘Whites Don’t Shoot Whites,’ Said Alleged Kroger Shooter Who Killed 2 Black People",0
27,theroot.com,Finally! Black Poll Worker Calls Cops on Suspicious Caucasians for #LurkingWhileWhite,0
28,theroot.com,Texas Voting Machines Are Reportedly Switching Votes for Beto O'Rourke to Ted Cruz,0
29,theroot.com,It's Complicated: Why Some Afro-Brazilians Are Willing to Vote for a Racist Presidential Candidate Who's Calling for More Police Violence,1
30,theroot.com,5 Men Accused of Stealing Homeless Amputee's Fortune,0
31,theroot.com,Golden State Warriors Deliver Perfect Response to Josh Duhamel’s Call for Draymond Green to Apologize to Fergie,0
32,theroot.com,Suspicious Packages Addressed to Sen. Cory Booker and Former Director of National Intelligence James Clapper Intercepted by FBI,0
33,theroot.com,The Devil’s Mouthpiece Claims Trump Isn’t Responsible for Suspicious Packages Sent to Democrats,0
34,theroot.com,Trump Is Sending 800 Troops to Stop the Migrant Caravan and It Has Nothing to Do With the Midterms,1
35,theroot.com,Iowa Teacher Under Investigation For Wearing Blackface to Halloween Party,0
36,theroot.com,Wannabe Cop Who Shot and Killed a Black Man Says He's Sorry But He Shouldn't Have Been Sent to Prison,0
37,theroot.com,President Trump Was on Late-Night Twitter Trolling CNN,1
38,theroot.com,How Will the New FICO Scoring System Affect Blacks and People With Lower Incomes?,1
39,theroot.com,Newt Gingrich: If Democrats Want to See Trump's Tax Returns Then We'll See If the Kavanaugh Fight Was Worth It,1
40,theroot.com,"Tomi Lahren Can’t Fill a Room, The Root Hates Black Men, and Other Things I Learned at Politicon 2018",1
41,theroot.com,Auntie Maxine Ain’t Scared of No Damn Pipe Bomb,0
42,theroot.com,Ben Jealous Wants to Trump Hate in Maryland,0
43,theroot.com,Ethiopia Just Made History by Electing Its 1st Female President,1
44,theroot.com,"White Man Verbally Assaults Older Black Woman on Flight, Calls Her an ‘Ugly Black Bastard,’ Airline Does Nothing",1
45,theroot.com,Video: Librarian Calls Cops on Student For Brazen Attempt at #StudyingWhileBlack,0
46,theroot.com,Undeniable Proof America Is Still Racist AF,1
47,theroot.com,Andrew Gillum Under Fire for Getting the Hook-up on Hamilton Tickets,0
48,theroot.com,The Root's Clapback Mailbag: A Mood,0
49,theroot.com,Trump Administration Seeks to Erase the Lives of 1.4 Million Trans Americans Through a Narrow Definition of Gender,1
50,theroot.com,Eric Reid vs. Malcolm Jenkins Is What Happens When Black Lives Matters Confronts All Lives Matter,1
51,theroot.com,Random-Ass White Woman Rolls Up on Spanish Speaking Family and Demands to See Their Passports,0
52,theroot.com,Abrams’ Flag-Burning Incident: That’s What They Force You to Do as a Black Person in the South,1
53,theroot.com,Black College Students In Florida Use Early Voting To Make Sure Their Voices Will Be Taken Seriously,0
54,theroot.com,VA Official Allegedly Displayed Portrait of KKK Grand Wizard for Years,0
55,theroot.com,Russia and China Are Spying on Trump Because He Refuses to Use Secure iPhones,0
56,theroot.com,It’s Complicated When It Comes To The Cancellation of Luke Cage,1
57,theroot.com,"Pipe Bombs Found at the Homes of Hilary Clinton, Obama and Billionaire George Soros",0
58,theroot.com,Get in the Spirit With These 13 Black Horror Films This Halloween,1
59,theroot.com,These Attempted Bombings Show How Dangerous Trump’s Rhetoric Really Is,1
60,theroot.com,I Just Got 5 Pounds of Candy Corn in the Mail from Amazon Because Candy Corn Is Delicious,1
61,theroot.com,Georgia College Students Circulate Petition to Have Clarence Thomas’ Name Removed From Building,0
