,source,title,is_clickbait
0,townhall.com,North Carolina amendments could cement GOP agenda in place,0
1,townhall.com,"Winfrey, Witherspoon among guests on Michelle Obama tour",0
2,townhall.com,African leaders meet in Germany at development summit,0
3,townhall.com,"Man accused of stabbing, decapitating woman pleads guilty",0
4,townhall.com,Pakistan set to rule on woman facing death for blasphemy,0
5,townhall.com,War On Women: MN Democratic Chair Says He Doesn't Believe Ellison Accuser's Domestic Abuse Allegations,0
6,townhall.com,Trump to visit a Pittsburgh scarred by violence at synagogue,0
7,townhall.com,"Cringeworthy: Failed 2016 Candidate Says All Black Men Look Alike, Or Something",1
8,townhall.com,"Kyrsten Sinema: Be Careful, Arizonans Might Actually Shoot You",1
9,townhall.com,Jury struggling in murder trial of ex-Michigan trooper,0
10,townhall.com,Rampage victims' funerals begin as Trump heads to Pittsburgh,0
11,townhall.com,Concerns growing over rejections of vote-by-mail ballots,0
12,townhall.com,Tiffany Haddish tests her hot streak with 'Nobody's Fool',1
13,townhall.com,Progress? Gridlock? How midterm vote could affect US economy,0
14,townhall.com,"3 siblings struck, killed by truck at bus stop in Indiana",0
15,townhall.com,Man called 'mastermind' of prison riot severed from trial,0
16,townhall.com,Review: Hunter S. Thompson bio tackles late reporter's drive,0
17,townhall.com,The Latest: Governor and Pittsburgh mayor won't join Trump,0
18,townhall.com,A look at the 14th Amendment's Citizenship Clause,0
19,townhall.com,"“Racist"" And The “End of Democracy”? How Media Got Brazil’s Election Completely Wrong",1
20,townhall.com,"Pistol Annies tackle divorce, complicated women with humor",0
21,townhall.com,Beatles release new video for 'Glass Onion' on Apple Music,0
22,townhall.com,"Graham Goes Off: Fiery Campaign Speech Blasts Democrats Over Kavanaugh, Urges Voters to Punish Senate Democrats",0
23,townhall.com,Bredesen: Migrant Caravan Provides US Opportunity to Act Like 'Grown-ups',0
24,townhall.com,Sen. Graham Says He Plans to Introduce Legislation to End Birthright Citizenship,0
25,townhall.com,Thousands of Syrians stuck in the desert risk starvation,0
26,townhall.com,Florida invests $3.5M to finish Everglades highway project,0
27,townhall.com,Trump: End birthright citizenship for some US-born babies,0
28,townhall.com,White deer have unusual home in upstate NY _ old Army depot,0
29,townhall.com,Marianne Faithfull digs deep on 'Negative Capability',0
30,townhall.com,"Holocaust survivor faces evil, cheats death for second time",0
31,townhall.com,"Helped by solid earnings, US stock indexes turn higher again",0
32,townhall.com,The Latest: Pence discusses changing birthright citizenship,0
33,townhall.com,"US sending 5,200 troops to border, double Syria deployment",0
34,townhall.com,Steven Yeun takes a leap into Korean cinema with 'Burning',0
35,townhall.com,'Rage' against elite: Centrist leaders losing Europe's favor,0
36,townhall.com,Kavanaugh Came Between The Left And Its Envy For Power,0
37,townhall.com,Trump Puts Gold Standard On The Table,0
38,townhall.com,What Didn’t Drive Global Returns Last Quarter? Currency Risk,0
39,townhall.com,"Merkel's Legacy: Refugee Crisis, The Splintering Of Germany, Brexit",0
40,townhall.com,Ava DuVernay to make Prince documentary for Netflix,0
41,townhall.com,"Halloween can be deadly for pedestrians, traffic study says",0
42,townhall.com,Former Merkel rival joins race to head German leader's party,0
43,townhall.com,Guitarist Jimmy Page looks back at 50 years of Led Zeppelin,0
44,townhall.com,Turkey's Erdogan threatens new push against Syrian Kurds,0
45,townhall.com,US home price gains weaken for 5th straight month,0
46,townhall.com,"Claire McCaskill's swipe at Sanders, Warren ignore fact she accepted their PAC money, fundraising efforts",0
47,townhall.com,Government Gambling vs. Poor People,1
48,townhall.com,Australia's ex-PM warns Jerusalem move would worry Indonesia,0
49,townhall.com,Correction: Kentucky-6th District-Fundraising story,0
50,townhall.com,Bill Nelson Compares U.S. Climate to Rwandan Genocide,0
51,townhall.com,"Whitey Bulger, Boston gangster, found dead in prison at 89",0
52,townhall.com,Taliban: 5 freed from US military prison now in Qatar office,0
53,townhall.com,Trump pushes end to birthright citizenship as U.S. elections loom,0
54,townhall.com,"Steyer likens Trump to ‘worst tyrants on earth,’ in ad condemned by RNC",0
55,townhall.com,Walmart expands speedier checkout service,0
56,townhall.com,"Merkley eyes White House, visits early primary states",0
57,townhall.com,"In tight race, Ohio governor rivals hedging bets on Trump",0
58,townhall.com,Rabbi Forced to Defend His Invitation to Trump,0
59,townhall.com,"Gum, seltzer water, pizza bagels want to be called 'healthy'",1
60,townhall.com,US consumer spirits rise to new 18-year high in October,0
