,source,title,is_clickbait
0,vanityfair.com,“No One Is in Charge”: Inside Trump’s New Fox Takeover,0
1,vanityfair.com,Abbi Jacobson on Why Now Is the Time to Be Vulnerable,1
2,vanityfair.com,Of Course Trump and His Adult Kids Hawked Get-Rich-Quick Schemes to Poor People,1
3,vanityfair.com,Gab’s Demise Is Just the Beginning of a Horrific New Era of Far-Right Extremism,1
4,vanityfair.com,"The Lost Promise, and Puzzling Legacy, of River Phoenix",0
5,vanityfair.com,Can MTV Use Peer Pressure to Get the Under-30 Crowd to Vote?,0
6,vanityfair.com,Colbert Slams Trump for Retweeting Lie that CBS Scrubbed His Late Show Episode,1
7,vanityfair.com,Why Kate Middleton Remains a “Global Fashion Phenomenon”,1
8,vanityfair.com,Will Angela Merkel’s Exit Begin the Bannonization of Europe?,0
9,vanityfair.com,Welcome to the Golden Era of Kate Middleton,1
10,vanityfair.com,The Myth of Megyn Kelly,1
11,vanityfair.com,Trump’s Post-Facebook Tech Strategy Could Seal His Fate in 2020,0
12,vanityfair.com,Report: Trump Clocks in About Three Hours of Work on a Good Day,0
13,vanityfair.com,"Inside the Tree of Life Congregation, the Prayer for the Dead Brings Hope",0
14,vanityfair.com,How Much Can We Blame Kanye West for the Terrible Blexit Logo?,1
15,vanityfair.com,Fox’s Rent May Have Finally Cracked the Perfect Live Musical Formula,1
16,vanityfair.com,What It’s Really Like Behind the Scenes of a Royal Tour,1
17,vanityfair.com,Colbert on Pittsburgh Synagogue Shooting: “Hate Is Not What America Stands For”,0
18,vanityfair.com,Louis C.K.’s Comedy Cellar Set Draws Protesters,0
19,vanityfair.com,How the Fake Saudi Prince Anthony Gignac Was Exposed,1
20,vanityfair.com,Matt Drudge and Fox News Had a Very Public Falling-Out on Twitter,1
21,vanityfair.com,Memoirist Casey Gerald Takes Aim at the American Dream,0
22,vanityfair.com,Get an Exclusive Look at the “Edgy” and “Surprising” Beetlejuice Musical,1
23,vanityfair.com,M.P.A.A. Opens Up About Its Opaque Movie-Ratings System—But Just a Little,1
24,vanityfair.com,Lena Dunham Is Taking a Controversial New Career Step,0
25,vanityfair.com,"Ben Affleck, Jennifer Garner, and the World Series-Winning Red Sox Go Full Circle",0
26,vanityfair.com,Michael Moore Caught Footage of Mail Bomb Suspect in Fahrenheit 11/9,0
27,vanityfair.com,Joe Jonas and Nicky Hilton Have Perfected the Celebrity Halloween Costume,1
28,vanityfair.com,This Might Be Meghan Markle’s Most Charming Move Yet,1
29,vanityfair.com,“This Administration Is Hoping This Will Blow Over”: The Foreign-Policy Community Loses Any Remaining Faith in Trump,1
30,vanityfair.com,Tortured Release London Fields Has Historically Awful Box-Office Debut,0
31,vanityfair.com,Trump Comes This Close to Saying Something Presidential,1
32,vanityfair.com,"As Tree of Life Victims Are Identified, Pittsburgh Rallies Together",0
33,vanityfair.com,"Watch Colbert, Kimmel, and More Battle to Welcome Busy Philipps to Late Night",1
34,vanityfair.com,Will Jeff Bezos Bail Out Snapchat?,1
35,vanityfair.com,Trump: Armed “Protection” Could Have Prevented “Devastating” Pittsburgh Synagogue Shooting,0
36,vanityfair.com,“She Wants to Come Back”: Megyn Kelly Eyes Returning to Fox,0
37,vanityfair.com,"After Bombs Target His Critics, Trump Demands More Loyalty",0
38,vanityfair.com,“It’s Zero-Sum”: The C.I.A. May Have Found a Silver Lining in the Khashoggi Debacle,1
39,vanityfair.com,"The Mooch: Trump Not a Liar, Just a Connoisseur of “Mistruth”",1
40,vanityfair.com,"Republicans to Steve Bannon: Thanks, but No Thanks",0
41,vanityfair.com,Can Democrats Still Bet on a Blue Wave?,0
42,vanityfair.com,"The Chinese Are Spying on Trump’s Calls, but Don’t Worry, He’s Too Stupid to Reveal Anything Important: Administration Officials",1
43,vanityfair.com,How Trump’s Dark Genius Is Rolling Back the Blue Wave,1
