,source,title,is_clickbait
0,washingtonexaminer.com,Nevada's Republican senator fights to survive flood of Democrat money,0
1,washingtonexaminer.com,Lindsey Graham warns Mexico: Stop the caravan or trade deal is at risk,0
2,washingtonexaminer.com,Students pick issue groups over political party groups on campus,0
3,washingtonexaminer.com,Heritage Foundation blasts Trump FDA for regulatory overreach,0
4,washingtonexaminer.com,Trump's tax cuts jolt manufacturing jobs,0
5,washingtonexaminer.com,"Byron York: Finally, a day of reckoning for Michael Avenatti?",0
6,washingtonexaminer.com,Free speech on campus isn't so free when it's tied up in red tape,0
7,washingtonexaminer.com,Bolsonaro seen as Trump's pro-Israel partner in Brazil,0
8,washingtonexaminer.com,A guide to major ballot measures in the 2018 midterm elections,0
9,washingtonexaminer.com,Republicans maintain a narrow lead in Florida's early vote,0
10,washingtonexaminer.com,Trump’s decision on ethanol hurts consumers,0
11,washingtonexaminer.com,'Miracle on the Hudson' pilot comes out against GOP: 'This is not the America I love',1
12,washingtonexaminer.com,"Debt shouldn't hold back Stacey Abrams, but her victimhood mentality might",0
13,washingtonexaminer.com,New GE chief slashes dividend as US reviews $22 billion power writedown,0
14,washingtonexaminer.com,Barbra Streisand 'thinking' about moving to Canada if GOP keeps control of House,0
15,washingtonexaminer.com,"Dems on defensive, pour money into New Jersey Senate race",0
16,washingtonexaminer.com,Chrysler sets aside $811 million to settle emissions case with DOJ,0
17,washingtonexaminer.com,Republicans need to make the case for capitalism,1
18,washingtonexaminer.com,Trump wants to cut middle-class taxes. The easiest solution? Repeal tariffs,0
19,washingtonexaminer.com,Hillary Clinton quips 'they all look alike' after interviewer mixes up Cory Booker and Eric Holder,1
20,washingtonexaminer.com,"After synagogue attack, a Kentucky Democrat keeps her focus on healthcare",0
21,washingtonexaminer.com,School choice is improving students' long-term mental health — we have the data to show it,1
22,washingtonexaminer.com,Alan Dershowitz: A US citizen is being held hostage by a rabbinical court in Israel,0
