source,title
cbc.ca,"CBC.ca - watch, listen, and discover with Canada's Public Broadcaster"
cbc.ca,"NHL on CBC Sports - Hockey news, opinion, scores, stats, standings"
cbc.ca,'It was like a nightmare': Police investigate fire started at Toronto hotel housing refugees
cbc.ca,"Crucifix represents Christian values but isn't a religious symbol, Quebec's incoming premier says News"
cbc.ca,Family says ICE deported father after telling him they found his wallet Radio
cbc.ca,"UFC fighters McGregor, Nurmagomedov suspended for post-fight brawl Sports"
cbc.ca,Top court hears grim details of Cindy Gladue's last hours as it considers new murder trial
cbc.ca,"North American stocks slide lower, loonie down against U.S. dollar"
cbc.ca,Canada introduces new safeguards to curb flood of steel imports
cbc.ca,Kaden Young's mother charged with impaired driving causing death
cbc.ca,NCC seeking public input on century-old Gatineau convent
cbc.ca,Ontario's online weed store will ship with Canada Post with a $5 delivery fee
cbc.ca,Canadian Olympic hopefuls get a 'game-changing gift' in $2.5M donation
cbc.ca,"This 14-year-old doesn't have a cell phone and, no, he doesn't want one"
cbc.ca,Queer Songbook Orchestra are crossing the country to share their mission of LGBTQ love
cbc.ca,Seeing Grease With My Son Opened My Eyes To How Problematic It Is
cbc.ca,"Will Vinton, pioneering animator who invented claymation, dead at 70"
cbc.ca,What is National Coming Out Day? | Explore | Awesome Activities & Fun Facts
cbc.ca,"Music icons Rihanna, Taylor Swift, John Legend, Janelle Monae, more urge fans to vote "
cbc.ca,QUIZ: Can you guess which items from your favourite food joints contain the most calories?
cbc.ca,Saudi journalist still missing as images of 'assassination squad' surface
cbc.ca,A Day In The Life of Earth: Four ways the earth changes dramatically every single day 
cbc.ca,German magazine stands by its reporting on Ronaldo sexual assault allegation
cbc.ca,Homan rink to compete at Scotties after losing spot last season
cbc.ca,Her mother kept her racial background a secret her whole life
cbc.ca,"The best bakeries in Canada, according to the bakers of The Great Canadian Baking Show "
cbc.ca,"Roofs peeled away, homes split open by fallen trees: See Hurricane Michael's destruction in Florida "
cbc.ca,Canadian pot industry workers will be able to enter U.S. for pleasure travel
cbc.ca,Soyuz rocket failure a big problem for International Space Station
cbc.ca,Stronach lawsuit lays bare family dispute over control of businesses
cbc.ca,Princess Eugenie's wedding: Why these royal nuptials are courting controversy
cbc.ca,"Bus crash in Germany injures dozens, Canadians on board "
cbc.ca,Supreme Court rules Ottawa has no duty to consult with Indigenous people before drafting laws
cbc.ca,Opioid crisis coupled with doctor shortage leaves chronic pain patients desperate
cbc.ca,Kanye West: 'My red MAGA hat makes me feel like Superman'
cbc.ca,Embattled Soulpepper theatre names Weyni Mengesha new artistic director
cbc.ca,2 astronauts safe after Soyuz forced to make emergency landing
cbc.ca,No regrets: Buyer keeping Banksy painting that self-destructed
cbc.ca,"Ottawa, Dehcho First Nations sign deal for 1st Indigenous protected wildlife area "
cbc.ca,UCP disqualifies nomination candidate who defended Soldiers of Odin attendance at party's pub night
cbc.ca,Estée Lauder seeks to kick Deciem founder out of cosmetics company
cbc.ca,How a warming Arctic speeds up climate change — and spreads its damage
cbc.ca,'An absolute monster': Florida reckons with Michael's devastation as it hits Carolinas
cbc.ca,New York prosecutor drops part of sex assault case against Harvey Weinstein
cbc.ca,Trump says missing Saudi journalist no reason to stop investments there
cbc.ca,Bill Clinton is massively overdue for a #MeToo reckoning: Robyn Urback
cbc.ca,Here's what pollsters missed on Quebec's vote — and what those lapses mean for the 2019 federal election
cbc.ca,"Rare skull of baby diplodocus shows how giant dinosaurs grew way, way up"
cbc.ca,"Sedins' Nos. 22, 33 will join twins in retirement next season"
cbc.ca,Hockey Night in Canada podcast: Where have all the rivalries gone?
cbc.ca,"Poulin, Szabados lead Canadian women's hockey into Four Nations Cup "
cbc.ca,Teen charged in alleged Toronto Raptors ticket fraud: police
cbc.ca,HNIC Podcast: Chris Nilan on the Good Friday Massacre
cbc.ca,HNIC Podcast: Kris Draper on the heated Red Wings-Avalanche rivalry
cbc.ca,Justin Gallegos makes history: First athlete with cerebral palsy to sign with Nike
