source,title
foxnews.com,President Trump praises Kanye West’s words at White House: ‘That was quite something’
foxnews.com,"Grassley, on heels of Kavanaugh confirmation, pushes dozens of judicial nominees"
foxnews.com,"Female Georgia model, 28, shot in neck before multi-vehicle crash, left brain dead, family says"
foxnews.com,Don't underestimate Kanye (and Trump) – Rapper could successfully deliver for forgotten black communities
foxnews.com,CNN’s April Ryan asks Ray J for comment on Kanye West’s White House meeting
foxnews.com,Kanye West reveals his iPhone lock code in the Oval Office
foxnews.com,Kanye West segment on CNN labeled ‘racist’ for calling singer ‘token negro of the Trump administration’
foxnews.com,"Federal Judge Ellis demands sentencing date for Manafort, calls Mueller deal ‘highly unusual’"
foxnews.com,Eagles’ guitarist Joe Walsh slams Rock & Roll Hall of Fame: ‘There’s a lot of politics’
foxnews.com,Herschel Walker calls for CNN to fire Don Lemon over ‘racist’ Kanye West criticism
foxnews.com,"Rosenstein, McCabe squabbled in front of Mueller over Russia probe recusals"
foxnews.com,"Selena Gomez 'seeking treatment' to 'tackle her emotional issues head-on,' source says"
foxnews.com,"Utah man raped Tinder date, could have more victims, police say"
foxnews.com,MSNBC host Chris Hayes floats conspiracy theory that Saudis pay Trump hush money to overlook murder
foxnews.com,Florida inmates volunteer to clear Hurricane Michael debris
foxnews.com,"Michelle Obama rebukes Holder, Clinton over calls for political warfare"
foxnews.com,"Virginia dog with 'rotted' leg found tied to abandoned home, shelter says"
foxnews.com,Tucker Carlson: 'Ship of Fools' – How Democrats lost their minds over immigration
foxnews.com,"Washington state court throws out death penalty, calling it racially biased"
foxnews.com,Renewed hope for release of jailed American pastor in Turkey
foxnews.com,Millennials being blamed for decline of American cheese
foxnews.com,"Bride claims brain infection wiped memory, changed personality"
foxnews.com,‘Terminator’ tanks with ‘invisibility’ cloaking will fight future wars
foxnews.com,Entire F-35 stealth fighter jet fleet grounded by military after crash in September
foxnews.com,Tucker Carlson: Eric Holder has given Dems permission to get physical. Don't be surprised when they obey
foxnews.com,"Rep. Steve Scalise: When Eric Holder, other Dems call for violence, that's a direct threat to our democracy"
foxnews.com,Judge Andrew Napolitano: What if the whole purpose of an independent judiciary is to be anti-democratic?
foxnews.com,CIA Director Haspel is quietly working hard (and smart) to keep us safe from national security threats
foxnews.com,Rich Lowry: Democrats' latest excuse for their losses -- Blame the Constitution
foxnews.com,Passenger shamed for giving herself a 'pedicure' on plane
foxnews.com,Stomach-churning video shows live parasitic worm being removed from a man's eye
foxnews.com,"'Wheel of Fortune' host Pat Sajak encourages fans to vote, mocks those who rely on celebrities to remind them"
foxnews.com,"Ronda Rousey calls out 'untrustworthy' Bella Twins, says she's ready for her revenge"
foxnews.com,Alec Baldwin reveals dislike for Stephen Colbert over meddling question
foxnews.com,Taxi drivers may be banned from wearing shorts because they're too 'sexually revealing'
foxnews.com,Nasty Gal ads banned for featuring ‘unhealthily underweight’ model
foxnews.com,"Mount Vesuvius caused victims' heads to explode, blood to boil: study"
foxnews.com,"Aliens might live within 33,000 light-years of Earth, but why haven't we found them?"
foxnews.com,'Bachelor' alum Amanda Stanton pleads not guilty after domestic battery arrest
foxnews.com,Arnold Schwarzenegger admits he ‘stepped over the line several times’ with women in the past
foxnews.com,Kevin Costner's 'Yellowstone' accused by PETA of mutilating animal carcasses
foxnews.com,"‘Barney Miller’ star Hal Linden reflects on ‘The Samuel Project,’ lasting success of cop comedy"
foxnews.com,Classic 1957 Chevy pickup stolen from California years ago found in Mexican junkyard
foxnews.com,Busy Philipps says she turned to the pope after having an abortion at 15
foxnews.com,For King & Country did a lot of 'fumbling and stumbling' before big break
foxnews.com,"Jennifer Garner ‘relieved’ Ben Affleck divorce is finalized and is open to dating, source says"
foxnews.com,Tourist calls 911 after spotting whales while boating in Washington: report
foxnews.com,"NASCAR's Jimmie Johnson, Chad Knaus split after 17 years"
