source,title
9news.com.au,"Whitey Bulger, Boston gangster, found dead in prison at 89"
9news.com.au,Arrest after NSW man and Victorian woman shot dead
9news.com.au,Family of Ben Cousins say he is doing 'fine' behind bars
9news.com.au,Funeral directors who left grandmother in van hang onto war hero’s ashes for six years
9news.com.au,Time running out to stop 'mindblowing nature crisis': WWF report
9news.com.au,Geoffrey Rush trial: Eryn Jean Norvill said actor whispered in her ear
9news.com.au,Killer dad sentence due over omelette row
9news.com.au,Debate to shine light on Victorian crime
9news.com.au,"Rubella disease eliminated in Australia, WHO declares"
9news.com.au,Pittsburgh to bury synagogue victims
9news.com.au,Spy chief defends Huawei ban
9news.com.au,German nurse on trial over 100 patient deaths
9news.com.au,Parcel leads to 'gruesome' discovery of animal skeletons
9news.com.au,Mick Gatto’s son Justin found dead in Melbourne CBD
9news.com.au,Earlier Lion Air flight scared passengers
9news.com.au,Nepean Hospital shooting: Michael de Guzman found not guilty by reason of mental impairment
9news.com.au,Families struggle as petrol prices soar
9news.com.au,SA homeowners warned about risky solar panel installations
9news.com.au,Embrace change to protect jobs: corp chief
9news.com.au,Prisoners to train therapy dogs under Vic Liberal's plan
9news.com.au,Overseas tax loophole to close under Labor
9news.com.au,Not enough competition in Australia: Labor
9news.com.au,Man admits to 1980s parking spot murder
9news.com.au,New Zealand rocked by 6.1-magnitude earthquake north of Wellington
9news.com.au,Man allegedly bashed Hungry Jack's worker over 'forgotten fries'
9news.com.au,Indigenous youth report good health
9news.com.au,Why Asian buyers want Aussie baby formula
9news.com.au,Trump touts end to constitutional right to citizenship for kids born in US
9news.com.au,Gold Coast baby facing amputation after contracting meningococcal in Thailand
9news.com.au,Wheelchair-bound man seriously injured in hit-run
9news.com.au,Man drags woman down CBD alleyway
9news.com.au,Arms exports: Australian government tight-lipped over permits
9news.com.au,Deniliquin crash: Three critical after vehicle rolls
9news.com.au,Qld treasurer slams 'racist' comments
9news.com.au,Wolf Creek star John Jarratt in court on rape charge
9news.com.au,Porsche sells unique 993 Turbo 'Project Gold' for millions
9news.com.au,Two 'terrifying' robberies in less than two hours in Ballarat
9news.com.au,Asian shares bounce in choppy trade
9news.com.au,'His power was intimidating': Rush accuser
9news.com.au,Second group of migrants enters Mexico as main caravan resumes
9news.com.au,Adelaide man guilty of drug-related murder
9news.com.au,Sydney police hospital shooter not guilty
9news.com.au,NSW man says drugs prompted abductions
9news.com.au,"Labor concerned about children's film, TV"
9news.com.au,Sacked Perth council chief 'shocked'
9news.com.au,Halloween survival guide for parents
9news.com.au,Former AMA chief to contest Bennelong for Labor
9news.com.au,William Hoehn: Life in prison for US man involved in baby kidnapping
9news.com.au,Ron Medich described as foolish on tape
9news.com.au,Woman shot dead in regional Victoria
9news.com.au,Man's body found in a WA home
9news.com.au,Family support Ben Cousins in WA court
9news.com.au,Secret report raises questions about Queensland's medical records system
9news.com.au,Venice under water in worst case of flooding for ten years
9news.com.au,West Gate traffic halted after crash and diesel spill
9news.com.au,'Mr Medicare' takes on Bennelong for Labor
9news.com.au,Day two on campaign road for Vic leaders
9news.com.au,Aussies owe record $23.7b in tax
9news.com.au,Boutique cruise ship idea floated for Gold Coast Spit
9news.com.au,Man convicted over deadly Melbourne car crash ‘shouldn’t be in jail’
9news.com.au,Loophole allows rogue drivers to ‘blatantly steal’ meal deliveries
9news.com.au,Redbank Plains: Driver fires shot into family car after road rage argument
9news.com.au,"Pay up for survivors, institutions told"
9news.com.au,Local servo’s loyal fans angry as competition sets up next door
9news.com.au,Soaring fuel prices hitting Aussie family budgets
9news.com.au,"Cartwright robbery: Teenage girl detained, assaulted in Sydney’s south-west"
9news.com.au,WA judge to hand down murder verdict
9news.com.au,NSW man to learn fate for drug abductions
9news.com.au,Confronting image of Florida school shooting survivor splashed on US magazine
9news.com.au,Man pleads guilty to cold case Vic murder
9news.com.au,Magnitude 6.2 quake hits New Zealand
9news.com.au,Cricket report 'sobering reading': PM
9news.com.au,Vic balloon crash passengers 'confused'
9news.com.au,Aussies to breeze through UK border gates
9news.com.au,Prepare workers for coal closures: report
9news.com.au,New coin commemorates end of WWI
9news.com.au,Chinese military researchers in Aust unis
9news.com.au,NT scraps infrastructure fund
9news.com.au,Former WA premier's son in court over VRO
9news.com.au,Rent tensions led to Qld housemate's death
9news.com.au,Hoddle St killer fights for computer use
9news.com.au,Dixon alleged killer faces Melbourne court
9news.com.au,Gangland link to Melbourne apartment death
9news.com.au,Tas shooter 'didn't intend' to hit girl
9news.com.au,Man 'shot in the head' in Busselton home
9news.com.au,Trump faces uneasy welcome in Pittsburgh
9news.com.au,A look at the federal seat of Bennelong
9news.com.au,WA party puncher says victim attacked him
9news.com.au,Wentworth by-election: John Howard warns against protest vote from Liberals
9news.com.au,Woman kills herself and children after husband fakes death in China - but doesn't tell her
9news.com.au,Wentworth by-election: Morrison government facing political win or nightmare?
9news.com.au,Unsafe water from Fukushima disaster to be flushed into sea
9news.com.au,Granny reveals $300k welfare fraud in bid to challenge $4m will
9news.com.au,Jonathan Dick: Reward offer to catch Australia’s most wanted who is hiding in 'plain sight'
9news.com.au,Abortion debate: 'Vote with your conscience or else'
9news.com.au,Meghan Markle and Prince Harry in Dubbo: The boy who stole the show from Royals
9news.com.au,Morningside State School students' classes relocated after fire guts historic buildings
9news.com.au,Dreamworld had no logbooks for Rapids Ride
9news.com.au,Dreamworld inquest day 8: Electrical engineer back on the witness stand
9news.com.au,WA man admits role in kangaroo attack
