source,title
abc15.com,"Woman dies after being bound at Phoenix motel with boyfriend, police say"
abc15.com,Five shows to binge in November
abc15.com,Blue light shines in Pittsburgh as tribute to synagogue shooting victims
abc15.com,Kyrsten Sinema talks Senate race with ABC15
abc15.com,Accused serial rapist behind bars after terrorizing Valley women for nearly a year
abc15.com,"Officer-involved shootings in Phoenix metro: See when, where they have occurred in 2018"
abc15.com,Doctors release new recommendations to reduce gun violence
abc15.com,Home of Jayme Closs burglarized on the same weekend of her parents' funeral
abc15.com,"3 children hit, killed while waiting for school bus in Indiana"
abc15.com,Don't get spooked by these screaming deals at grocery stores
abc15.com,What is 'habeas corpus' and can the President Trump suspend it to arrest caravan migrants?
abc15.com,"One shot, one detained after shooting at Tempe UPS parking lot"
abc15.com,"President Trump says he wants to end birthright citizenship, thinks he can do it through EO"
abc15.com,California boy tries to kill himself over tablet
abc15.com,Ohio haunted house backtracks after 'Swastika Saturday' promotion hours after synagogue massacre
abc15.com,Restaurants offering free and cheap food for Halloween
abc15.com,Woman says false teeth from Walmart required emergency dental appointment after they got stuck
abc15.com,Trump set to honor Pittsburgh victims
abc15.com,Kroger shooting in Kentucky is being investigated as a hate crime
abc15.com,"Rabbi who believes in 'Jesus the Messiah' speaks before Pence rally, sparking criticism"
abc15.com,Inside a body farm: Studying decomposed bodies to better solve crimes
abc15.com,Mother of 1-year-old swept away by hurricane floodwaters charged with involuntary manslaughter
abc15.com,"This is the 'last generation' that can save nature, WWF says"
abc15.com,Boy shot dead at high school allegedly by classmate after bullying conflict
abc15.com,Rabbi of Pittsburgh synagogue opens up about moment gunman opened fire
abc15.com,Could a third presidential run be a charm for Hillary Clinton?
abc15.com,"Stolen $4,000 inflatable colon recovered by officers in Kansas"
abc15.com,"'Muslims Unite for Pittsburgh Synagogue' raises $125,000 for victims"
abc15.com,President Trump will travel to Pittsburgh following mass shooting at synagogue
abc15.com,Yosemite engagement mystery solved! Photographer found couple after viral search
abc15.com,Twitter reportedly removing the 'like' button
abc15.com,"White House declines to say which outlets, journalists are 'enemies of the people'"
abc15.com,Product claims to curb sugar cravings—is it safe?
abc15.com,"White House doesn't rule out suspending Habeas Corpus, posse comitatus at border"
abc15.com,Suspicious death under investigation at Mesa's Lindo Mercado
abc15.com,"The US is sending 5,000 troops to the border. Here's what they can and can't do"
abc15.com,Child in Ohio tests positive for meth after trick or treating
abc15.com,"Military moving equipment to border as 1,700 troops are to be sent to AZ"
abc15.com,Pittsburgh synagogue shooting suspect Robert Bowers due in court; faces 29 charges
abc15.com,Police investigate incident at California nightclub in which 7 people shot
abc15.com,"Arizona ranked as 6th most likely state to be hacked during election, data shows"
abc15.com,Worker hurt in construction equipment fall in Phoenix
abc15.com,Celebrity impostors are scamming fans on Facebook
abc15.com,Student shot at high school in North Carolina
abc15.com,Police: Student shoots fellow student at NC high school
abc15.com,German Chancellor Angela Merkel to step down as party leader; will not run for re-election
abc15.com,"Another suspicious package intercepted, this one headed for CNN's headquarters in Atlanta"
abc15.com,"Same-sex couple carries same baby, calls experience 'priceless'"
abc15.com,How much screening does your mail get?
abc15.com,"Red Sox cap stellar season, win 4th World Series in 15 years"
abc15.com,"The E.W. Scripps Company buys more television stations, bringing total to 51"
