source,title
aina.org,Trump Administration Redoubles Its Efforts to Get Aid to Iraq's Assyrians
aina.org,The Annihilation of Iraq's Assyrians
aina.org,Assyrian Journalist Betrayed By the Indifference of the West Over Syria
aina.org,ISIS Retakes Syrian Territory Near Iraq Border
aina.org,The Assyrian Women Traders of Ancient Anatolia
aina.org,"3,200-year-old Artifact Linked to Assyria Found in Eastern Turkey"
aina.org,"After 60 Years, First Prayer At 1,500-year-old Assyrian Church in Turkey"
aina.org,France to Take in 100 Yazidi Women Stranded in Iraqi Kurdistan
aina.org,"Iraq Tries to Stop New York Sale of 3,000-year-old Assyrian Artifact"
aina.org,"""There Is No Future Left in Syria"": A Conversation With a Family of Refugees"
aina.org,The End of Multiculturalism Turkey's Kurdish Region
aina.org,"Iraqi Parliament Confirms Government, But Some Posts Left Unfilled"
aina.org,Opposition Parties Reject Election Results in Iraq's Kurdish Region
aina.org,Thousands of Christians Leaving Homs: Vatican Envoy
aina.org,UN Official: Syria Has Withdrawn Controversial Property Law
aina.org,US Official 'Disagrees' With Iraqi Cardinal Over US Help for Christians
aina.org,KDP Wins Most Seats in Iraq's Kurdish Parliamentary Polls
aina.org,U.s. Warns of Bigger 'Risk' That Nations Will Attack One Another Over War in Syria
aina.org,"Assyrians in Iraq Facing Extinction, Says Archbishop"
aina.org,"US Briefs Iraq Chaldean Head, Vatican on Aid After Critique"
aina.org,Is There Hope for Reform in Post-Election Iraq?
aina.org,"Assyrians, Armenians At Odds in Formation of New Lebanese Government"
aina.org,"88,000 Rebels Killed in Syria in Three Years: Russia"
aina.org,Swedish-Assyrian MP Says Integration is the Key
aina.org,Chaldean Cardinal Says Promised US Aid for Iraq Hasn't Come
aina.org,"Assyrians Captured By ISIS Now At 150, Negotiations for Their Release in Progress"
aina.org,"ISIS Attacks Assyrian Villages in Syria, 4 Killed, Dozens Captured, Churches Burned"
aina.org,The Genocide of Assyrians That Started in Iraq Continues in Syria
aina.org,ISIS Threatens to Blow Up the Historical Walls of Nineveh
aina.org,Will the Assyrian Orthodox Church Split After the Death of the Patriarch?
aina.org,Assyrian Mother and Three Sons Murdered in Baghdad
aina.org,Timeline of ISIS in Iraq
aina.org,Egypt's Mysterious Monastery Hides Ancient Secrets
aina.org,"Up to 373 Assyrians Captured By ISIS, Executions Have Begun"
aina.org,Senator Ted Cruz Booed Off Stage At In Defense of Christians Summit
aina.org,All 45 Christian Institutions in Mosul Destroyed or Occupied By ISIS
aina.org,The Assyrian Flag and Its Designer
aina.org,"Fear After ISIS Captures Three Towns in Iraq, Moves Into Assyrian Town"
aina.org,"Stranded: the Forgotten Assyrians of Al-Thawrah, Syria"
aina.org,ISIS Leader Abu Bakr Al-Baghdadi Orders Female Genital Mutilation of Two Million Girls
aina.org,ISIS Destroys 3000 Year-old Assyrian Artifacts in Syria
aina.org,Chaldean Business Group Booming in San Diego
aina.org,Assyrians Hold Demonstrations As ISIS Continues Attacks on Assyrians
aina.org,"Egyptian Christian Girl, 13, Abducted By Muslims"
aina.org,Turkey's Role in the Kidnapping of the Syrian Bishops
aina.org,Assyrian Artifact Sold At Auction
aina.org,From Iraq to Syria: the Genocidal Ordeal of the Assyrians
aina.org,Turkey's Duplicitous Game With Assyrians
aina.org,Massacres a Repeat of History for Assyrian Christians
aina.org,The Oldest Song in the World
aina.org,"Assyrian, Yezidi and Shabak Villages Are Now Under Kurdish Control in North Iraq"
aina.org,Kurdish Mob Attacks Assyrian Village in North Iraq -- Attempts Land Grab
aina.org,'We Love This Land': Iraqi Assyrian Men Fight to Keep ISIS Away From Homes
aina.org,"ISIS Enters Assyrian Town in Syria, Removes Church Cross"
aina.org,"Coptic Christian Girl, 14, Abducted By Muslim in Egypt"
aina.org,Chaldean Assyrians Split Over Competing Chambers of Commerce in California
aina.org,Multiculturalism and the Overturning of Traditional Loyalties
aina.org,Chicago Assyrian Community Rallies for Immigration Attorney
aina.org,"Brick By Brick, Person By Person, ISIS is Erasing Assyrians From Their Homelands"
aina.org,The Language of Jesus: A Religious Journey Through Chicago
aina.org,The Historic Visit of Five Patriarchs to North Iraq
aina.org,Turfan And The Christians Of The Silk Route
aina.org,Saudi-born US Naval Engineer Allegedly Gave Undercover Agent Info on How to Sink Carrier
aina.org,Chaldean Patriarch Calls for Fasting on Christmas Eve for Refugees' Return to Mosul
aina.org,"In Syria's Relatively Quiet, Majority-Kurdish Northeast, Rumblings of Assyrian Discontent"
aina.org,A Breakdown of All the Weapons the U.S. Wants to Give Iraq to Fight Militants
aina.org,ISIS Reverting to Insurgency Tactics After Losing Caliphate
aina.org,"Meet Randa Markos, the Assyrian Refugee-Turned-UFC Fighter"
aina.org,"Kenyan Victims: 'Eyes Gouged Out, Bodies Hanging From Hooks, and Fingers Removed With Pliers'"
aina.org,Assyrians Learn From the Jewish Experiences in the Diaspora
aina.org,From High School Dropout to Top Couture Designer
aina.org,Power Struggle Deepens in Iraqi Kurdistan After Elections
aina.org,Conflicting Reports on Release of Some of the Assyrians Held By ISIS
aina.org,Assyrians Demonstrate in Cities Around the World
