source,title
ajc.com,Tyler Perry to end ‘Madea’ franchise
ajc.com,TRAFFIC ALERT: Overturned tractor-trailer blocks I-285 ramp in DeKalb County
ajc.com,5 notable things to consider after the Falcons bye week
ajc.com,DeKalb sheriff’s office to monitor sexual predators on Halloween
ajc.com,UGA heavy favorite over Kentucky in SEC East showdown
ajc.com,"Wanted in Gwinnett: Kidnapping, assault suspects sought by sheriff"
ajc.com,Gwinnett’s Christmas tree is (already) coming to town
ajc.com,"Woman killed when car ‘split in half’ during 3-vehicle wreck, GSP says"
ajc.com,Busy Gwinnett intersection will get upgrades in spring 2019
ajc.com,Here’s why Jermaine Dupri thinks it’s a bad idea for celebs to boycott the Super Bowl
ajc.com,"UPDATE: Homicide, arson investigations underway after body found in burning vehicle"
ajc.com,"What is ‘birthright citizenship,’ and can Trump terminate it?"
ajc.com,"Notorious gangster James 'Whitey' Bulger killed in prison, sources say"
ajc.com,McCaffrey: ‘(Redskins) are the real deal’
ajc.com,Roswell cops look for landscaper accused of conning folks all over Ga.
ajc.com,A look ahead at the Washington Redskins
ajc.com,"DeKalb entertainment expo could be your ticket to film, TV career"
ajc.com,"Pittsburgh synagogue shooting: Gab, social network used by suspect, fo"
ajc.com,Trio charged in North Carolina after family cat found mutilated
ajc.com,Mother says son exposed to methamphetamines in trick-or-treat bounty
ajc.com,Chimp shatters protective glass at Houston Zoo; no one hurt
ajc.com,"Vanessa Hudgens, Jordan Fisher to headline ‘Rent’ live musical"
ajc.com,"Whitey Bulger, Boston gangster, found dead in prison at 89"
ajc.com,"Flies, dirty kitchen cause health check failure at Cobb barbecue joint"
ajc.com,"William Daniels, Mr. Feeny on 'Boy Meets World,' stops burglary in his home"
ajc.com,Injured Army vet Teak Wilson says she wishes she ‘could have done more’ during her time in Afghanistan
ajc.com,UK demonstrators press Uber ahead of key legal fight
ajc.com,European tech leaders warn against EU digital services tax
ajc.com,"Argument over pizza slice leads to death of California man, police say"
ajc.com,Pharrell Williams threatens to sue Trump over use of ‘Happy’ at rally after synagogue massacre
ajc.com,Journey cassette tape mistaken for suspicious package in North Carolina
ajc.com,"3 children killed, 1 injured while boarding school bus in Indiana"
ajc.com,Ben & Jerry's unveils Pecan Resist flavor ahead of midterms
ajc.com,Georgia police place 'no trick-or-treat' signs in yards of sex offenders' houses
ajc.com,"Still golden: Biles, Americans roll at world championships"
ajc.com,"iPads, Macs get new screens as Apple pushes creativity"
ajc.com,"Man pleads guilty to stabbing, killing siblings in Canton"
ajc.com,"Man beats, strangles mother, tells police he’s ‘possessed by demons and Hitler’"
ajc.com,'Rage' against elite: Centrist leaders losing Europe's favor
ajc.com,Georgia man convicted of shooting wife in the head 5 times
ajc.com,NATO chief: Both sides expected to behave despite drills
ajc.com,Nick Nurse's long route from pole-vault pit to Raptors coach
ajc.com,"Holocaust survivor faces evil, cheats death for second time"
ajc.com,Sacred Heart University sued over student’s death in pancake-eating contest
ajc.com,Atlanta home sales trend with U.S.; buyers more cautious
ajc.com,"Helped by solid earnings, US stock indexes turn higher again"
ajc.com,Call for artists for Enota Park installation extended
ajc.com,Anyone can enjoy these guiltless flavors at this chain restaurant
ajc.com,The Latest: Experts doubt Trump on birthright citizenship
ajc.com,Death row inmate in South Dakota cracks joke before execution
ajc.com,"Casino CEO offers state $1 million to fix road after mother, daughter"
ajc.com,"Historic landmark, Zero Mile Post, relocated to Atlanta History Center"
ajc.com,Final Softball rankings
ajc.com,PRO explains why Atlanta United’s goal was disallowed at Toronto
ajc.com,"Navy sailor shot, killed by man he tried to help on freeway, police say"
ajc.com,"Driver killed chasing runaway school bus in Arkansas, police say"
ajc.com,Ben & Jerry's releases Pecan Resist ice cream in response to Trump's 'regressive agenda'
ajc.com,Hartsfield-Jackson career fair draws thousands
ajc.com,Lanier Islands adding huge snow tubing hill for this upcoming season
ajc.com,"Cincinnati, Kroger reach $240K settlement with family of girl stunned"
ajc.com,Concerns growing over rejections of vote-by-mail ballots
ajc.com,F1 driver Ericsson moving to IndyCar with Schmidt Peterson
ajc.com,Best-selling Chinese novelist Louis Cha dies at age 94
ajc.com,Mom reunited with son who was abducted in 1987
ajc.com,T.I.’s Trap Music Museum holding Halloween party
ajc.com,Beware of these 5 Medicare open enrollment pitfalls
ajc.com,Things to do in (and around) Atlanta after dark
ajc.com,Cavs' star Love could miss significant time with foot injury
ajc.com,Philadelphia's decadent 'Wing Bowl' no more after 26 years
ajc.com,US home price gains weaken for 5th straight month
ajc.com,Company accused of selling overpriced jewelry to US troops
ajc.com,"See inside one of the world's coldest workplaces, where it’s 70 below zero"
ajc.com,Fiat Chrysler profits hit by charges for diesel probe
ajc.com,Americans to get access to shorter UK airport passport line
ajc.com,Mega Millions jackpot jumps to record $900M after ‘brisk sales’
ajc.com,Atlanta Mayor says court battle with former fire chief was too costly
ajc.com,Delta caps some air fares due to Hurricane Michael
ajc.com,Man accused of raping 6-year-old girl in Tennessee
ajc.com,LSU fined $100K after fans storm field following with over UGA
ajc.com,Atlanta fast-food workers set to strike in demand of $15 hourly wage
ajc.com,"Braves vs. Dodgers playoff times, TV schedule"
ajc.com,"Man shot in head by wife after Google search ended in argument, deputies say"
ajc.com,Marietta police investigate after man found fatally shot
ajc.com,CNN’s Anderson Cooper debunks right-wing hurricane meme in nine-minute segment
ajc.com,Missing Cobb mother of 2 vanished weeks after divorce
ajc.com,College student from Cobb recovering at home after road-rage shooting
ajc.com,Bond denied for Atlanta airport contractor accused of raping employee in storage room
ajc.com,"Fugitive's own dog leads deputies to him after chase, officials say"
ajc.com,Metro Atlanta Chick-fil-A locations giving free sandwiches to teachers
ajc.com,"‘Real Housewives of Atlanta’ season 11 welcomes two new full timers with Sheree Whitfield, Kenya Moore out"
ajc.com,Braves’ Acuna youngest in history to hit postseason grand slam
ajc.com,WEATHER-TRAFFIC UPDATE: Atlanta reaches 83 degrees as traffic remains heavy
ajc.com,Kevin Hart claps back at Katt Williams over Williams’ Tiffany Haddish critique on V-103
ajc.com,Teens headed to homecoming say Uber driver told them to get out due to age
ajc.com,TRAFFIC UPDATE: Wrecks clutter roads as heavy rain moves in during evening commute
ajc.com,Publix subs on sale for $5.99 until Sept. 26
ajc.com,Barbara Bush marries Atlanta Native Craig Coyne in secret ceremony
ajc.com,"Bath salts land two in jail for shooting at ‘alien lasers’ that were really fireflies, police say"
ajc.com,She said she’d been sexually harassed. Then she got fired for it.
ajc.com,"Key 99X player Sean Demery, 60, has died"
