source,title
al-monitor.com,"Kurdish film festival screens, then withdraws, Israeli movie"
al-monitor.com,"Iran turns to tourism to earn hard currency, create jobs"
al-monitor.com,Egypt eyes moneymaking potential of e-waste
al-monitor.com,"Gazans flee to Europe, illegally"
al-monitor.com,What's behind Russia’s 'wait and see' approach on Khashoggi killing?
al-monitor.com,UN gives thumbs-up for Palestine to lead Group of 77
al-monitor.com,To what extent can US aid help Iraq’s minorities?
al-monitor.com,Will US sanctions sway Iran to enter oil deal with Russia?
al-monitor.com,Iranian grand ayatollah faces threats for meeting with Reformists
al-monitor.com,Turkey raises stakes in Syria with shelling of Kurdish targets
al-monitor.com,Why Hamas wants to distance itself from recent rocket launch
al-monitor.com,Erdogan scores points in his foreign policy gamble
al-monitor.com,Israel's ultra-Orthodox parties divided as municipal elections approach
al-monitor.com,Israeli intervention provokes Coptic Christians in Jerusalem
al-monitor.com,How Palestinian workers in Israel stand to benefit from new payment regulations
al-monitor.com,Israeli think tank's diplomatic plan signals left while turning right
al-monitor.com,Palestine seeks to achieve energy independence
al-monitor.com,"Egypt lays plans, tallies costs as rising seas threaten Nile River Delta"
al-monitor.com,US mosque strikes point to looser targeting rules in fight against Islamic State
al-monitor.com,Egypt-Russia partnership deal takes bilateral ties to new heights
al-monitor.com,"As Khashoggi slaying case evolves, so does Saudi story"
al-monitor.com,Istanbul police interrogate Saudi Consulate staff
al-monitor.com,Commentary: Have Palestinians given up on resistance?
al-monitor.com,Reformists begin signaling support for Larijani as president
al-monitor.com,Ankara seeks stable ties with Riyadh but demands answers on Khashoggi murder
al-monitor.com,"Amid famine, anger at Khashoggi murder, will Saudis be pressed to end Yemen war?"
al-monitor.com,King Abdullah’s move to terminate parts of peace treaty seen as snub to Netanyahu
al-monitor.com,"Erdogan won't admit it, but Canal Istanbul dream is over"
al-monitor.com,Saudi Arabia's shifting narrative on Khashoggi reveals fragility
al-monitor.com,Why Chinese public diplomacy is failing in Iran
al-monitor.com,Intel: How allowing Iran to stay in SWIFT financial network would impact US oil sanctions
al-monitor.com,"Khamenei says Iran did not encourage fighters to go to Syria, Iraq"
al-monitor.com,Hariri turns witness for MBS defense
al-monitor.com,How Italian scientist saved Turkey's 'cotton castle' from careless tourism
al-monitor.com,Why is Qatar helping Hamas in Gaza?
al-monitor.com,How Egypt tries putting off Gaza outburst
al-monitor.com,Congress calls out Pompeo over Egypt aid waiver
al-monitor.com,Hebrew University defies Israel on banishment of boycott activists
al-monitor.com,Iraqi court suspends Abadi's act to pull Fayadh from posts
al-monitor.com,Commentary: Is Trump helping Netanyahu win elections?
al-monitor.com,Iran braces for more general strikes as budget negotiations in sight
al-monitor.com,Netanyahu backs main Likud rival into corner
al-monitor.com,Israel to build 31 settlement units in heart of Hebron
al-monitor.com,Will Iran drive its musicians off the streets?
al-monitor.com,Azaz gun control aims to keep civilians safe
al-monitor.com,Palestinian property transfers to settlers anger Jerusalemites
al-monitor.com,Intel: How the latest sanctions on the Taliban target Iran
al-monitor.com,Analysis: Possible indictment pushes Netanyahu to attack rivals
al-monitor.com,Middle East pins Oscar hopes on young directors
al-monitor.com,Kidnapping of Iranians puts Iran-Pakistan ties to the test
al-monitor.com,Iran sets sights on Syrian reconstruction projects
al-monitor.com,Commentary: Why the US is merging its Jerusalem consulate into embassy
al-monitor.com,"Israeli civil society, left-wing camp back in the game"
al-monitor.com,Turkey’s fantasy war on inflation
al-monitor.com,Intel: Why Iraq’s parliament won’t seat key ministers
al-monitor.com,Israel pays price for refusing peace talks
al-monitor.com,"Erdogan offers few answers, no smoking gun in Khashoggi killing"
al-monitor.com,MBS chats with Erdogan as Khashoggi leaks flow
al-monitor.com,Tunisia's foreign exchange reserves drained to new lows
al-monitor.com,Raqqa still haunted by IS one year after its expulsion
al-monitor.com,Israeli right tries to bully Rabin family into silence
al-monitor.com,Rouhani says Saudis wouldn't dare kill Khashoggi without US support
al-monitor.com,US warns Lebanon that Hezbollah Cabinet pick would cross ‘red line’
al-monitor.com,Intel: How Mnuchin’s trip to Saudi Arabia allows Prince Mohammed to save face
al-monitor.com,Saad Hariri: loose witness in MBS prosecution
al-monitor.com,Netanyahu losing his diplomatic ‘magic touch’
al-monitor.com,Russia eyes opportunities with new Iraqi decision-makers
al-monitor.com,Aynur Dogan gets Americans to sing her tune
al-monitor.com,Democratic midterm win threatens to constrain Trump’s Middle East policies
al-monitor.com,Israeli activists call out military academy for messianic teachings
al-monitor.com,Iraqi Kurdistan opposition parties reject election results
al-monitor.com,Hunt for Khashoggi's body continues in Istanbul
al-monitor.com,Trump policies fire up evangelicals but divide Middle East Christians
al-monitor.com,Intel: Why Iran is blaming the US for Khashoggi’s death after three weeks of silence
al-monitor.com,Saudi sports minister leaves Egypt’s sports scene
al-monitor.com,Iran's Supreme Court upholds death sentences for corruption
al-monitor.com,Khashoggi killing undercuts Trump campaign against Iran
al-monitor.com,Why Abbas wants to dissolve legislative council
al-monitor.com,"Under public attack, Cairo film festival cancels award to French director Lelouch"
al-monitor.com,Turkey tightens Khashoggi noose as Saudis flail
al-monitor.com,Egypt reaches out to expat kids with free language program
al-monitor.com,Decoding the death of journalist Jamal Khashoggi
al-monitor.com,Social security law leaves Palestinians less than secure
al-monitor.com,UN speech angers Israeli human rights activists
al-monitor.com,"Trump slams Saudi Khashoggi plot, US announces visa sanctions"
al-monitor.com,Cracks appear within Rouhani's inner circle as VP 'signals departure'
al-monitor.com,"Iraqi army, non-local PMUs at cross-purposes in western Anbar"
al-monitor.com,Afrin residents fear continued kidnappings
al-monitor.com,Syrian High Negotiations Committee under fire
al-monitor.com,Gulf countries concerned as Turkey cozies up to Kuwait
